Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,WAS,John Wall,University of Kentucky,5,345,12411,6083,1512,2990,.431,.305,.789,36.0,17.6,4.4,8.7,25.9,.100
2,2,PHI,Evan Turner,Ohio State University,5,388,11119,4179,2024,1404,.427,.315,.767,28.7,10.8,5.2,3.6,10.7,.046
3,3,NJN,Derrick Favors,Georgia Institute of Technology,5,367,9179,3987,2627,360,.512,.083,.660,25.0,10.9,7.2,1.0,23.7,.124
4,4,MIN,Wesley Johnson,Syracuse University,5,349,8976,2969,1207,489,.409,.347,.760,25.7,8.5,3.5,1.4,5.6,.030
5,5,SAC,DeMarcus Cousins,University of Kentucky,5,350,10859,6618,3726,922,.463,.159,.731,31.0,18.9,10.6,2.6,23.6,.104
6,6,GSW,Ekpe Udoh,Baylor University,5,270,4564,1072,860,179,.429,.000,.720,16.9,4.0,3.2,0.7,5.7,.060
7,7,DET,Greg Monroe,Georgetown University,5,378,11818,5411,3479,851,.505,.000,.693,31.3,14.3,9.2,2.3,32.2,.131
8,8,LAC,Al-Farouq Aminu,Wake Forest University,5,377,8406,2395,1998,402,.437,.286,.726,22.3,6.4,5.3,1.1,11.5,.066
9,9,UTA,Gordon Hayward,Butler University,5,363,10755,4898,1358,1214,.439,.365,.812,29.6,13.5,3.7,3.3,23.8,.106
10,10,IND,Paul George,California State University Fresno,5,292,9184,4441,1761,839,.428,.361,.827,31.5,15.2,6.0,2.9,28.2,.147
11,11,NOH,Cole Aldrich,University of Kansas,5,196,2009,605,670,105,.503,,.780,10.3,3.1,3.4,0.5,4.8,.115
12,12,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013
13,13,TOR,Ed Davis,University of North Carolina,5,354,7563,2552,2220,284,.556,.000,.566,21.4,7.2,6.3,0.8,22.1,.140
14,14,HOU,Patrick Patterson,University of Kentucky,5,333,7815,2758,1598,408,.478,.370,.738,23.5,8.3,4.8,1.2,18.0,.111
15,15,MIL,Larry Sanders,Virginia Commonwealth University,5,233,4622,1516,1341,174,.480,.000,.550,19.8,6.5,5.8,0.7,10.3,.107
16,16,MIN,Luke Babbitt,University of Nevada Reno,5,216,2707,908,461,104,.401,.403,.722,12.5,4.2,2.1,0.5,3.4,.059
17,17,CHI,Kevin Seraphin,,5,326,5345,2097,1194,176,.491,.000,.712,16.4,6.4,3.7,0.5,5.1,.046
18,18,OKC,Eric Bledsoe,University of Kentucky,5,321,8074,3458,1138,1316,.446,.325,.778,25.2,10.8,3.5,4.1,15.3,.091
