Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,HOU,Ralph Sampson,University of Virginia,9,456,13591,7039,4011,1038,.486,.172,.661,29.8,15.4,8.8,2.3,20.1,.071
2,2,IND,Steve Stipanovich,University of Missouri,5,403,12591,5323,3131,938,.484,.179,.796,31.2,13.2,7.8,2.3,30.4,.116
3,3,HOU,Rodney McCray,University of Louisville,10,768,24876,9014,5087,2750,.503,.260,.761,32.4,11.7,6.6,3.6,56.0,.108
4,4,SDC,Byron Scott,Arizona State University,14,1073,30152,15097,2987,2729,.482,.370,.833,28.1,14.1,2.8,2.5,75.2,.120
5,5,CHI,Sidney Green,University of Nevada Las Vegas,10,679,13247,5080,4128,635,.454,.037,.738,19.5,7.5,6.1,0.9,17.4,.063
6,6,GSW,Russell Cross,Purdue University,1,45,354,166,82,22,.571,,.418,7.9,3.7,1.8,0.5,0.8,.106
7,7,UTA,Thurl Bailey,North Carolina State University,12,928,24873,11834,4718,1298,.473,.114,.812,26.8,12.8,5.1,1.4,45.0,.087
8,8,DET,Antoine Carr,Wichita State University,16,987,19780,9176,3384,1086,.503,.130,.780,20.0,9.3,3.4,1.1,42.1,.102
9,9,DAL,Dale Ellis,University of Tennessee,17,1209,34778,19004,4201,1746,.479,.403,.784,28.8,15.7,3.5,1.4,84.7,.117
10,10,WSB,Jeff Malone,Mississippi State University,13,905,29660,17231,2364,2154,.484,.268,.871,32.8,19.0,2.6,2.4,54.2,.088
11,11,DAL,Derek Harper,University of Illinois at Urbana-Champaign,16,1199,37786,16006,2884,6577,.463,.354,.745,31.5,13.3,2.4,5.5,86.8,.110
12,12,NYK,Darrell Walker,University of Arkansas,10,720,18601,6389,3134,3276,.435,.059,.713,25.8,8.9,4.4,4.6,27.4,.071
13,13,KCK,Ennis Whatley,University of Alabama,10,385,7108,2150,679,1754,.468,.097,.755,18.5,5.6,1.8,4.6,9.6,.065
14,14,POR,Clyde Drexler,University of Houston,15,1086,37537,22195,6677,6125,.472,.318,.788,34.6,20.4,6.1,5.6,135.6,.173
15,15,DEN,Howard Carter,Louisiana State University,2,66,754,351,89,75,.440,.227,.774,11.4,5.3,1.3,1.1,0.0,-0.002
16,16,SEA,Jon Sundvold,University of Missouri,9,502,8811,3886,554,1469,.452,.392,.849,17.6,7.7,1.1,2.9,8.9,.048
17,17,PHI,Leo Rautins,Syracuse University,2,32,208,48,35,32,.350,,.600,6.5,1.5,1.1,1.0,-0.1,-0.030
18,18,MIL,Randy Breuer,University of Minnesota,11,681,12499,4599,2986,616,.467,.000,.628,18.4,6.8,4.4,0.9,20.9,.080
19,19,SAS,John Paxson,University of Notre Dame,11,772,17257,5560,906,2758,.499,.355,.804,22.4,7.2,1.2,3.6,36.3,.101
20,20,CLE,Roy Hinson,Rutgers University,8,507,15543,7206,3452,495,.499,.000,.741,30.7,14.2,6.8,1.0,30.2,.093
21,21,BOS,Greg Kite,Brigham Young University,12,680,10080,1717,2607,345,.438,.167,.486,14.8,2.5,3.8,0.5,5.6,.027
22,22,WSB,Randy Wittman,Indiana University,9,543,11594,4034,760,1201,.501,.321,.753,21.4,7.4,1.4,2.2,17.2,.071
23,23,IND,Mitchell Wiggins,Florida State University,6,389,8105,3877,1235,609,.460,.192,.755,20.8,10.0,3.2,1.6,15.2,.090
24,24,CLE,Stewart Granger,Villanova University,3,80,996,316,78,173,.414,.235,.742,12.5,4.0,1.0,2.2,-0.1,-0.005
25,25,CHI,Sidney Lowe,North Carolina State University,4,193,3422,562,335,749,.367,.133,.764,17.7,2.9,1.7,3.9,3.9,.055
