RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
129,"Kelly Olynyk, BOS",19,17.2,0.513,14.6,13,20.7,6.7,17.2,11.8,15.2,22.5,0.7
130,"Louis Williams, LAL",17,25.5,0.529,15.5,9.4,21.9,0.7,7.9,4.3,15.11,29.8,1
131,"Serge Ibaka, OKC",19,32.8,0.506,6.6,8.7,17.3,7.4,16.4,12.1,15.06,33.1,1.1
132,"Trey Burke, UTAH",18,22.9,0.53,17.8,10.8,22.9,1.7,9.8,5.7,15.04,24.9,0.8
133,"Robert Covington, PHI",12,29.9,0.544,11.1,19.6,22.8,2.9,19.4,11.1,15.02,24.2,0.8
134,"Marcus Thornton, HOU",19,21.3,0.504,11.3,5.6,20.8,4.7,10.7,7.6,15.01,27.2,0.9
135,"Glenn Robinson III, IND",12,12.9,0.594,6.7,8.4,14.5,2.1,10.5,6.3,14.96,10.3,0.3
136,"J.J. Redick, LAC",16,26,0.615,10.6,9.2,19.3,0.8,3.6,2.2,14.95,27.7,0.9
137,"Amir Johnson, BOS",20,23.6,0.576,17.8,15.2,14.4,8.4,19.8,13.9,14.92,24.1,0.8
138,"Toney Douglas, NO",16,16.3,0.577,19.4,12.1,19.7,2.9,6.4,4.6,14.91,15.2,0.5
139,"Darren Collison, SAC",16,28.1,0.534,22.4,9.6,21.3,1.4,5.4,3.4,14.88,26,0.9
,"Dennis Schroder, ATL",22,22,0.479,26,10.8,25.3,2.1,11.1,6.6,14.88,28,0.9
141,"Roy Hibbert, LAL",19,27.1,0.58,17,15.9,12.9,8.2,18.3,13.2,14.82,32.4,1.1
142,"Tristan Thompson, CLE",20,27.6,0.553,10.9,10.9,12.1,11.7,29.2,20.6,14.69,33.7,1.1
143,"Marvin Williams, CHA",19,31.7,0.558,13.6,7,12.9,5.5,18.7,12,14.67,28.5,0.9
144,"Jahlil Okafor, PHI",19,32.8,0.489,6,13.3,25.1,7.8,18.7,13.2,14.6,37.3,1.2
145,"Jrue Holiday, NO",15,21.9,0.508,25.2,13.7,27,0.7,8.9,4.7,14.59,17.6,0.6
146,"Julius Randle, LAL",19,28.6,0.472,12.8,11.2,20.3,6.8,27.1,16.9,14.46,24,0.8
147,"Eric Gordon, NO",20,34.4,0.548,14.7,8.2,20.8,0.9,6.4,3.6,14.44,40.4,1.3
148,"David West, SA",21,15,0.554,21.1,15.3,17.4,5.5,20,13.1,14.42,13.8,0.5
149,"Andrew Nicholson, ORL",11,19.3,0.542,4.3,8.5,17.3,5.5,20,12.6,14.39,9.1,0.3
150,"Devin Booker, PHX",16,12.8,0.661,7.2,10.8,15,0.5,9.3,4.8,14.36,11.8,0.4
151,"Nick Young, LAL",17,19.8,0.567,6.1,6.7,18.6,0.9,8.6,4.7,14.35,19.3,0.6
152,"Cody Zeller, CHA",17,21.3,0.539,9.2,9.2,14.8,7.7,18.2,12.9,14.33,15.3,0.5
153,"Jerami Grant, PHI",21,27.4,0.504,10.2,9.1,16.9,5.1,14,9.5,14.23,32.1,1.1
154,"Ersan Ilyasova, DET",20,25.9,0.571,9.6,10,16.8,5.7,10.4,7.9,14.15,20.5,0.7
155,"Patty Mills, SA",21,21.4,0.548,19.7,9.4,17.7,1.3,8.5,5.1,14.14,21.1,0.7
,"Marcus Morris, DET",20,37,0.505,11.4,9,18.5,4.4,14.4,9,14.14,29.2,1
157,"Nikola Mirotic, CHI",17,24.5,0.529,10.1,13.8,21.9,5,19.8,12.7,14.09,16.1,0.5
158,"Dewayne Dedmon, ORL",14,15.3,0.543,2.9,14.5,12.7,8.8,22.3,15.5,14.07,11.1,0.4
159,"Alex Len, PHX",20,16.1,0.525,5.5,19.9,16.9,11.4,25.5,18.3,14.01,16.4,0.5
160,"Khris Middleton, MIL",21,33.5,0.54,17.3,7.6,19.3,1,10,5.5,13.9,35.6,1.2
161,"Luol Deng, MIA",13,28.5,0.534,11.7,6.5,15.7,4,10.5,7.4,13.89,18.8,0.6
162,"Rondae Hollis-Jefferson, BKN",19,22.1,0.525,19,14.8,11.9,8.2,22.3,15.1,13.84,20.9,0.7
163,"Montrezl Harrell, HOU",15,10.3,0.631,5.4,14.5,13.6,8.2,12.2,10.1,13.83,5.4,0.2
164,"T.J. McConnell, PHI",21,27.3,0.528,39.3,16.7,16.2,2.2,16.9,9.5,13.8,23.9,0.8
165,"Steven Adams, OKC",19,23.4,0.604,12.8,12,10.1,10.3,15.6,13,13.75,20.9,0.7
166,"Omri Casspi, SAC",20,27,0.591,11.1,13.4,16.8,3.6,20.7,12.1,13.67,25.5,0.9
167,"Willie Cauley-Stein, SAC",20,18.9,0.605,7,13.9,9.8,10.3,19.6,14.9,13.64,17.1,0.6
168,"Jerryd Bayless, MIL",19,31.4,0.564,23.4,11.6,17.8,1.2,9.7,5.4,13.63,23.4,0.8
169,"Myles Turner, IND",8,15.9,0.578,2,12.1,15.2,4.3,15.3,9.8,13.61,4,0.1
170,"Brandon Rush, GS",13,11.5,0.62,13.4,13.4,14.2,3.9,20.7,12.9,13.59,6.9,0.2
171,"Gary Neal, WSH",15,19.7,0.578,8,10,18.7,1.1,11.4,6.2,13.56,11.3,0.4
172,"Boris Diaw, SA",21,18.6,0.536,29,12.4,16.4,5.3,13.5,9.7,13.53,17,0.6
173,"Channing Frye, ORL",15,15.7,0.593,9.1,9.1,14.1,4.5,18,11.1,13.52,7.1,0.2
174,"Charlie Villanueva, DAL",18,12.4,0.488,6.1,6.9,22.4,3.4,21.5,12.7,13.47,6.6,0.2
175,"Elfrid Payton, ORL",20,32.2,0.445,29.8,11.5,21.8,3.9,10.1,7,13.38,22.9,0.8
176,"Matthew Dellavedova, CLE",19,28,0.549,38.2,10.3,15.7,1.5,7.5,4.5,13.33,18.5,0.6
177,"Jason Smith, ORL",15,14.8,0.571,7.8,11.1,15.4,4.7,15.7,10.1,13.26,5.8,0.2
178,"James Johnson, TOR",16,11.8,0.619,18.4,21,14.5,4.2,15.3,9.8,13.24,4.9,0.2
179,"Gary Harris, DEN",16,26.6,0.595,16.7,12.4,15.6,2.5,8.4,5.4,13.23,17.3,0.6
180,"J.J. Barea, DAL",16,19.8,0.488,27.7,12.4,24,3.1,7.9,5.6,13.2,10.4,0.3
,"Taj Gibson, CHI",17,21.1,0.513,14.8,12.1,14.7,8.9,16.7,13,13.2,9.1,0.3
182,"Arron Afflalo, NY",13,30.3,0.539,10.7,6.1,18.8,1.7,11.9,6.9,13.1,15.3,0.5
183,"Langston Galloway, NY",21,25.3,0.511,19,5.6,15.5,2.9,13.2,8.1,13.08,20.5,0.7
184,"Jose Calderon, NY",21,26.9,0.566,32.7,9.8,13.8,1,9.2,5.2,13.01,16.9,0.6
185,"George Hill, IND",16,35.5,0.538,21.1,11.1,16.8,1.9,10.3,6.1,12.94,16.5,0.5
186,"Josh Smith, LAC",20,15.4,0.465,18.6,16.4,20.1,7.3,22.4,14.8,12.92,10.6,0.4
187,"Goran Dragic, MIA",18,31.2,0.514,26.5,12.5,19.4,2.4,8.9,5.8,12.91,16,0.5
188,"Leandro Barbosa, GS",18,14.9,0.505,18.9,10.7,20.1,3.5,7.6,5.7,12.89,9.6,0.3
189,"Rodney Hood, UTAH",17,29.3,0.515,18,10.1,20.3,1.6,8.1,4.8,12.86,17.6,0.6
190,"Wesley Johnson, LAC",20,14.9,0.635,6.9,7.9,12.8,1.8,11.5,6.7,12.78,10.1,0.3
191,"Phil Pressey, PHI",14,12.1,0.437,36,14.9,22.6,0,14.8,7.3,12.77,0,0
192,"Jamal Crawford, LAC",20,26.2,0.507,13.6,9.2,23.3,0.8,7,3.9,12.66,16.9,0.6
193,"Timofey Mozgov, CLE",17,19.5,0.546,5.5,18,17.3,7.9,16.7,12.4,12.63,10.1,0.3
,"Otto Porter Jr., WSH",17,32.4,0.54,14.5,11.2,15.4,4.2,12.2,8.1,12.63,17.5,0.6
195,"Aron Baynes, DET",20,12.7,0.485,10,13.6,16.5,11.4,20.8,15.7,12.58,7.5,0.2
196,"Monta Ellis, IND",19,32.3,0.476,24.6,13.1,20.2,1.8,9.2,5.5,12.47,18,0.6
197,"Spencer Hawes, CHA",18,16.8,0.519,23.5,12.1,17.6,4.6,20,12.2,12.35,3.8,0.1
198,"Doug McDermott, CHI",17,21.9,0.596,7.7,7,15.8,1.7,7.7,4.8,12.32,10.1,0.3
199,"Mike Muscala, ATL",16,14,0.57,11.5,14.9,14.4,4,15.1,9.6,12.3,2.7,0.1
200,"Darrell Arthur, DEN",20,20.6,0.478,10.7,7.8,16.1,7.5,13.6,10.4,12.27,4.7,0.2
201,"JaMychal Green, MEM",20,17.7,0.549,7.2,16.9,16.9,8.6,22.9,15.3,12.24,3.9,0.1
202,"D'Angelo Russell, LAL",19,28.1,0.481,18.7,12.7,20.6,3.2,15.2,9.1,12.23,9.8,0.3
,"Meyers Leonard, POR",14,25.5,0.548,13.4,7,16.1,2.5,15.7,9.2,12.23,3.9,0.1
204,"Robin Lopez, NY",21,24.5,0.491,17.5,17,16.4,10.9,14.9,12.9,12.2,12.3,0.4
205,"Maurice Harkless, POR",21,19.5,0.538,13.2,15.7,14.9,8.1,14.2,11.2,12.17,10.2,0.3
206,"Kevin Seraphin, NY",17,12.1,0.451,19.2,16.1,22.4,7,14.9,11,12.1,4.6,0.2
207,"Evan Turner, BOS",20,26,0.462,22.9,12.1,19.5,2.4,16.5,9.2,12.07,12.2,0.4
208,"Frank Kaminsky III, CHA",18,15,0.502,15.5,5.5,14.6,3.6,12.6,8,12.04,5.8,0.2
209,"Michael Carter-Williams, MIL",16,28,0.485,26.6,17.1,22.3,2.8,12.6,7.7,12.03,6.9,0.2
,"Allen Crabbe, POR",21,23.3,0.596,10.9,8.9,15.4,0.9,8,4.5,12.03,11.2,0.4
211,"Isaiah Canaan, PHI",21,26.7,0.525,13.6,10.7,19.7,1.1,8.6,4.8,12.01,8.5,0.3
212,"Devin Harris, DAL",19,21.9,0.519,18.4,11,16.8,1.8,9.7,5.9,11.94,5.9,0.2
213,"Kris Humphries, WSH",16,17.6,0.509,9.1,9.9,15.7,7,21.5,14.2,11.93,1.8,0.1
214,"Jeff Green, MEM",20,27.1,0.511,12.1,9,17.7,2.8,15.1,8.6,11.91,11.4,0.4
215,"Tyson Chandler, PHX",15,24.1,0.528,6.3,19,9.7,11.6,28.8,20.1,11.87,6.8,0.2
216,"C.J. Watson, ORL",8,19.5,0.463,34.7,8.3,14.3,2.7,8.4,5.5,11.85,2,0.1
217,"Archie Goodwin, PHX",11,11.6,0.556,10.8,15.5,18.1,1.7,17.5,9.4,11.83,2.5,0.1
218,"Kevin Garnett, MIN",17,16.1,0.452,30.4,10.5,11.1,2.9,32,17.9,11.79,1.2,0
,"Al-Farouq Aminu, POR",21,31.2,0.499,12.9,12.9,17.9,4.4,19.7,12.2,11.79,12.6,0.4
220,"Dion Waiters, OKC",19,28,0.501,14.3,11,18.2,2.6,11.6,7.3,11.76,10,0.3
221,"Rasual Butler, SA",17,9,0.434,18.7,6.8,13.8,0,14.9,7.9,11.73,2.8,0.1
222,"Tiago Splitter, ATL",14,17.3,0.531,10.5,12.6,14.7,8.3,14.9,11.6,11.7,4,0.1
223,"Matt Barnes, MEM",20,24.1,0.486,13.8,6.7,16.1,3.1,16.8,9.6,11.68,8.5,0.3
224,"Nemanja Bjelica, MIN",15,25.2,0.581,22.5,9.3,11.6,4.2,20.9,12.8,11.67,0.9,0
225,"Beno Udrih, MIA/MEM",13,12.4,0.506,31.9,14,12.1,1.4,8,4.6,11.64,1.5,0.1
226,"Kyle Korver, ATL",20,31.7,0.625,16.5,12.7,13.4,0.4,13.6,7.1,11.53,9.7,0.3
227,"DeMarre Carroll, TOR",18,34.2,0.482,8.3,9.4,17.3,4.1,12.4,8.3,11.51,9.3,0.3
228,"Bismack Biyombo, TOR",21,20.7,0.532,4.4,18.5,10.4,12.3,26.5,19.5,11.44,5.4,0.2
,"Kevin Martin, MIN",18,25.3,0.5,8.3,7.5,20.9,0.8,10,5.5,11.44,6.4,0.2
230,"Joakim Noah, CHI",16,21.6,0.385,34.6,19.6,13.5,12.3,25.9,19.4,11.35,3.9,0.1
231,"Shabazz Muhammad, MIN",19,17.1,0.543,3.8,10.7,19,4.2,10.3,7.4,11.31,3.9,0.1
232,"Anderson Varejao, CLE",17,8.9,0.502,11.8,13.8,12.8,9,25,17.1,11.28,-0.5,0
233,"JaKarr Sampson, PHI",21,15.3,0.57,6.1,16.9,17.5,4.6,16.7,10.5,11.21,3.4,0.1
,"Joe Ingles, UTAH",18,12.3,0.649,18.5,14.5,12.5,0.5,14.4,7.3,11.21,2.3,0.1
235,"Tony Allen, MEM",20,21.8,0.451,11.5,9.2,15,6.9,13.3,9.9,11.19,4.5,0.2
