RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
287,"Nick Collison, OKC",16,13.4,0.528,21.9,24.5,12.1,10.1,16.4,13.4,8.7,-9,-0.3
288,"Ty Lawson, HOU",20,27.5,0.449,29.4,15.4,16.9,2.5,6.5,4.4,8.66,-19.2,-0.6
289,"Anthony Morrow, OKC",18,16.5,0.498,7.2,7.2,14,1.2,6.5,3.9,8.58,-8.5,-0.3
290,"Anthony Tolliver, DET",19,20.1,0.467,12.4,2.9,10.2,3.1,14.4,8.4,8.51,-17,-0.6
291,"Wayne Ellington, BKN",18,14.1,0.43,10.6,6.7,15.3,1.3,10.5,5.8,8.46,-7.7,-0.3
292,"Austin Rivers, LAC",20,24.6,0.477,11.2,9.3,16.1,2.2,5.9,4,8.43,-18.8,-0.6
293,"Richard Jefferson, CLE",20,23.5,0.515,12.4,9.6,14.3,1.2,6.4,3.8,8.2,-16.2,-0.5
294,"Andrea Bargnani, BKN",17,13.1,0.454,1.6,9.6,22.2,5.3,9,7.1,8.17,-8.1,-0.3
295,"Gerald Green, MIA",12,23.8,0.466,5.4,8.1,20.7,2,10.4,6.4,8.02,-10.6,-0.4
296,"Justin Holiday, ATL",14,13.5,0.474,12.2,12.2,14.4,1.8,9.3,5.6,7.8,-7.6,-0.3
297,"Luke Babbitt, NO",14,19.3,0.523,11.8,5.9,11.4,1.6,19.5,10.4,7.65,-11.5,-0.4
298,"Jonas Jerebko, BOS",20,14,0.44,18.6,15.8,13.2,7.9,16.5,12,7.58,-16.3,-0.5
299,"Terrence Ross, TOR",15,16.7,0.446,8.4,9.4,16.3,1.8,11,6.5,7.37,-11.7,-0.4
300,"Jameer Nelson, DEN",19,23.8,0.429,30.5,12.1,18.1,1.2,9.4,5.2,7.3,-25,-0.8
301,"Corey Brewer, HOU",21,21.2,0.416,12.8,8.7,17.8,2.4,10,6.1,7.26,-21.5,-0.7
302,"Danny Green, SA",21,28.3,0.43,17.6,12,15.2,2.5,12.7,7.9,7.24,-28.9,-1
303,"Emmanuel Mudiay, DEN",21,30.2,0.381,24.3,16.1,27.6,2.7,10.6,6.5,7.16,-36.4,-1.2
304,"Justise Winslow, MIA",18,28.4,0.495,15.9,16.5,12.7,3.8,15.3,9.8,7.08,-26.2,-0.9
305,"Vince Carter, MEM",9,14.3,0.46,9.6,13.4,15.4,4.2,19.6,11.5,7.03,-6.7,-0.2
306,"Tony Snell, CHI",17,21.6,0.493,12.7,10.5,13.1,0.6,12.9,7,6.64,-21.2,-0.7
307,"Paul Pierce, LAC",19,18.7,0.444,14.8,10.1,13,1.2,15.1,8.1,6.25,-22.6,-0.8
308,"Jared Cunningham, CLE",17,12.3,0.446,13.8,12.7,16.9,0.5,8.5,4.6,5.99,-14.1,-0.5
309,"Alonzo Gee, NO",20,21.7,0.506,16.4,19.1,8.9,3.5,12.4,7.8,5.97,-29.4,-1
310,"R.J. Hunter, BOS",14,10.8,0.469,8.6,10.4,14.1,0.7,14.2,7.2,5.95,-10.3,-0.3
311,"Trey Lyles, UTAH",16,8.9,0.377,7.1,12.5,15.6,9.7,20,14.8,5.75,-12.2,-0.4
,"Steve Blake, DET",16,15.1,0.362,35.3,18,17.8,0.8,9,4.6,5.75,-19,-0.6
313,"Lamar Patterson, ATL",16,14.5,0.477,27.5,13.7,12.4,1.4,11.8,6.7,5.68,-16.7,-0.6
314,"Mario Hezonja, ORL",18,11.8,0.501,10.4,19.8,16.9,2.5,10.3,6.3,5.28,-16.5,-0.6
315,"Tayshaun Prince, MIN",19,19.8,0.429,16.9,8.5,7.8,2.4,9.5,6.1,4.99,-30.9,-1
316,"Randy Foye, DEN",21,20.8,0.396,18.7,12.3,16.4,2.2,7.7,4.9,4.98,-35.9,-1.2
317,"P.J. Hairston, CHA",16,16.8,0.432,12.2,6.7,12.3,0.4,13,6.6,4.94,-22.3,-0.7
318,"Noah Vonleh, POR",21,14.2,0.447,7.6,18.4,11.9,5.5,17.4,11.6,4.81,-29.8,-1
319,"Omer Asik, NO",13,15.2,0.44,4.5,29.2,8.7,6.5,25.6,15.9,4.07,-19.2,-0.6
320,"Sasha Vujacic, NY",14,15.8,0.316,18.4,12.6,16.7,4.5,14.4,9.5,3.91,-21.7,-0.7
321,"Kyle Singler, OKC",15,12,0.324,0,17.8,13.5,2.5,11.8,7.4,-1.16,-31.3,-1
