Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,LAL,James Worthy,University of North Carolina,12,926,30001,16320,4708,2791,.521,.241,.769,32.4,17.6,5.1,3.0,81.2,.130
2,2,SDC,Terry Cummings,DePaul University,18,1183,33898,19460,8630,2190,.484,.295,.706,28.7,16.4,7.3,1.9,91.1,.129
3,3,UTA,Dominique Wilkins,University of Georgia,15,1074,38113,26668,7169,2677,.461,.319,.811,35.5,24.8,6.7,2.5,117.5,.148
4,4,DAL,Bill Garnett,University of Wyoming,4,300,5260,1638,1298,393,.490,.000,.720,17.5,5.5,4.3,1.3,10.8,.099
5,5,KCK,LaSalle Thompson,University of Texas at Austin,15,985,21238,7806,6689,1139,.492,.154,.737,21.6,7.9,6.8,1.2,35.0,.079
6,6,NYK,Trent Tucker,University of Minnesota,11,756,15671,6236,1520,1532,.461,.408,.754,20.7,8.2,2.0,2.0,34.3,.105
7,7,CHI,Quintin Dailey,University of San Francisco,10,528,12170,7470,1307,1188,.454,.158,.779,23.0,14.1,2.5,2.3,12.7,.050
8,8,IND,Clark Kellogg,Ohio State University,5,260,8514,4918,2482,764,.497,.338,.757,32.7,18.9,9.5,2.9,20.9,.118
9,9,DET,Cliff Levingston,Wichita State University,11,830,16962,5888,4307,752,.516,.152,.676,20.4,7.1,5.2,0.9,44.2,.125
10,10,ATL,Keith Edmonson,Purdue University,2,87,931,522,127,56,.448,.000,.719,10.7,6.0,1.5,0.6,0.4,.022
11,11,POR,Fat Lever,Arizona State University,11,752,23814,10433,4523,4696,.447,.310,.771,31.7,13.9,6.0,6.2,61.2,.123
12,12,CLE,John Bagley,Boston College,11,665,17120,5802,1729,3980,.437,.241,.779,25.7,8.7,2.6,6.0,16.6,.047
13,13,NJN,Sleepy Floyd,Georgetown University,13,957,26383,12260,2494,5175,.444,.324,.815,27.6,12.8,2.6,5.4,50.6,.092
14,14,GSW,Lester Conner,Oregon State University,12,687,14970,4337,1861,2669,.453,.202,.753,21.8,6.3,2.7,3.9,28.6,.092
15,15,PHO,David Thirdkill,Bradley University,5,179,1469,510,209,84,.457,.091,.565,8.2,2.8,1.2,0.5,1.3,.042
16,16,HOU,Terry Teagle,Baylor University,11,687,14509,7982,1803,956,.465,.210,.792,21.1,11.6,2.6,1.4,13.4,.044
17,17,KCK,Brook Steppe,Georgia Institute of Technology,5,238,2858,1297,345,280,.469,.310,.820,12.0,5.4,1.4,1.2,4.6,.078
18,18,DET,Ricky Pierce,Rice University,16,969,23665,14467,2296,1826,.493,.322,.875,24.4,14.9,2.4,1.9,72.2,.146
19,19,DEN,Rob Williams,University of Houston,2,153,3367,1319,330,825,.439,.274,.789,22.0,8.6,2.2,5.4,2.1,.030
20,20,MIL,Paul Pressey,University of Tulsa,11,724,19659,7664,2798,3715,.485,.222,.749,27.2,10.6,3.9,5.1,49.0,.120
21,21,NJN,Eddie Phillips,University of Alabama,1,48,416,152,77,29,.406,.000,.678,8.7,3.2,1.6,0.6,0.1,.011
22,22,PHI,Mark McNamara,University of California,8,278,2707,980,827,77,.512,,.548,9.7,3.5,3.0,0.3,2.8,.049
23,23,BOS,Darren Tillis,Cleveland State University,2,124,1256,425,314,42,.423,.000,.626,10.1,3.4,2.5,0.3,0.9,.036
24,24,SAS,Oliver Robinson,University of Alabama at Birmingham,1,35,147,101,17,21,.361,.091,.667,4.2,2.9,0.5,0.6,0.1,.018
25,25,WSB,Bryan Warrick,Saint Joseph's University,4,169,2379,677,218,437,.443,.208,.747,14.1,4.0,1.3,2.6,1.6,.033
26,26,CHI,Ricky Frazier,University of Missouri,,,,,,,,,,,,,,,
27,27,MIL,Fred Roberts,Brigham Young University,13,818,14703,5962,2308,977,.502,.325,.796,18.0,7.3,2.8,1.2,26.2,.086
28,28,CLE,Dave Magley,University of Kansas,1,14,56,12,10,2,.250,.000,.500,4.0,0.9,0.7,0.1,-0.1,-0.066
29,29,NYK,Scott Hastings,University of Arkansas,11,578,5985,1647,1287,284,.441,.292,.811,10.4,2.8,2.2,0.5,9.8,.079
30,30,CHI,Wallace Bryant,University of San Francisco,3,102,1395,323,374,112,.407,,.573,13.7,3.2,3.7,1.1,1.3,.044
31,31,CHI,Rod Higgins,California State University Fresno,13,779,17189,7011,2819,1254,.465,.342,.808,22.1,9.0,3.6,1.6,37.8,.106
32,32,SDC,Richard Anderson,University of California Santa Barbara,6,407,6002,2260,1418,611,.412,.333,.762,14.7,5.6,3.5,1.5,7.6,.061
33,33,POR,Linton Townes,James Madison University,3,60,543,257,67,32,.440,.360,.750,9.1,4.3,1.1,0.5,0.6,.057
34,34,NYK,Vince Taylor,Duke University,1,31,321,95,36,41,.363,,.656,10.4,3.1,1.2,1.3,0.1,.009
35,35,GSW,Derek Smith,University of Louisville,9,408,9825,5232,1300,866,.499,.294,.753,24.1,12.8,3.2,2.1,18.3,.089
36,36,PHI,J.J. Anderson,Bradley University,3,157,1970,751,439,110,.465,.000,.558,12.5,4.8,2.8,0.7,2.7,.065
37,37,POR,Audie Norris,Jackson State University,3,187,2585,819,576,147,.511,.000,.662,13.8,4.4,3.1,0.8,2.9,.054
38,38,GSW,Wayne Sappleton,Loyola University of Chicago,1,33,298,96,75,7,.471,,.412,9.0,2.9,2.3,0.2,0.1,.012
39,39,PHO,Kevin Magee,University of California Irvine,,,,,,,,,,,,,,,
40,40,IND,Guy Morgan,Wake Forest University,1,8,46,15,17,7,.292,,.250,5.8,1.9,2.1,0.9,-0.1,-0.059
41,41,WSB,Dwight Anderson,University of Southern California,1,5,33,21,2,3,.500,,.700,6.6,4.2,0.4,0.6,0.0,.001
42,42,HOU,Jeff Taylor,Texas Tech University,2,56,818,179,82,113,.412,.000,.696,14.6,3.2,1.5,2.0,-0.1,-0.008
43,43,IND,Jose Slaughter,University of Portland,1,63,515,225,68,52,.374,.220,.644,8.2,3.6,1.1,0.8,-0.1,-0.007
44,44,WSB,Mike Gibson,University of South Carolina Upstate,2,64,390,101,106,14,.387,,.679,6.1,1.6,1.7,0.2,0.3,.042
45,45,PHI,Russ Schoene,University of Tennessee at Chattanooga,4,290,3548,1491,735,175,.435,.335,.751,12.2,5.1,2.5,0.6,4.5,.061
46,46,BOS,Tony Guy,University of Kansas,,,,,,,,,,,,,,,
