Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,LAC,Blake Griffin,University of Oklahoma,5,375,13321,8052,3633,1484,.523,.263,.656,35.5,21.5,9.7,4.0,50.9,.183
2,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099
3,3,OKC,James Harden,Arizona State University,6,452,14616,8886,1933,2008,.444,.370,.854,32.3,19.7,4.3,4.4,63.0,.207
4,4,SAC,Tyreke Evans,University of Memphis,6,408,13680,6841,1988,2129,.447,.278,.755,33.5,16.8,4.9,5.2,21.7,.076
5,5,MIN,Ricky Rubio,,4,202,6425,2051,867,1651,.367,.314,.801,31.8,10.2,4.3,8.2,11.4,.085
6,6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-0.015
7,7,GSW,Stephen Curry,Davidson College,6,416,14559,8714,1719,2866,.471,.440,.900,35.0,20.9,4.1,6.9,53.7,.177
8,8,NYK,Jordan Hill,University of Arizona,6,329,6132,2575,1924,235,.495,.143,.695,18.6,7.8,5.8,0.7,12.5,.098
9,9,TOR,DeMar DeRozan,University of Southern California,6,443,14851,7606,1689,1056,.442,.270,.818,33.5,17.2,3.8,2.4,25.5,.082
10,10,MIL,Brandon Jennings,,6,412,13969,6819,1336,2542,.391,.351,.802,33.9,16.6,3.2,6.2,26.6,.091
11,11,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-0.004
12,12,CHA,Gerald Henderson,Duke University,6,391,10756,4701,1320,822,.443,.309,.794,27.5,12.0,3.4,2.1,14.2,.063
13,13,IND,Tyler Hansbrough,University of North Carolina,6,384,6890,2777,1719,173,.439,.053,.746,17.9,7.2,4.5,0.5,19.2,.134
14,14,PHO,Earl Clark,University of Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038
15,15,DET,Austin Daye,Gonzaga University,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053
16,16,CHI,James Johnson,Wake Forest University,6,341,6344,2307,1130,523,.477,.258,.703,18.6,6.8,3.3,1.5,10.6,.080
17,17,PHI,Jrue Holiday,University of California Los Angeles,6,372,12236,5073,1341,2268,.439,.376,.790,32.9,13.6,3.6,6.1,19.3,.076
18,18,MIN,Ty Lawson,University of North Carolina,6,416,12945,5923,1207,2745,.466,.369,.771,31.1,14.2,2.9,6.6,38.0,.141
19,19,ATL,Jeff Teague,Wake Forest University,6,439,11263,5052,900,2201,.450,.341,.839,25.7,11.5,2.1,5.0,27.2,.116
20,20,UTA,Eric Maynor,Virginia Commonwealth University,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041
21,21,NOH,Darren Collison,University of California Los Angeles,6,421,12353,5214,1154,2086,.465,.366,.850,29.3,12.4,2.7,5.0,26.4,.102
22,22,POR,Victor Claver,,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011
23,23,SAC,Omri Casspi,,6,394,8176,3117,1518,453,.432,.356,.684,20.8,7.9,3.9,1.1,12.0,.070
24,24,DAL,Byron Mullens,Ohio State University,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008
25,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079
26,26,CHI,Taj Gibson,University of Southern California,6,434,10732,4014,2700,398,.486,.053,.692,24.7,9.2,6.2,0.9,28.2,.126
27,27,MEM,DeMarre Carroll,University of Missouri,6,316,6834,2412,1174,368,.462,.366,.733,21.6,7.6,3.7,1.2,17.0,.119
28,28,MIN,Wayne Ellington,University of North Carolina,6,377,7267,2635,785,407,.416,.382,.847,19.3,7.0,2.1,1.1,6.6,.044
29,29,LAL,Toney Douglas,Florida State University,6,309,5855,2361,671,676,.405,.352,.816,18.9,7.6,2.2,2.2,9.2,.075
30,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-0.020
31,31,SAC,Jeff Pendergraph,Arizona State University,5,220,2215,660,610,94,.554,.500,.766,10.1,3.0,2.8,0.4,6.1,.133
32,32,WAS,Jermaine Taylor,University of Central Florida,2,65,786,351,108,48,.441,.284,.730,12.1,5.4,1.7,0.7,0.2,.014
33,33,POR,Dante Cunningham,Villanova University,6,432,8765,2603,1677,294,.472,.053,.644,20.3,6.0,3.9,0.7,15.4,.085
34,34,DEN,Sergio Llull,,,,,,,,,,,,,,,,
35,35,DET,DaJuan Summers,Georgetown University,4,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-0.008
36,36,MEM,Sam Young,University of Pittsburgh,4,249,3966,1436,573,180,.442,.280,.742,15.9,5.8,2.3,0.7,5.2,.063
37,37,SAS,DeJuan Blair,University of Pittsburgh,6,395,6836,2804,2096,338,.527,.000,.612,17.3,7.1,5.3,0.9,19.1,.134
38,38,POR,Jon Brockman,University of Washington,3,150,1570,320,472,49,.488,.000,.618,10.5,2.1,3.1,0.3,3.7,.113
39,39,DET,Jonas Jerebko,,5,332,6563,2392,1428,254,.465,.344,.764,19.8,7.2,4.3,0.8,14.6,.107
40,40,CHA,Derrick Brown,Xavier University,3,171,2554,895,413,119,.515,.317,.637,14.9,5.2,2.4,0.7,4.5,.085
41,41,MIL,Jodie Meeks,University of Kentucky,6,415,10106,4101,900,457,.422,.373,.881,24.4,9.9,2.2,1.1,20.7,.098
42,42,LAL,Patrick Beverley,University of Arkansas,3,153,4191,1369,542,460,.401,.361,.798,27.4,8.9,3.5,3.0,9.9,.113
43,43,MIA,Marcus Thornton,Louisiana State University,6,389,9615,4941,1122,551,.429,.362,.828,24.7,12.7,2.9,1.4,17.8,.089
44,44,DET,Chase Budinger,University of Arizona,6,341,7069,2927,1090,409,.429,.358,.810,20.7,8.6,3.2,1.2,12.5,.085
45,45,MIN,Nick Calathes,University of Florida,2,129,2011,590,243,353,.441,.288,.581,15.6,4.6,1.9,2.7,2.6,.063
46,46,CLE,Danny Green,University of North Carolina,6,323,7893,3086,1076,496,.440,.420,.829,24.4,9.6,3.3,1.5,22.8,.138
47,47,MIN,Henk Norel,,,,,,,,,,,,,,,,
48,48,PHO,Taylor Griffin,University of Oklahoma,1,8,32,10,2,1,.400,.000,.500,4.0,1.3,0.3,0.1,0.0,-0.039
49,49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,
50,50,UTA,Goran Suton,Michigan State University,,,,,,,,,,,,,,,
51,51,SAS,Jack McClinton,University of Miami,,,,,,,,,,,,,,,
52,52,IND,A.J. Price,University of Connecticut,6,261,3929,1523,377,567,.380,.316,.742,15.1,5.8,1.4,2.2,4.7,.058
53,53,SAS,Nando De Colo,,2,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081
54,54,CHA,Robert Vaden,University of Alabama at Birmingham,,,,,,,,,,,,,,,
55,55,POR,Patrick Mills,Saint Mary's College of California,6,280,4066,2015,375,451,.439,.391,.843,14.5,7.2,1.3,1.6,10.1,.119
56,56,DAL,Ahmad Nivins,Saint Joseph's University,,,,,,,,,,,,,,,
57,57,PHO,Emir Preldzic,,,,,,,,,,,,,,,,
58,58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,.375,.277,.806,10.4,4.7,1.4,1.2,0.2,.016
59,59,LAL,Chinemelu Elonu,Texas A&amp;M University,,,,,,,,,,,,,,,
60,60,MIA,Robert Dozier,University of Memphis,,,,,,,,,,,,,,,
