Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CLE,Brad Daugherty,University of North Carolina,8,548,20029,10389,5227,2028,.532,.143,.747,36.5,19.0,9.5,3.7,65.2,.156
2,2,BOS,Len Bias,University of Maryland,,,,,,,,,,,,,,,
3,3,GSW,Chris Washburn,North Carolina State University,2,72,645,222,176,22,.412,.000,.439,9.0,3.1,2.4,0.3,-0.6,-0.046
4,4,IND,Chuck Person,Auburn University,13,943,28941,13858,4763,2645,.458,.362,.723,30.7,14.7,5.1,2.8,38.9,.065
5,5,NYK,Kenny Walker,University of Kentucky,7,448,9050,3128,1793,299,.485,.206,.749,20.2,7.0,4.0,0.7,17.9,.095
6,6,PHO,William Bedford,University of Memphis,6,238,2514,964,573,109,.416,.318,.605,10.6,4.1,2.4,0.5,0.9,.017
7,7,DAL,Roy Tarpley,University of Michigan,6,280,7476,3533,2803,292,.483,.176,.744,26.7,12.6,10.0,1.0,19.8,.127
8,8,CLE,Ron Harper,Miami University,15,1009,31199,13910,4309,3916,.446,.289,.720,30.9,13.8,4.3,3.9,65.8,.101
9,9,CHI,Brad Sellers,Ohio State University,6,398,7154,2509,1064,435,.452,.200,.793,18.0,6.3,2.7,1.1,9.8,.066
10,10,SAS,Johnny Dawkins,Duke University,9,541,14859,5984,1336,2997,.456,.330,.857,27.5,11.1,2.5,5.5,21.8,.070
11,11,DET,John Salley,Georgia Institute of Technology,11,748,16524,5228,3356,916,.506,.214,.714,22.1,7.0,4.5,1.2,41.5,.121
12,12,WSB,John Williams,Louisiana State University,8,435,10952,4406,2201,1262,.451,.225,.704,25.2,10.1,5.1,2.9,19.9,.087
13,13,NJN,Pearl Washington,Syracuse University,3,194,4044,1660,370,733,.452,.184,.746,20.8,8.6,1.9,3.8,1.9,.023
14,14,POR,Walter Berry,St. John's University,3,205,4863,2882,971,292,.539,.200,.638,23.7,14.1,4.7,1.4,8.2,.081
15,15,UTA,Dell Curry,Virginia Polytechnic Institute and State University,16,1083,23549,12670,2617,1909,.457,.402,.843,21.7,11.7,2.4,1.8,41.5,.085
16,16,DEN,Maurice Martin,Saint Joseph's University,2,69,422,204,65,49,.378,.211,.598,6.1,3.0,0.9,0.7,-0.3,-0.033
17,17,SAC,Harold Pressley,Villanova University,4,299,6802,2702,1339,628,.437,.358,.778,22.7,9.0,4.5,2.1,10.0,.070
18,18,DEN,Mark Alarie,Duke University,5,325,5500,2432,1120,363,.475,.252,.775,16.9,7.5,3.4,1.1,8.4,.073
19,19,ATL,Billy Thompson,University of Louisville,6,300,6697,2566,1615,514,.505,.154,.674,22.3,8.6,5.4,1.7,9.6,.069
20,20,HOU,Buck Johnson,University of Alabama,7,505,11849,4617,1760,856,.488,.113,.738,23.5,9.1,3.5,1.7,20.8,.084
21,21,WSB,Anthony Jones,University of Nevada Las Vegas,3,164,1704,594,214,119,.393,.306,.740,10.4,3.6,1.3,0.7,0.8,.022
22,22,MIL,Scott Skiles,Michigan State University,10,600,16789,6652,1526,3881,.435,.379,.889,28.0,11.1,2.5,6.5,30.4,.087
23,23,LAL,Ken Barlow,University of Notre Dame,,,,,,,,,,,,,,,
24,24,POR,Arvydas Sabonis,,7,470,11375,5629,3436,964,.500,.328,.786,24.2,12.0,7.3,2.1,47.3,.200
25,25,DAL,Mark Price,Georgia Institute of Technology,12,722,21560,10989,1848,4863,.472,.402,.904,29.9,15.2,2.6,6.7,71.1,.158
26,26,IND,Greg Dreiling,University of Kansas,10,474,4241,1014,1018,186,.467,.333,.649,8.9,2.1,2.1,0.4,4.0,.045
27,27,DET,Dennis Rodman,Southeastern Oklahoma State University,14,911,28839,6683,11954,1600,.521,.231,.584,31.7,7.3,13.1,1.8,89.8,.150
28,28,CHI,Larry Krystkowiak,University of Montana,9,420,9097,3425,2051,513,.457,.139,.795,21.7,8.2,4.9,1.2,15.6,.082
29,29,CLE,Johnny Newman,University of Richmond,16,1159,28435,12740,2536,1688,.461,.336,.810,24.5,11.0,2.2,1.5,50.3,.085
30,30,SEA,Nate McMillan,North Carolina State University,12,796,20462,4733,3222,4893,.443,.343,.650,25.7,5.9,4.0,6.1,50.2,.118
31,31,PHO,Joe Ward,University of Georgia,,,,,,,,,,,,,,,
32,32,ATL,Cedric Henderson,University of Georgia,1,8,16,11,8,0,.500,,1.000,2.0,1.4,1.0,0.0,0.0,-0.015
33,33,SAS,Kevin Duckworth,Eastern Illinois University,11,684,17462,8085,3945,598,.468,.208,.736,25.5,11.8,5.8,0.9,24.7,.068
34,34,SAC,Johnny Rogers,University of California Irvine,2,69,636,251,104,29,.472,.000,.679,9.2,3.6,1.5,0.4,0.4,.032
35,35,DAL,Milt Wagner,University of Louisville,2,53,496,215,35,76,.422,.296,.875,9.4,4.1,0.7,1.4,0.4,.039
36,36,WSB,Steve Mitchell,University of Alabama at Birmingham,,,,,,,,,,,,,,,
37,37,POR,Parragiotis Fasoulas,North Carolina State University,,,,,,,,,,,,,,,
38,38,SEA,Lemone Lampley,DePaul University,,,,,,,,,,,,,,,
39,39,PHO,Rafael Addison,Syracuse University,6,379,5697,2186,780,339,.449,.282,.772,15.0,5.8,2.1,0.9,4.9,.041
40,40,ATL,Augusto Binelli,,,,,,,,,,,,,,,,
41,41,DEN,Otis Smith,Jacksonville University,6,375,7720,3951,1416,690,.455,.251,.762,20.6,10.5,3.8,1.8,12.3,.076
42,42,ATL,Ron Kellogg,University of Kansas,,,,,,,,,,,,,,,
43,43,HOU,Dave Feitl,University of Texas at El Paso,5,275,3001,1192,815,125,.433,.000,.751,10.9,4.3,3.0,0.5,1.4,.022
44,44,PHI,David Wingate,Georgetown University,15,740,13243,4166,1420,1376,.445,.272,.738,17.9,5.6,1.9,1.9,11.7,.042
45,45,MIL,Keith Smith,Loyola Marymount University,1,42,461,138,32,43,.380,.333,.750,11.0,3.3,0.8,1.0,0.0,-0.003
46,46,PHO,Jeff Hornacek,Iowa State University,14,1077,33964,15659,3646,5281,.496,.403,.877,31.5,14.5,3.4,4.9,108.9,.154
47,47,NYK,Michael Jackson,Georgetown University,3,89,888,188,70,198,.369,.273,.675,10.0,2.1,0.8,2.2,-0.2,-0.011
