Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,POR,Greg Oden,Ohio State University,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174
2,2,SEA,Kevin Durant,University of Texas at Austin,8,569,21630,15537,3929,2002,.481,.379,.881,38.0,27.3,6.9,3.5,93.4,.207
3,3,ATL,Al Horford,University of Florida,8,496,16711,7039,4548,1326,.541,.323,.738,33.7,14.2,9.2,2.7,54.7,.157
4,4,MEM,Mike Conley,Ohio State University,8,581,18932,7778,1656,3236,.442,.375,.803,32.6,13.4,2.9,5.6,47.5,.120
5,5,BOS,Jeff Green,Georgetown University,7,556,18107,7951,2774,916,.439,.342,.791,32.6,14.3,5.0,1.6,28.9,.077
6,6,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025
7,7,MIN,Corey Brewer,University of Florida,8,547,14088,5600,1684,938,.428,.290,.708,25.8,10.2,3.1,1.7,16.8,.057
8,8,CHA,Brandan Wright,University of North Carolina,7,360,5909,2565,1344,165,.606,.000,.683,16.4,7.1,3.7,0.5,22.6,.184
9,9,CHI,Joakim Noah,University of Florida,8,543,16213,5201,5132,1594,.494,.000,.716,29.9,9.6,9.5,2.9,56.3,.167
10,10,SAC,Spencer Hawes,University of Washington,8,573,13709,5255,3458,1081,.459,.351,.699,23.9,9.2,6.0,1.9,19.0,.066
11,11,ATL,Acie Law,Texas A&amp;M University,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032
12,12,PHI,Thaddeus Young,Georgia Institute of Technology,8,592,17950,8149,3256,877,.495,.323,.693,30.3,13.8,5.5,1.5,38.6,.103
13,13,NOK,Julian Wright,University of Kansas,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061
14,14,LAC,Al Thornton,Florida State University,4,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035
15,15,DET,Rodney Stuckey,Eastern Washington University,8,554,15919,7387,1672,2107,.425,.305,.827,28.7,13.3,3.0,3.8,26.7,.081
16,16,WAS,Nick Young,University of Southern California,8,522,12400,6421,1066,557,.423,.376,.833,23.8,12.3,2.0,1.1,13.7,.053
17,17,NJN,Sean Williams,Boston College,4,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073
18,18,GSW,Marco Belinelli,,8,502,11453,4733,1026,806,.430,.392,.819,22.8,9.4,2.0,1.6,19.7,.083
19,19,LAL,Javaris Crittenton,Georgia Institute of Technology,2,113,1853,595,276,201,.442,.231,.638,16.4,5.3,2.4,1.8,0.1,.002
20,20,MIA,Jason Smith,Colorado State University,7,413,7305,2633,1493,326,.462,.300,.782,17.7,6.4,3.6,0.8,9.8,.065
21,21,PHI,Daequan Cook,Ohio State University,6,328,5993,2114,703,243,.369,.359,.813,18.3,6.4,2.1,0.7,4.9,.039
22,22,CHA,Jared Dudley,Boston College,8,595,14306,5048,2016,909,.468,.396,.736,24.0,8.5,3.4,1.5,33.1,.111
23,23,NYK,Wilson Chandler,DePaul University,8,445,13833,6098,2356,784,.442,.339,.777,31.1,13.7,5.3,1.8,20.0,.069
24,24,PHO,Rudy Fernandez,,4,249,5965,2254,608,554,.399,.360,.840,24.0,9.1,2.4,2.2,14.2,.114
25,25,UTA,Morris Almond,Rice University,3,38,361,119,46,12,.381,.292,.743,9.5,3.1,1.2,0.3,0.0,.005
26,26,HOU,Aaron Brooks,University of Oregon,7,479,11248,5371,892,1600,.415,.371,.845,23.5,11.2,1.9,3.3,17.9,.076
27,27,DET,Arron Afflalo,University of California Los Angeles,8,577,16196,6595,1719,1134,.453,.385,.819,28.1,11.4,3.0,2.0,29.2,.087
28,28,SAS,Tiago Splitter,,5,311,6157,2576,1637,389,.560,.000,.690,19.8,8.3,5.3,1.3,23.4,.183
29,29,PHO,Alando Tucker,University of Wisconsin,3,51,426,211,49,16,.423,.294,.783,8.4,4.1,1.0,0.3,0.4,.045
30,30,PHI,Petteri Koponen,,,,,,,,,,,,,,,,
31,31,SEA,Carl Landry,Purdue University,8,477,10955,5190,2387,323,.534,.176,.788,23.0,10.9,5.0,0.7,33.8,.148
32,32,BOS,Gabe Pruitt,University of Southern California,2,62,461,125,51,52,.321,.283,.783,7.4,2.0,0.8,0.8,0.4,.043
33,33,SAS,Marcus Williams,University of Arizona,2,13,39,14,12,3,.318,,,3.0,1.1,0.9,0.2,-0.1,-0.084
34,34,DAL,Nick Fazekas,University of Nevada Reno,1,26,269,107,89,11,.561,.000,.682,10.3,4.1,3.4,0.4,0.8,.148
35,35,SEA,Glen Davis,Louisiana State University,8,514,10865,4111,2236,457,.447,.182,.700,21.1,8.0,4.4,0.9,18.6,.082
