Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CLE,Andrew Wiggins,University of Kansas,1,82,2969,1387,374,170,.437,.310,.760,36.2,16.9,4.6,2.1,2.1,.034
2,2,MIL,Jabari Parker,Duke University,1,25,738,308,138,42,.490,.250,.697,29.5,12.3,5.5,1.7,1.3,.088
3,3,PHI,Joel Embiid,University of Kansas,,,,,,,,,,,,,,,
4,4,ORL,Aaron Gordon,University of Arizona,1,47,797,243,169,33,.447,.271,.721,17.0,5.2,3.6,0.7,1.0,.060
5,5,UTA,Dante Exum,,1,82,1817,393,131,198,.349,.314,.625,22.2,4.8,1.6,2.4,-0.1,-0.003
6,6,BOS,Marcus Smart,Oklahoma State University,1,67,1808,523,222,208,.367,.335,.646,27.0,7.8,3.3,3.1,2.9,.077
7,7,LAL,Julius Randle,University of Kentucky,1,1,14,2,0,0,.333,,.000,14.0,2.0,0.0,0.0,-0.1,-0.276
8,8,SAC,Nik Stauskas,University of Michigan,1,73,1127,319,88,67,.365,.322,.859,15.4,4.4,1.2,0.9,0.5,.021
9,9,CHH,Noah Vonleh,Indiana University,1,25,259,83,86,4,.395,.385,.692,10.4,3.3,3.4,0.2,0.5,.084
10,10,PHI,Elfrid Payton,University of Louisiana at Lafayette,1,82,2489,731,349,533,.425,.262,.551,30.4,8.9,4.3,6.5,2.3,.044
11,11,DEN,Doug McDermott,Creighton University,1,36,321,109,43,6,.402,.317,.667,8.9,3.0,1.2,0.2,0.0,-0.005
12,12,ORL,Dario Saric,,,,,,,,,,,,,,,,
13,13,MIN,Zach LaVine,University of California Los Angeles,1,77,1902,778,214,276,.422,.341,.842,24.7,10.1,2.8,3.6,-0.7,-0.018
14,14,PHO,T.J. Warren,North Carolina State University,1,40,614,245,85,25,.528,.238,.737,15.4,6.1,2.1,0.6,1.1,.085
15,15,ATL,Adreian Payne,Michigan State University,1,32,739,213,162,30,.414,.111,.652,23.1,6.7,5.1,0.9,-0.5,-0.033
16,16,CHI,Jusuf Nurkic,,1,62,1103,426,382,50,.446,.000,.636,17.8,6.9,6.2,0.8,1.6,.069
17,17,BOS,James Young,University of Kentucky,1,31,332,105,42,13,.353,.258,.552,10.7,3.4,1.4,0.4,0.3,.047
18,18,PHO,Tyler Ennis,Syracuse University,1,33,411,121,35,73,.361,.279,.714,12.5,3.7,1.1,2.2,-0.3,-0.040
19,19,CHI,Gary Harris,Michigan State University,1,55,719,188,64,29,.304,.204,.745,13.1,3.4,1.2,0.5,-0.7,-0.046
20,20,TOR,Bruno Caboclo,,1,8,23,10,2,0,.333,.667,,2.9,1.3,0.3,0.0,-0.1,-0.275
21,21,OKC,Mitch McGary,University of Michigan,1,32,485,201,165,14,.533,.000,.625,15.2,6.3,5.2,0.4,1.3,.127
22,22,MEM,Jordan Adams,University of California Los Angeles,1,30,248,94,28,16,.407,.400,.609,8.3,3.1,0.9,0.5,0.4,.073
23,23,UTA,Rodney Hood,Duke University,1,50,1064,433,117,83,.414,.365,.763,21.3,8.7,2.3,1.7,2.2,.098
24,24,CHH,Shabazz Napier,University of Connecticut,1,51,1012,261,113,130,.382,.364,.786,19.8,5.1,2.2,2.5,0.5,.024
25,25,HOU,Clint Capela,,1,12,90,32,36,2,.483,,.174,7.5,2.7,3.0,0.2,0.0,.019
26,26,MIA,P.J. Hairston,University of North Carolina,1,45,687,254,92,21,.323,.301,.861,15.3,5.6,2.0,0.5,0.3,.022
27,27,PHO,Bogdan Bogdanovic,,,,,,,,,,,,,,,,
28,28,LAC,C.J. Wilcox,University of Washington,1,21,101,41,7,8,.421,.368,1.000,4.8,2.0,0.3,0.4,0.0,-0.024
29,29,OKC,Josh Huestis,Stanford University,,,,,,,,,,,,,,,
30,30,SAS,Kyle Anderson,University of California Los Angeles,1,33,358,74,72,28,.348,.273,.643,10.8,2.2,2.2,0.8,0.3,.044
31,31,MIL,Damien Inglis,,,,,,,,,,,,,,,,
32,32,PHI,K.J. McDaniels,Clemson University,1,62,1352,487,200,72,.396,.287,.752,21.8,7.9,3.2,1.2,0.6,.020
33,33,CLE,Joe Harris,University of Virginia,1,51,493,136,41,26,.400,.369,.600,9.7,2.7,0.8,0.5,0.2,.018
34,34,NYK,Cleanthony Early,Wichita State University,1,39,647,210,97,36,.355,.262,.750,16.6,5.4,2.5,0.9,-0.4,-0.030
35,35,UTA,Jarnell Stokes,University of Tennessee,1,19,126,57,34,4,.568,,.536,6.6,3.0,1.8,0.2,0.5,.186
36,36,MIL,Johnny O'Bryant III,Louisiana State University,1,34,368,100,64,17,.367,,.444,10.8,2.9,1.9,0.5,-0.5,-0.063
37,37,TOR,DeAndre Daniels,University of Connecticut,,,,,,,,,,,,,,,
38,38,DET,Spencer Dinwiddie,University of Colorado,1,34,455,145,48,104,.302,.185,.912,13.4,4.3,1.4,3.1,0.1,.009
39,39,PHI,Jerami Grant,Syracuse University,1,65,1377,411,198,79,.352,.314,.591,21.2,6.3,3.0,1.2,0.5,.019
40,40,MIN,Glenn Robinson III,University of Michigan,1,35,261,73,39,11,.388,.263,.667,7.5,2.1,1.1,0.3,0.1,.012
41,41,DEN,Nikola Jokic,,,,,,,,,,,,,,,,
42,42,HOU,Nick Johnson,University of Arizona,1,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-0.020
43,43,ATL,Walter Tavares,,,,,,,,,,,,,,,,
44,44,MIN,Markel Brown,Oklahoma State University,1,47,781,216,107,39,.362,.266,.825,16.6,4.6,2.3,0.8,0.5,.031
45,45,CHH,Dwight Powell,Stanford University,1,29,236,90,50,9,.463,.273,.758,8.1,3.1,1.7,0.3,0.6,.122
46,46,WAS,Jordan Clarkson,University of Missouri,1,59,1476,703,191,206,.448,.314,.829,25.0,11.9,3.2,3.5,2.4,.078
47,47,PHI,Russ Smith,University of Louisville,1,12,65,30,6,8,.320,.182,.923,5.4,2.5,0.5,0.7,-0.1,-0.094
48,48,MIL,Lamar Patterson,University of Pittsburgh,,,,,,,,,,,,,,,
49,49,CHI,Cameron Bairstow,University of New Mexico,1,18,64,10,8,1,.214,,.800,3.6,0.6,0.4,0.1,-0.1,-0.048
50,50,PHO,Alec Brown,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,
51,51,NYK,Thanasis Antetokounmpo,,,,,,,,,,,,,,,,
52,52,PHI,Vasilije Micic,,,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubic,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,Xavier University,,,,,,,,,,,,,,,
56,56,DEN,Roy Devyn Marble,University of Iowa,1,16,208,37,31,17,.318,.182,.313,13.0,2.3,1.9,1.1,-0.1,-0.031
57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,University of Tennessee,,,,,,,,,,,,,,,
59,59,TOR,Xavier Thames,San Diego State University,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,Baylor University,1,50,531,183,145,16,.449,.133,.574,10.6,3.7,2.9,0.3,0.8,.071
