Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,CLE,LeBron James,,12,911,35769,24913,6502,6301,.496,.342,.745,39.3,27.3,7.1,6.9,178.9,.240
2,2,DET,Darko Milicic,,10,468,8638,2813,1971,405,.460,.000,.574,18.5,6.0,4.2,0.9,7.1,.040
3,3,DEN,Carmelo Anthony,Syracuse University,12,830,30266,20924,5437,2545,.455,.345,.811,36.5,25.2,6.6,3.1,86.0,.136
4,4,TOR,Chris Bosh,Georgia Institute of Technology,12,840,30158,16179,7202,1667,.495,.326,.799,35.9,19.3,8.6,2.0,99.6,.159
5,5,MIA,Dwyane Wade,Marquette University,12,781,28302,18812,3824,4600,.490,.289,.765,36.2,24.1,4.9,5.9,108.9,.185
6,6,LAC,Chris Kaman,Central Michigan University,12,719,19530,8164,5558,910,.489,.000,.742,27.2,11.4,7.7,1.3,24.5,.060
7,7,CHI,Kirk Hinrich,University of Kansas,12,833,26384,9457,2506,4172,.412,.375,.799,31.7,11.4,3.0,5.0,51.9,.094
8,8,MIL,T.J. Ford,University of Texas at Austin,8,429,11882,4797,1331,2495,.433,.289,.815,27.7,11.2,3.1,5.8,16.9,.068
9,9,NYK,Mike Sweetney,Georgetown University,4,233,3610,1516,1045,145,.485,.000,.689,15.5,6.5,4.5,0.6,7.8,.103
10,10,WAS,Jarvis Hayes,University of Georgia,7,427,9898,3553,1330,459,.415,.356,.798,23.2,8.3,3.1,1.1,10.2,.049
11,11,GSW,Mickael Pietrus,,10,557,11950,4629,1723,445,.425,.355,.665,21.5,8.3,3.1,0.8,19.7,.079
12,12,SEA,Nick Collison,University of Kansas,11,816,17701,5172,4479,871,.534,.214,.727,21.7,6.3,5.5,1.1,43.2,.117
13,13,MEM,Marcus Banks,University of Nevada Las Vegas,8,348,5571,2061,519,728,.432,.327,.768,16.0,5.9,1.5,2.1,6.6,.057
14,14,SEA,Luke Ridnour,University of Oregon,12,830,21623,7740,1877,3713,.431,.349,.862,26.1,9.3,2.3,4.5,36.0,.080
15,15,ORL,Reece Gaines,University of Louisville,3,71,605,123,53,50,.324,.269,.606,8.5,1.7,0.7,0.7,-0.6,-0.049
16,16,BOS,Troy Bell,Boston College,1,6,34,11,4,4,.222,.000,1.000,5.7,1.8,0.7,0.7,-0.2,-0.326
17,17,PHO,Zarko Cabarkapa,,3,150,1550,640,312,85,.427,.273,.733,10.3,4.3,2.1,0.6,1.1,.035
18,18,NOH,David West,Xavier University,12,815,25887,12669,5840,1841,.489,.250,.820,31.8,15.5,7.2,2.3,74.3,.138
19,19,UTA,Sasha Pavlovic,,10,567,8888,2787,1000,517,.404,.346,.673,15.7,4.9,1.8,0.9,7.0,.038
20,20,BOS,Dahntay Jones,Duke University,11,622,9745,3331,1075,526,.439,.330,.751,15.7,5.4,1.7,0.8,9.8,.048
21,21,ATL,Boris Diaw,,12,915,26099,8316,4243,3338,.494,.340,.715,28.5,9.1,4.6,3.6,46.7,.086
22,22,NJN,Zoran Planinic,,3,148,1584,561,198,165,.405,.289,.677,10.7,3.8,1.3,1.1,1.5,.046
23,23,POR,Travis Outlaw,,11,622,13026,5273,1974,514,.423,.337,.744,20.9,8.5,3.2,0.8,16.5,.061
24,24,LAL,Brian Cook,University of Illinois at Urbana-Champaign,9,421,5649,2312,1115,252,.439,.382,.783,13.4,5.5,2.6,0.6,10.2,.086
25,25,DET,Carlos Delfino,,8,507,11580,4115,1815,887,.401,.365,.758,22.8,8.1,3.6,1.7,22.5,.093
26,26,MIN,Ndudi Ebi,,2,19,86,40,19,4,.486,.000,.462,4.5,2.1,1.0,0.2,0.1,.051
27,27,MEM,Kendrick Perkins,,12,744,16605,4120,4403,780,.530,.000,.597,22.3,5.5,5.9,1.0,28.0,.081
28,28,SAS,Leandro Barbosa,,12,715,16344,8183,1499,1612,.460,.389,.818,22.9,11.4,2.1,2.3,34.7,.102
29,29,DAL,Josh Howard,Wake Forest University,10,507,15350,7270,2886,817,.448,.332,.770,30.3,14.3,5.7,1.6,38.0,.119
30,30,NYK,Maciej Lampe,,3,64,632,215,142,22,.407,.250,.676,9.9,3.4,2.2,0.3,-0.2,-0.014
31,31,CLE,Jason Kapono,University of California Los Angeles,9,509,9068,3398,844,417,.442,.434,.835,17.8,6.7,1.7,0.8,10.3,.055
32,32,LAL,Luke Walton,University of Arizona,10,564,9685,2649,1588,1317,.429,.326,.715,17.2,4.7,2.8,2.3,13.5,.067
33,33,MIA,Jerome Beasley,University of North Dakota,1,2,5,2,1,0,.333,,,2.5,1.0,0.5,0.0,0.0,-0.117
34,34,LAC,Sofoklis Schortsanitis,,,,,,,,,,,,,,,,
35,35,MIL,Szymon Szewczyk,,,,,,,,,,,,,,,,
36,36,CHI,Mario Austin,Mississippi State University,,,,,,,,,,,,,,,
37,37,ATL,Travis Hansen,Brigham Young University,1,41,507,123,70,19,.354,.300,.815,12.4,3.0,1.7,0.5,0.2,.019
38,38,WAS,Steve Blake,University of Maryland,12,812,19837,5408,1727,3246,.401,.385,.778,24.4,6.7,2.1,4.0,28.0,.068
39,39,NYK,Slavko Vranes,,1,1,3,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-0.371
40,40,GSW,Derrick Zimmerman,Mississippi State University,1,2,32,4,4,7,.667,,,16.0,2.0,2.0,3.5,0.0,.004
41,41,SEA,Willie Green,University of Detroit Mercy,12,731,14783,6059,1303,1018,.425,.346,.765,20.2,8.3,1.8,1.4,12.9,.042
42,42,ORL,Zaza Pachulia,,12,815,17118,5698,4601,973,.460,.000,.744,21.0,7.0,5.6,1.2,36.3,.102
43,43,MIL,Keith Bogans,University of Kentucky,11,671,14527,4257,1817,866,.394,.353,.716,21.6,6.3,2.7,1.3,20.4,.068
44,44,HOU,Malick Badiane,,,,,,,,,,,,,,,,
45,45,CHI,Matt Bonner,University of Florida,11,762,13150,4556,2344,543,.463,.414,.780,17.3,6.0,3.1,0.7,37.7,.138
46,46,DEN,Sani Becirovic,,,,,,,,,,,,,,,,
