Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,ORL,Dwight Howard,,11,809,28812,14674,10314,1224,.579,.104,.573,35.6,18.1,12.7,1.5,106.7,.178
2,2,CHA,Emeka Okafor,University of Connecticut,9,590,18702,7256,5847,512,.512,.000,.584,31.7,12.3,9.9,0.9,44.3,.114
3,3,CHI,Ben Gordon,University of Connecticut,11,744,20366,11084,1851,1868,.432,.401,.857,27.4,14.9,2.5,2.5,33.3,.078
4,4,LAC,Shaun Livingston,,10,544,12227,3702,1421,1853,.471,.196,.792,22.5,6.8,2.6,3.4,18.9,.074
5,5,WAS,Devin Harris,University of Wisconsin,11,717,19185,8650,1647,3341,.437,.323,.798,26.8,12.1,2.3,4.7,46.2,.116
6,6,ATL,Josh Childress,Stanford University,8,391,10432,3548,1850,609,.522,.329,.779,26.7,9.1,4.7,1.6,25.7,.118
7,7,PHO,Luol Deng,Duke University,11,749,26656,11866,4657,1809,.458,.333,.772,35.6,15.8,6.2,2.4,65.9,.119
8,8,TOR,Rafael Araujo,Brigham Young University,3,139,1585,389,395,41,.405,.250,.679,11.4,2.8,2.8,0.3,-0.4,-0.013
9,9,PHI,Andre Iguodala,University of Arizona,11,835,30104,11652,4566,3915,.461,.333,.717,36.1,14.0,5.5,4.7,77.6,.124
10,10,CLE,Luke Jackson,University of Oregon,4,73,724,252,89,58,.357,.360,.732,9.9,3.5,1.2,0.8,0.2,.010
11,11,GSW,Andris Biedrins,,10,516,11146,3247,3631,467,.594,.000,.500,21.6,6.3,7.0,0.9,30.7,.132
12,12,SEA,Robert Swift,,4,97,1500,416,376,20,.506,,.610,15.5,4.3,3.9,0.2,1.7,.054
13,13,POR,Sebastian Telfair,,10,564,12149,4183,898,1960,.390,.319,.777,21.5,7.4,1.6,3.5,5.0,.020
14,14,UTA,Kris Humphries,University of Minnesota,11,691,12708,4750,3890,491,.470,.077,.690,18.4,6.9,5.6,0.7,27.0,.102
15,15,BOS,Al Jefferson,,11,766,23788,12994,6968,1190,.499,.129,.710,31.1,17.0,9.1,1.6,64.3,.130
16,16,UTA,Kirk Snyder,University of Nevada Reno,4,211,3540,1333,491,241,.438,.327,.699,16.8,6.3,2.3,1.1,4.5,.061
17,17,ATL,Josh Smith,,11,836,28108,12662,6457,2699,.455,.285,.633,33.6,15.1,7.7,3.2,51.0,.087
18,18,NOH,J.R. Smith,,11,762,20181,10089,2485,1720,.424,.372,.737,26.5,13.2,3.3,2.3,38.8,.092
19,19,MIA,Dorell Wright,,11,549,12280,4597,2093,850,.424,.365,.806,22.4,8.4,3.8,1.5,25.9,.101
20,20,DEN,Jameer Nelson,Saint Joseph's University,11,714,20445,8707,2184,3754,.440,.371,.813,28.6,12.2,3.1,5.3,44.4,.104
21,21,UTA,Pavel Podkolzin,,2,6,28,4,9,0,.000,,.500,4.7,0.7,1.5,0.0,-0.1,-0.163
22,22,NJN,Viktor Khryapa,,4,143,2351,643,492,142,.443,.292,.658,16.4,4.5,3.4,1.0,2.0,.041
23,23,POR,Sergei Monia,,1,26,343,77,52,19,.333,.265,.714,13.2,3.0,2.0,0.7,-0.2,-0.025
24,24,BOS,Delonte West,Saint Joseph's University,8,432,11842,4198,1265,1540,.448,.372,.826,27.4,9.7,2.9,3.6,24.5,.099
25,25,BOS,Tony Allen,Oklahoma State University,11,663,14248,5373,2150,900,.479,.271,.723,21.5,8.1,3.2,1.4,33.1,.111
26,26,SAC,Kevin Martin,Western Carolina University,11,659,20464,11882,2168,1294,.441,.385,.870,31.1,18.0,3.3,2.0,60.1,.141
27,27,LAL,Sasha Vujacic,,8,478,7592,2674,885,612,.395,.371,.870,15.9,5.6,1.9,1.3,14.8,.093
28,28,SAS,Beno Udrih,,11,748,16918,6520,1583,2611,.464,.349,.829,22.6,8.7,2.1,3.5,29.7,.084
29,29,IND,David Harrison,University of Colorado,4,189,2686,949,549,47,.530,,.525,14.2,5.0,2.9,0.2,3.2,.057
30,30,ORL,Anderson Varejao,,11,560,14463,4405,4343,689,.514,.024,.630,25.8,7.9,7.8,1.2,45.2,.150
31,31,CHI,Jackson Vroman,Iowa State University,2,87,1111,285,261,51,.408,.000,.580,12.8,3.3,3.0,0.6,0.0,.001
32,32,WAS,Peter John Ramos,,1,6,20,11,4,0,.500,,.500,3.3,1.8,0.7,0.0,0.0,-0.108
33,33,LAC,Lionel Chalmers,Xavier University,1,36,433,111,31,51,.336,.245,.625,12.0,3.1,0.9,1.4,-0.2,-0.025
34,34,ATL,Donta Smith,Southeastern Illinois College,2,61,560,165,66,48,.421,.308,.650,9.2,2.7,1.1,0.8,0.5,.043
35,35,SEA,Andre Emmett,Texas Tech University,2,14,73,20,8,1,.462,.000,.615,5.2,1.4,0.6,0.1,0.1,.040
36,36,ORL,Antonio Burks,University of Memphis,2,81,789,186,49,104,.387,.235,.571,9.7,2.3,0.6,1.3,0.1,.004
37,37,ATL,Royal Ivey,University of Texas at Austin,10,492,6162,1641,557,501,.406,.361,.706,12.5,3.3,1.1,1.0,4.5,.035
38,38,CHI,Chris Duhon,Duke University,9,606,15526,3946,1364,2690,.393,.363,.784,25.6,6.5,2.3,4.4,25.0,.077
39,39,TOR,Albert Miralles,,,,,,,,,,,,,,,,
40,40,BOS,Justin Reed,University of Mississippi,3,136,1436,472,186,68,.404,.000,.752,10.6,3.5,1.4,0.5,0.5,.016
41,41,SEA,David Young,North Carolina Central University,,,,,,,,,,,,,,,
42,42,ATL,Viktor Sanikidze,,,,,,,,,,,,,,,,
43,43,NYK,Trevor Ariza,University of California Los Angeles,11,714,19907,7186,3395,1486,.429,.348,.709,27.9,10.1,4.8,2.1,40.7,.098
44,44,NOH,Tim Pickett,Florida State University,,,,,,,,,,,,,,,
45,45,CHA,Bernard Robinson,University of Michigan,3,128,1909,576,315,126,.417,.161,.786,14.9,4.5,2.5,1.0,2.0,.049
46,46,POR,Ha Seung-Jin,,2,46,316,70,67,3,.519,,.500,6.9,1.5,1.5,0.1,-0.2,-0.029
47,47,MIA,Pape Sow,California State University Fullerton,3,76,879,219,214,12,.416,,.678,11.6,2.9,2.8,0.2,0.8,.044
48,48,SAC,Ricky Minard,Morehead State University,,,,,,,,,,,,,,,
49,49,MEM,Sergei Lishouk,,,,,,,,,,,,,,,,
50,50,DAL,Vassilis Spanoulis,,1,31,272,85,22,28,.319,.172,.810,8.8,2.7,0.7,0.9,-0.1,-0.010
51,51,NJN,Christian Drejer,University of Florida,,,,,,,,,,,,,,,
52,52,SAS,Romain Sato,Xavier University,,,,,,,,,,,,,,,
53,53,MIA,Matt Freije,Vanderbilt University,2,42,588,133,85,27,.293,.224,.714,14.0,3.2,2.0,0.6,-0.6,-0.047
54,54,DET,Rickey Paulding,University of Missouri,,,,,,,,,,,,,,,
55,55,HOU,Luis Flores,Manhattan College,1,16,77,35,3,11,.483,.500,1.000,4.8,2.2,0.2,0.7,0.0,-0.020
56,56,LAL,Marcus Douthit,Providence College,,,,,,,,,,,,,,,
57,57,SAS,Sergei Karaulov,,,,,,,,,,,,,,,,
58,58,MIN,Blake Stepp,Gonzaga University,,,,,,,,,,,,,,,
59,59,IND,Rashad Wright,University of Georgia,,,,,,,,,,,,,,,
