aquired,date,notes,relinquished,team
,2003-11-01,sprained right ankle (DNP),Carlos Arroyo,Jazz
,2003-11-01,bone spurs in right ankle (DNP),Keon Clark,Jazz
,2003-11-01,foot injury (DNP),Stanislav Medvedenko,Lakers
,2003-11-01,strained right arch (DNP),Gordan Giricek,Magic
,2003-11-01,sprained right ankle (DNP),Josh Howard,Mavericks
,2003-11-01,sprained left ankle (DNP),Kenyon Martin,Nets
,2003-11-01,sore lower back (DNP),Reggie Miller,Pacers
,2003-11-01,arthroscopic surgery on right ankle to remove bone fragment (out indefinitely),Ray Allen,Sonics
,2003-11-01,sprained left ankle (DNP),(William) Tony Parker,Spurs
,2003-11-01,recovering from surgery on left knee (DNP),Nick Van Exel,Warriors
,2003-11-02,bruised left heel (DNP),Stanislav Medvedenko,Lakers
,2003-11-02,recovering from surgery on left knee (DNP),Nick Van Exel,Warriors
,2003-11-03,swollen left knee (DNP),Scottie Pippen,Bulls
,2003-11-03,sore back (DNP),Alan Henderson,Hawks
,2003-11-03,right hip pointer (DNP),Dwyane Wade,Heat
,2003-11-03,strained right calf (DNP),Eddie Jones,Heat
,2003-11-03,arthroscopic surgery on right knee to remove loose debris (out 6-8 weeks),Jamal Mashburn,Hornets
,2003-11-03,sprained right ankle (DNP),Carlos Arroyo,Jazz
,2003-11-03,strained right arch (DNP),Gordan Giricek,Magic
,2003-11-03,sprained right ankle (DNP),Josh Howard,Mavericks
,2003-11-03,sprained left ankle (DNP),(William) Tony Parker,Spurs
,2003-11-04,surgery on right knee (out 8-12 weeks),Dajuan Wagner,Cavaliers
,2003-11-04,left hip pointer (DNP),Dwyane Wade,Heat
,2003-11-04,bruised left knee (DNP),Stanislav Medvedenko,Lakers
,2003-11-04,sprained left ankle (DNP),Kenyon Martin,Nets
,2003-11-04,lacerated left thumb (DNP),Rodney Rogers,Nets
,2003-11-04,sprained left ankle (DNP),(William) Tony Parker,Spurs
,2003-11-04,sprained left ankle (DNP),Tim Duncan,Spurs
,2003-11-05,lower back spasms (DNP),Derek Anderson,Blazers
,2003-11-05,sore left knee (DNP),Scottie Pippen,Bulls
,2003-11-05,bone bruise in right knee (DNP),Eric Williams,Celtics
,2003-11-05,sore back (DNP),Alan Henderson,Hawks
,2003-11-05,strained right arch (DNP),Gordan Giricek,Magic
,2003-11-05,flu (DNP),Zeljko Rebraca,Pistons
,2003-11-05,arthroscopic surgery on left knee (date approximate),Adonal Foyle,Warriors
,2003-11-05,stiff left knee (DNP),Adonal Foyle,Warriors
,2003-11-05,surgery on left knee to repair torn cartilage (out 6+ weeks),Ronald Jones / Popeye Jones,Warriors
,2003-11-05,recovering from surgery on left knee (DNP),Ronald Jones / Popeye Jones,Warriors
,2003-11-06,surgery on right foot (out 6-8 weeks),Malik Allen,Heat
,2003-11-06,bruised left heel (DNP),Stanislav Medvedenko,Lakers
,2003-11-06,strained left shoulder (DNP),Steve Nash,Mavericks
,2003-11-06,sprained left ankle (DNP),Kenyon Martin,Nets
,2003-11-06,dislocated left thumb (DNP),Rodney Rogers,Nets
,2003-11-06,sprained left ankle (DNP),(William) Tony Parker,Spurs
,2003-11-06,sprained left ankle (DNP),Tim Duncan,Spurs
,2003-11-07,sore left knee (DNP),Scottie Pippen,Bulls
,2003-11-07,hyperextended right knee (DNP),Eric Williams,Celtics
,2003-11-07,hairline fracture of right foot (DNP),Elton Brand,Clippers
,2003-11-07,right foot injury (DNP),Keon Clark,Jazz
,2003-11-07,bruised left heel (DNP),Stanislav Medvedenko,Lakers
,2003-11-07,strained hip flexor (DNP),Brian Scalabrine,Nets
,2003-11-07,strained left ankle (DNP),Kenyon Martin,Nets
,2003-11-07,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-07,recovering from surgery on left knee (DNP),Ronald Jones / Popeye Jones,Warriors
,2003-11-08,sore left knee (DNP),Scottie Pippen,Bulls
,2003-11-08,bruised lower back (DNP),Tyson Chandler,Bulls
,2003-11-08,right knee injury (DNP),Shane Battier,Grizzlies
,2003-11-08,sprained left ankle (DNP),(William) Tony Parker,Spurs
,2003-11-08,sprained left ankle (DNP),Tim Duncan,Spurs
,2003-11-09,bruised lower back (DNP),Kenny Thomas,76ers
,2003-11-09,strained hip flexor (DNP),Brian Scalabrine,Nets
,2003-11-09,sprained left ankle (DNP),Kenyon Martin,Nets
,2003-11-09,sprained left ankle (DNP),Voshon Lenard,Nuggets
,2003-11-10,bruised lower back (DNP),Tyson Chandler,Bulls
,2003-11-10,sprained left ankle (DNP),Voshon Lenard,Nuggets
,2003-11-10,sprained right ankle (DNP),Zarko Cabarkapa,Suns
,2003-11-10,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-10,recovering from surgery on left knee (DNP),Ronald Jones / Popeye Jones,Warriors
,2003-11-11,sprained left ankle (DNP),Glenn Robinson,76ers
,2003-11-11,bruised lower back (DNP),Kenny Thomas,76ers
,2003-11-11,hairline fracture of right foot (DNP),Elton Brand,Clippers
,2003-11-11,strained left hamstring (DNP),Tony Delk,Mavericks
,2003-11-11,sprained left ankle (DNP),Ben Wallace,Pistons
,2003-11-12,sprained right ankle (DNP),Corie Blount,Bulls
,2003-11-12,bruised lower back (DNP),Tyson Chandler,Bulls
,2003-11-12,bruised left heel (DNP),Stanislav Medvedenko,Lakers
,2003-11-12,sore right knee (DNP),Pat Garrity,Magic
,2003-11-12,strained hip flexor (DNP),Brian Scalabrine,Nets
,2003-11-12,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-12,sprained left ankle (DNP),Jason Richardson,Warriors
,2003-11-12,sprained left ankle (DNP),Mickael Pietrus,Warriors
,2003-11-13,bruised lower back (DNP),Tyson Chandler,Bulls
,2003-11-14,strained left knee (DNP),Derrick Coleman,76ers
,2003-11-14,sprained left ankle (DNP),Glenn Robinson,76ers
,2003-11-14,bruised lower back (DNP),Kenny Thomas,76ers
,2003-11-14,hairline fracture of right foot (DNP),Elton Brand,Clippers
,2003-11-14,right knee injury (DNP),Pat Garrity,Magic
,2003-11-14,sprained left ankle (DNP),Mickael Pietrus,Warriors
,2003-11-14,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-15,strained left knee (DNP),Derrick Coleman,76ers
,2003-11-15,strained left knee (DNP),Glenn Robinson,76ers
,2003-11-15,bruised lower back (DNP),Kenny Thomas,76ers
,2003-11-15,sprained neck (DNP),Jamal Crawford,Bulls
,2003-11-15,right knee injury (DNP),Pat Garrity,Magic
,2003-11-15,sprained left knee (DNP),Shammond Williams,Magic
,2003-11-15,strained left hamstring (DNP),Tony Delk,Mavericks
,2003-11-15,ill (DNP),Jamaal Tinsley,Pacers
,2003-11-16,sprained left ankle (DNP),Mickael Pietrus,Warriors
,2003-11-16,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-16,sore left knee (DNP),Nick Van Exel,Warriors
,2003-11-17,strained left knee (DNP),Derrick Coleman,76ers
,2003-11-17,sprained left ankle (DNP),Glenn Robinson,76ers
,2003-11-17,strained left hamstring (DNP),Tony Delk,Mavericks
,2003-11-17,sprained left knee (DNP),Shawn Bradley,Mavericks
,2003-11-17,back spasms (DNP),Christian Laettner,Wizards
,2003-11-18,sprained neck (DNP),Jamal Crawford,Bulls
,2003-11-18,strained left groin (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2003-11-18,finger injury (DNP),Jahidi White,Suns
,2003-11-18,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-19,bruised right knee (DNP),Allen Iverson,76ers
,2003-11-19,strained left knee (DNP),Derrick Coleman,76ers
,2003-11-19,sprained left ankle (DNP),Glenn Robinson,76ers
,2003-11-19,sprained right ankle (DNP),Carlos Boozer,Cavaliers
,2003-11-19,partially torn muscle in left foot (DTD),Marko Jaric,Clippers
,2003-11-19,partially torn muscle in left foot (DNP),Marko Jaric,Clippers
,2003-11-19,surgery on right ankle to remove bone spurs (out 6 weeks) (date approximate),Keon Clark,Jazz
,2003-11-19,sprained left knee (DNP),Gerald Wallace,Kings
,2003-11-19,sprained right ankle (DNP),Keith Van Horn,Knicks
,2003-11-19,strained left groin (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2003-11-19,knee tendinitis (DNP),Jermaine O'Neal,Pacers
,2003-11-19,sprained left ankle (DNP),Mickael Pietrus,Warriors
,2003-11-19,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-19,sore left knee (DNP),Nick Van Exel,Warriors
,2003-11-19,back spasms (DNP),Christian Laettner,Wizards
,2003-11-20,strained left hamstring (DNP),Tony Delk,Mavericks
,2003-11-21,strained left knee (DNP),Derrick Coleman,76ers
,2003-11-21,sprained left ankle (DNP),Glenn Robinson,76ers
,2003-11-21,sprained right ankle (DNP),Carlos Boozer,Cavaliers
,2003-11-21,sprained left knee (DNP),Gerald Wallace,Kings
,2003-11-21,sprained right ankle (DNP),Keith Van Horn,Knicks
,2003-11-21,strained left groin (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2003-11-21,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-21,left knee injury (DNP),Nick Van Exel,Warriors
,2003-11-22,sprained left knee (DNP),Derrick Coleman,76ers
,2003-11-22,sprained left ankle (DNP),Glenn Robinson,76ers
,2003-11-22,sprained right ankle (DNP),Carlos Boozer,Cavaliers
,2003-11-22,torn plantar fascia in left foot (DNP),Marko Jaric,Clippers
,2003-11-22,sprained right ankle (DNP),Keith Van Horn,Knicks
,2003-11-22,sore lower back (DNP),Allan Houston,Knicks
,2003-11-22,sore left knee (DNP),Jason Kidd,Nets
,2003-11-22,strained left groin (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2003-11-22,right knee tendinitis (DNP),Michael Olowokandi,Timberwolves
,2003-11-23,bruised left thigh (DNP),Erick Strickland,Bucks
,2003-11-23,sprained left knee (DNP),Gerald Wallace,Kings
,2003-11-23,strained right calf (DNP),Shaquille O'Neal,Lakers
,2003-11-23,bruised chest (DNP),Cherokee Parks,Warriors
,2003-11-23,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-23,sore left knee (DNP),Nick Van Exel,Warriors
,2003-11-24,left foot injury (DNP),Marko Jaric,Clippers
,2003-11-24,sprained right ankle (DNP),Keith Van Horn,Knicks
,2003-11-24,sore lower back (DNP),Allan Houston,Knicks
,2003-11-24,flu (DNP),Tracy McGrady,Magic
,2003-11-24,retired,Alonzo Mourning,Nets
,2003-11-24,strained neck (DNP),Richard Hamilton,Pistons
,2003-11-25,stomach virus (DNP),Joel Przybilla,Bucks
,2003-11-25,stiff neck & shoulder (DNP),Tyrone Hill,Heat
,2003-11-25,left quadricep injury (DNP),Caron Butler,Heat
,2003-11-25,sprained left knee (DNP),Gerald Wallace,Kings
,2003-11-25,strained left groin (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2003-11-25,right knee tendinitis (DNP),Michael Olowokandi,Timberwolves
,2003-11-26,left eye injury (DNP),Scottie Pippen,Bulls
,2003-11-26,sore lower back (DNP),Tyson Chandler,Bulls
,2003-11-26,sprained left ankle (DNP),Stephen Jackson,Hawks
,2003-11-26,sprained left ankle (DNP),Carlos Arroyo,Jazz
,2003-11-26,sprained right ankle (DNP),Keith Van Horn,Knicks
,2003-11-26,strained right calf (DNP),Shaquille O'Neal,Lakers
,2003-11-26,fractured right wrist (out 6-8 weeks),Zarko Cabarkapa,Suns
,2003-11-26,sprained left ankle (DNP),Shawn Marion,Suns
,2003-11-26,back spasms (DNP),Mark Madsen,Timberwolves
,2003-11-26,right knee tendinitis (DNP),Michael Olowokandi,Timberwolves
,2003-11-27,sprained right ankle (DNP),Keith Van Horn,Knicks
,2003-11-27,sore lower back (DNP),Jamaal Tinsley,Pacers
,2003-11-28,strained left knee (DNP),Derrick Coleman,76ers
,2003-11-28,sprained left ankle (DNP),Tim Thomas,Bucks
,2003-11-28,sprained right ankle (DNP),Carlos Boozer,Cavaliers
,2003-11-28,sprained right ankle (DNP),Lorenzen Wright,Grizzlies
,2003-11-28,right shoulder injury (DNP),Tyrone Hill,Heat
,2003-11-28,left quadricep injury (DNP),Caron Butler,Heat
,2003-11-28,sprained left ankle (DNP),Carlos Arroyo,Jazz
,2003-11-28,sprained left ankle (DNP),Gerald Wallace,Kings
,2003-11-28,sprained right ankle (DNP),Dirk Nowitzki,Mavericks
,2003-11-28,sore lower back (DNP),Jamaal Tinsley,Pacers
,2003-11-28,sprained left ankle (DNP),Shawn Marion,Suns
,2003-11-28,back spasms (DNP),Mark Madsen,Timberwolves
,2003-11-28,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-29,strained left knee (DNP),Derrick Coleman,76ers
,2003-11-29,sprained left ankle (DNP),Tim Thomas,Bucks
,2003-11-29,sprained right ankle (DNP),Carlos Boozer,Cavaliers
,2003-11-29,sprained right ankle (DNP),Lorenzen Wright,Grizzlies
,2003-11-29,neck & shoulder injury (DNP),Tyrone Hill,Heat
,2003-11-29,left quadricep injury (DNP),Caron Butler,Heat
,2003-11-29,sprained right ankle (DNP),Dirk Nowitzki,Mavericks
,2003-11-29,back spasms (DNP),Mark Madsen,Timberwolves
,2003-11-29,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-11-29,flu (DNP),Etan Thomas,Wizards
,2003-11-30,sprained left knee (DNP),Gerald Wallace,Kings
,2003-11-30,sore back (DNP),Jamaal Tinsley,Pacers
,2003-12-01,sprained left ankle (DNP),Tim Thomas,Bucks
,2003-12-01,strained left groin (DNP),Chris Wilcox,Clippers
,2003-12-01,back spasms (DNP),Jason Williams,Grizzlies
,2003-12-01,sprained left ankle (DNP),Carlos Arroyo,Jazz
,2003-12-01,surgery on right knee to repair damaged cartilage (out 4-6 months),Pat Garrity,Magic
,2003-12-01,back spasms (DNP),Ron Artest / Metta World Peace,Pacers
,2003-12-02,sprained left knee (DNP),Derrick Coleman,76ers
,2003-12-02,sprained left ankle (DNP),Tim Thomas,Bucks
,2003-12-02,back spasms (DNP),Toni Kukoc,Bucks
,2003-12-02,right knee injury (DNP),DeSagana Diop,Cavaliers
,2003-12-02,sprained right ankle (DNP),Dirk Nowitzki,Mavericks
,2003-12-02,strained right groin (DNP),Marcus Camby,Nuggets
,2003-12-02,flu (DNP),Etan Thomas,Wizards
,2003-12-03,right knee injury (DNP),DeSagana Diop,Cavaliers
,2003-12-03,flu (DNP),Tony Battie,Celtics
,2003-12-03,strained left groin (DNP),Chris Wilcox,Clippers
,2003-12-03,sore left foot (DNP),Eddie House,Clippers
,2003-12-03,back spasms (DNP),Jason Williams,Grizzlies
,2003-12-03,left quadricep injury (DNP),Caron Butler,Heat
,2003-12-03,sprained left ankle (DNP),Carlos Arroyo,Jazz
,2003-12-03,flu (DNP),DeShawn Stevenson,Jazz
,2003-12-03,sprained left ankle (DNP),Jason Collins,Nets
,2003-12-03,sprained right groin (DNP),Marcus Camby,Nuggets
,2003-12-03,flu (DNP),Jim Jackson,Rockets
,2003-12-03,flu (DNP),John Amaechi,Rockets
,2003-12-03,bruised back (DNP),Leandro Barbosa,Suns
,2003-12-03,back spasms (DNP),Mark Madsen,Timberwolves
,2003-12-03,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-12-04,surgery on broken left ring finger (out ~8 weeks),Marc Jackson,76ers
,2003-12-04,surgery on broken left ring finger (DNP),Marc Jackson,76ers
,2003-12-04,sprained right thumb (DNP),Willie Green,76ers
,2003-12-04,left knee injury (DNP),Scottie Pippen,Bulls
,2003-12-04,surgery on right knee to repair torn cartilage (out 4-6 weeks),DeSagana Diop,Cavaliers
,2003-12-04,sprained right ankle (DNP),Dirk Nowitzki,Mavericks
,2003-12-05,recovering from surgery on broken left ring finger (DNP),Marc Jackson,76ers
,2003-12-05,surgery on right thumb (out 6-8 weeks),Willie Green,76ers
,2003-12-05,surgery on right thumb (DNP),Willie Green,76ers
,2003-12-05,sprained left ankle (DNP),Tim Thomas,Bucks
,2003-12-05,strained left groin (DNP),Chris Wilcox,Clippers
,2003-12-05,back spasms (DNP),Jason Williams,Grizzlies
,2003-12-05,left quadricep injury (DNP),Caron Butler,Heat
,2003-12-05,sprained left ankle (DNP),Carlos Arroyo,Jazz
,2003-12-05,back spasms (DNP),Ron Artest / Metta World Peace,Pacers
,2003-12-05,strained right ankle (DNP),Malik Rose,Spurs
,2003-12-05,back spasms (DNP),Mark Madsen,Timberwolves
,2003-12-05,right knee tendinitis (DNP),Michael Olowokandi,Timberwolves
,2003-12-05,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-12-06,sprained left ankle (DNP),Tim Thomas,Bucks
,2003-12-06,upper respiratory infection (DNP),Eddie Robinson,Bulls
,2003-12-06,left knee injury (DNP),Scottie Pippen,Bulls
,2003-12-06,recovering from surgery on right knee (DNP),DeSagana Diop,Cavaliers
,2003-12-06,left quadricep injury (DNP),Caron Butler,Heat
,2003-12-06,sore right knee (DNP),Allan Houston,Knicks
,2003-12-06,sprained right ankle (DNP),Dirk Nowitzki,Mavericks
,2003-12-06,strained right ankle (DNP),Malik Rose,Spurs
,2003-12-06,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-12-07,strained left groin (DNP),Chris Wilcox,Clippers
,2003-12-07,strained back (DNP),Jason Williams,Grizzlies
,2003-12-07,sprained left ankle (DNP),Carlos Arroyo,Jazz
,2003-12-07,back spasms (DNP),Mark Madsen,Timberwolves
,2003-12-07,right knee tendinitis (DNP),Michael Olowokandi,Timberwolves
,2003-12-08,sprained left ankle (DNP),Tim Thomas,Bucks
,2003-12-08,left knee injury (DNP),Scottie Pippen,Bulls
,2003-12-08,flu (DNP),Vin Baker,Celtics
,2003-12-08,sprained left ankle (DNP),Carlos Arroyo,Jazz
,2003-12-08,strained right ankle (DNP),Malik Rose,Spurs
,2003-12-09,right knee tendinitis (DNP),Allen Iverson,76ers
,2003-12-09,recovering from surgery on broken left ring finger (DNP),Marc Jackson,76ers
,2003-12-09,recovering from surgery on right thumb (DNP),Willie Green,76ers
,2003-12-09,flu (DNP),Bobby Simmons,Clippers
,2003-12-09,bronchitis (DNP),Bobby Jackson,Kings
,2003-12-09,sore right knee (DNP),Allan Houston,Knicks
,2003-12-09,lower abdominal strain (DNP),Anthony Johnson,Pacers
,2003-12-09,flu (DNP),Darko Milicic,Pistons
,2003-12-09,right knee tendinitis (DNP),Michael Olowokandi,Timberwolves
,2003-12-09,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-12-10,sprained left ankle (DNP),Tim Thomas,Bucks
,2003-12-10,strained back (DNP),Jason Williams,Grizzlies
,2003-12-10,sprained left ankle (DNP),Carlos Arroyo,Jazz
,2003-12-10,right knee injury (DNP),Allan Houston,Knicks
,2003-12-10,strained right ankle (DNP),Malik Rose,Spurs
,2003-12-10,bruised sternum (DNP),Leandro Barbosa,Suns
,2003-12-10,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-12-11,bruised knee,Monty Williams,76ers
,2003-12-11,strained right ankle (DNP),Malik Rose,Spurs
,2003-12-12,recovering from surgery on broken left ring finger (DNP),Marc Jackson,76ers
,2003-12-12,sprained left ankle (DNP),Tim Thomas,Bucks
,2003-12-12,sprained left knee (DNP),Corie Blount,Bulls
,2003-12-12,arthroscopic surgery on left knee (out 4-6 weeks),Scottie Pippen,Bulls
,2003-12-12,arthroscopic surgery on left knee (DNP),Scottie Pippen,Bulls
,2003-12-12,strained back muscle (DNP),Jason Williams,Grizzlies
,2003-12-12,sprained left ankle (DNP),Boris Diaw,Hawks
,2003-12-12,sore right knee (DNP),Anthony Peeler,Kings
,2003-12-12,sprained right big toe (DNP),Michael Finley,Mavericks
,2003-12-12,back spasms (DNP),Mark Madsen,Timberwolves
,2003-12-12,surgery on right knee (out 6-8 weeks),Michael Olowokandi,Timberwolves
,2003-12-12,surgery on right knee (DNP),Michael Olowokandi,Timberwolves
,2003-12-12,recovering from surgery on left knee (DNP),Adonal Foyle,Warriors
,2003-12-12,lower back spasms (DNP),Craig Claxton / Speedy Claxton,Warriors
,2003-12-13,sprained left knee (DNP),Corie Blount,Bulls
,2003-12-13,recovering from arthroscopic surgery on left knee (DNP),Scottie Pippen,Bulls
,2003-12-13,strained back (DNP),Jason Williams,Grizzlies
,2003-12-13,sprained left ankle (DNP),Boris Diaw,Hawks
,2003-12-13,sore left knee (DNP),Kurt Thomas,Knicks
,2003-12-13,strained left hip flexor (DNP),Tyronn Lue,Magic
,2003-12-13,strained right ankle (DNP),Malik Rose,Spurs
,2003-12-14,right knee hematoma (DNP),Allen Iverson,76ers
,2003-12-14,recovering from surgery on broken left ring finger (DNP),Marc Jackson,76ers
,2003-12-14,broken right wrist (DNP),Curtis Borchardt,Jazz
,2003-12-15,surgery on right knee (out for season),Raef LaFrentz,Celtics
,2003-12-15,strained back (DNP),Jason Williams,Grizzlies
,2003-12-15,sprained right big toe (DNP),Michael Finley,Mavericks
,2003-12-15,back spasms (DNP),Shawn Bradley,Mavericks
,2003-12-15,strained right ankle (DNP),Malik Rose,Spurs
,2003-12-15,back spasms (DNP),Mark Madsen,Timberwolves
,2003-12-16,sprained left knee (DNP),Corie Blount,Bulls
,2003-12-16,bone bruise in left knee (out 2-4 weeks),Eddy Curry,Bulls
,2003-12-16,bone bruise in left knee (DNP),Eddy Curry,Bulls
,2003-12-16,strained back (DNP),Jason Williams,Grizzlies
,2003-12-16,sprained left ankle (DNP),Boris Diaw,Hawks
,2003-12-16,broken right wrist (DNP),Curtis Borchardt,Jazz
,2003-12-16,strained left hip (DNP),Tyronn Lue,Magic
,2003-12-16,lower back spasms (DNP),Mark Madsen,Timberwolves
,2003-12-16,torn plantar fascia in right foot (DNP),Troy Murphy,Warriors
,2003-12-17,bruised right knee (DNP),Allen Iverson,76ers
,2003-12-17,recovering from surgery on broken left ring finger (DNP),Marc Jackson,76ers
,2003-12-17,sprained left knee (DNP),Corie Blount,Bulls
,2003-12-17,sprained left knee (DNP),Eddy Curry,Bulls
,2003-12-17,ill (DNP),Ira Newble,Cavaliers
,2003-12-17,sprained right ankle (DNP),Boris Diaw,Hawks
,2003-12-17,broken right wrist (DNP),Curtis Borchardt,Jazz
,2003-12-17,strained left hip (DNP),Tyronn Lue,Magic
,2003-12-17,sprained right big toe (DNP),Michael Finley,Mavericks
,2003-12-17,back spasms (DNP),Shawn Bradley,Mavericks
,2003-12-18,sprained right big toe (DNP),Michael Finley,Mavericks
,2003-12-18,back spasms (DNP),Shawn Bradley,Mavericks
,2003-12-18,kidney transplant surgery,Alonzo Mourning,Nets
,2003-12-18,lower back spasms (DNP),Mark Madsen,Timberwolves
,2003-12-19,bruised right knee (DNP),Allen Iverson,76ers
,2003-12-19,recovering from surgery on broken left ring finger (DNP),Marc Jackson,76ers
,2003-12-19,sprained right ankle (DNP),Boris Diaw,Hawks
,2003-12-19,broken right wrist (DNP),Curtis Borchardt,Jazz
,2003-12-19,strained left hip flexor (DNP),Tyronn Lue,Magic
,2003-12-19,pulled groin (DNP),Aaron Williams,Nets
,2003-12-19,flu (DNP),Darko Milicic,Pistons
,2003-12-19,left hip flexor injury (DNP),Brent Barry,Sonics
,2003-12-19,sinus infection (DNP),Brendan Haywood,Wizards
,2003-12-20,bone bruise in left knee (DNP),Eddy Curry,Bulls
,2003-12-20,flu (DNP),Melvin Ely,Clippers
,2003-12-20,sprained left ankle (DNP),Boris Diaw,Hawks
,2003-12-20,flu (DNP),Dion Glover,Hawks
,2003-12-20,upper respiratory infection (DNP),David West,Hornets
,2003-12-20,sprained right big toe (DNP),Michael Finley,Mavericks
,2003-12-20,back spasms (DNP),Shawn Bradley,Mavericks
,2003-12-20,pulled groin (DNP),Aaron Williams,Nets
,2003-12-20,sprained ankle (DNP),Lucious Harris,Nets
,2003-12-20,sore left foot (DNP),Kenny Anderson,Pacers
,2003-12-20,strained abdominal (DNP),Antonio Daniels,Sonics
,2003-12-20,left hip flexor injury (DNP),Brent Barry,Sonics
,2003-12-21,bruised right knee (DNP),Allen Iverson,76ers
,2003-12-21,recovering from surgery on broken left ring finger (DNP),Marc Jackson,76ers
,2003-12-21,sprained left ankle (DNP),Ruben Boumtje Boumtje,Blazers
,2003-12-21,flu (DNP),Malik Allen,Heat
,2003-12-21,broken right wrist (DNP),Curtis Borchardt,Jazz
,2003-12-22,bruised right knee (DNP),Allen Iverson,76ers
,2003-12-22,sprained left knee (DNP),Derrick Coleman,76ers
,2003-12-22,recovering from surgery on broken left ring finger (DNP),Marc Jackson,76ers
,2003-12-22,bone bruise in left knee (DNP),Eddy Curry,Bulls
,2003-12-22,lower leg injury (DNP),Lorenzen Wright,Grizzlies
,2003-12-22,stomach virus (DNP),Stromile Swift,Grizzlies
,2003-12-22,broken right wrist (DNP),Curtis Borchardt,Jazz
,2003-12-22,strained ligament in knee (out 3 games),Karl Malone,Lakers
,2003-12-22,DNP,Donnell Harvey,Magic
,2003-12-22,strained lower back (DNP),Marcus Camby,Nuggets
,2003-12-23,bone bruise in left knee (DNP),Eddy Curry,Bulls
,2003-12-23,right leg injury (DNP),Lorenzen Wright,Grizzlies
,2003-12-23,flu (DNP),John Wallace,Heat
,2003-12-23,flu (DNP),Malik Allen,Heat
,2003-12-23,left Achilles tendon injury (DNP),Lawrence Funderburke,Kings
,2003-12-23,sprained right ankle (DNP),Karl Malone,Lakers
,2003-12-23,back spasms (DNP),Shawn Bradley,Mavericks
,2003-12-23,pulled groin (DNP),Aaron Williams,Nets
,2003-12-25,sprained ligament in knee (DNP),Karl Malone,Lakers
,2003-12-25,back spasms (DNP),Shawn Bradley,Mavericks
,2003-12-26,bruised right knee (DNP),Allen Iverson,76ers
,2003-12-26,bone bruise in left knee (DNP),Eddy Curry,Bulls
,2003-12-26,sore left knee (DNP),Greg Ostertag,Jazz
,2003-12-26,pulled groin (DNP),Aaron Williams,Nets
,2003-12-26,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2003-12-27,bone bruise in left knee (DNP),Eddy Curry,Bulls
,2003-12-27,sprained right wrist (DNP),Dwyane Wade,Heat
,2003-12-27,sore left knee (DNP),Eduardo Najera,Mavericks
,2003-12-27,back spasms (DNP),Shawn Bradley,Mavericks
,2003-12-27,pulled groin (DNP),Aaron Williams,Nets
,2003-12-27,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2003-12-28,bruised right knee (DNP),Allen Iverson,76ers
,2003-12-28,infection in left leg (DNP),Zendon Hamilton,76ers
,2003-12-28,strained left knee (DNP),Ben Handlogten,Jazz
,2003-12-28,surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2003-12-28,sprained right knee (DNP),Karl Malone,Lakers
,2003-12-28,back spasms (DNP),Lamond Murray,Raptors
,2003-12-29,strained left hamstring (DNP),Aaron McKie,76ers
,2003-12-29,bruised right knee (DNP),Allen Iverson,76ers
,2003-12-29,infection in left leg (DNP),Zendon Hamilton,76ers
,2003-12-29,back spasms (DNP),Dale Davis,Blazers
,2003-12-29,left knee inflammation (DNP),Greg Ostertag,Jazz
,2003-12-29,pulled groin (DNP),Aaron Williams,Nets
,2003-12-30,concussion (DNP),Bonzi Wells,Grizzlies
,2003-12-30,sore left knee (DNP),Eduardo Najera,Mavericks
,2003-12-30,arthroscopic surgery on right shoulder (out 6 weeks),Jon Barry,Nuggets
,2003-12-30,abdominal strain (DNP),Anthony Johnson,Pacers
,2003-12-30,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2003-12-31,strained left hamstring (DNP),Aaron McKie,76ers
,2003-12-31,bruised right knee (DNP),Allen Iverson,76ers
,2003-12-31,infection in left leg (DNP),Zendon Hamilton,76ers
,2003-12-31,torn ACL in left knee (out indefinitely),Ben Handlogten,Jazz
