,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,BR_player_id,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm
0,6.8,.474,14.4,0.0,,0.0,1.5,22,1.5,abdelal01,7.7,6.8,.474,14.4,3.1,.568,5.5,43,0,NBA,290,3.4,4.8,16.8,PF,0.5,1990-91,2.7,11.0,POR
1,6.9,.493,13.9,0.0,,0.0,1.2,23,0.6,abdelal01,6.9,6.9,.493,13.9,2.9,.752,3.9,71,1,NBA,934,3.1,5.1,16.7,PF,1.0,1991-92,2.5,10.0,POR
2,6.7,.519,13.0,0.0,.000,0.0,0.7,24,0.7,abdelal01,5.8,6.7,.518,13.0,2.4,.759,3.2,75,52,NBA,1311,3.5,5.2,15.9,PF,0.7,1992-93,2.7,9.3,TOT
3,5.9,.473,12.5,0.0,.000,0.2,2.3,24,0.9,abdelal01,5.7,5.9,.464,12.7,2.7,.750,3.6,12,0,NBA,159,2.7,5.4,14.5,PF,1.4,1992-93,2.9,8.4,MIL
4,6.8,.525,13.0,0.0,,0.0,0.5,24,0.7,abdelal01,5.8,6.8,.525,13.0,2.4,.760,3.1,63,52,NBA,1152,3.6,5.2,16.1,PF,0.6,1992-93,2.6,9.4,BOS
5,5.4,.436,12.5,0.0,,0.0,0.7,25,0.7,abdelal01,7.7,5.4,.436,12.5,3.6,.640,5.7,13,0,NBA,159,2.7,4.5,14.5,PF,0.5,1993-94,3.8,10.4,BOS
6,8.4,.515,16.3,0.0,.000,0.1,0.9,26,0.9,abdelal01,5.5,8.4,.511,16.4,1.4,.571,2.5,54,0,NBA,506,2.6,7.4,18.2,PF,1.1,1994-95,3.2,8.1,TOT
7,8.8,.537,16.5,0.0,.000,0.2,1.0,26,0.9,abdelal01,5.4,8.8,.532,16.6,1.5,.571,2.6,51,0,NBA,476,2.6,7.7,19.2,PF,1.1,1994-95,3.0,8.0,SAC
8,1.2,.091,13.2,0.0,,0.0,0.0,26,0.0,abdelal01,6.0,1.2,.091,13.2,0.0,,0.0,3,0,NBA,30,3.6,2.4,2.4,PF,0.0,1994-95,6.0,9.6,PHI
0,,,,,,,1.4,22,,abdulza01,,5.5,.369,14.9,2.7,.619,4.3,49,,NBA,945,,4.4,13.6,C,,1968-69,,15.6,TOT
1,,,,,,,1.3,22,,abdulza01,,6.0,.419,14.3,0.7,.286,2.3,20,,NBA,108,,5.7,12.7,,,1968-69,,10.3,CIN
2,,,,,,,1.4,22,,abdulza01,,5.4,.363,14.9,2.9,.642,4.6,29,,NBA,837,,4.2,13.8,C,,1968-69,,16.3,MIL
3,,,,,,,1.4,23,,abdulza01,,5.2,.434,12.0,2.6,.643,4.1,80,,NBA,1637,,3.7,13.0,PF,,1969-70,,13.3,MIL
4,,,,,,,1.2,24,,abdulza01,,7.4,.441,16.8,3.9,.739,5.3,61,,NBA,1276,,3.3,18.8,C,,1970-71,,13.2,SEA
5,,,,,,,2.5,25,,abdulza01,,6.5,.429,15.2,3.1,.720,4.3,58,,NBA,1780,,3.6,16.1,C,,1971-72,,13.2,SEA
6,,,,,,,2.1,26,,abdulza01,,6.0,.397,15.0,4.8,.735,6.5,48,,NBA,900,,4.3,16.7,C,,1972-73,,12.2,HOU
7,,,,,,,2.4,27,1.5,abdulza01,9.7,4.9,.459,10.7,2.8,.804,3.5,79,,NBA,2459,3.8,3.3,12.7,C,1.2,1973-74,,13.5,HOU
8,,,,,,,2.1,28,1.8,abdulza01,8.3,5.8,.437,13.4,3.9,.783,5.0,65,,NBA,1450,3.8,3.2,15.6,C,0.9,1974-75,,12.1,HOU
9,,,,,,,2.6,29,2.4,abdulza01,7.4,5.7,.467,12.1,2.6,.552,4.7,27,,NBA,223,4.8,4.7,13.9,C,1.3,1975-76,,12.3,SEA
10,,,,,,,1.3,30,1.7,abdulza01,9.0,4.6,.338,13.7,6.1,.767,7.9,22,,NBA,195,7.6,3.9,15.3,C,0.6,1976-77,,16.6,BUF
11,,,,,,,2.3,31,0.7,abdulza01,7.1,5.2,.383,13.7,3.9,.739,5.2,16,,NBA,158,4.3,6.6,14.4,PF-C,0.7,1977-78,3.2,11.4,TOT
12,,,,,,,4.5,31,1.5,abdulza01,13.5,4.5,.231,19.5,3.0,.667,4.5,2,,NBA,24,9.0,6.0,12.0,C,1.5,1977-78,4.5,22.5,BOS
13,,,,,,,1.9,31,0.5,abdulza01,5.9,5.4,.426,12.6,4.0,.750,5.4,14,,NBA,134,3.5,6.7,14.8,PF,0.5,1977-78,3.0,9.4,HOU
0,9.6,.518,18.4,,,,3.4,22,,abdulka01,,9.6,.518,18.4,4.9,.653,7.6,82,,NBA,3534,,2.9,24.1,C,,1969-70,,12.1,MIL
1,11.6,.577,20.2,,,,3.0,23,,abdulka01,,11.6,.577,20.2,5.1,.690,7.5,82,,NBA,3288,,2.9,28.4,C,,1970-71,,14.4,MIL
2,11.6,.574,20.3,,,,3.7,24,,abdulka01,,11.6,.574,20.3,5.1,.689,7.4,81,,NBA,3583,,2.4,28.4,C,,1971-72,,13.5,MIL
3,10.9,.554,19.6,,,,4.2,25,,abdulka01,,10.9,.554,19.6,3.6,.713,5.1,76,,NBA,3254,,2.3,25.4,C,,1972-73,,13.5,MIL
4,9.6,.539,17.8,,,,3.9,26,2.9,abdulka01,9.0,9.6,.539,17.8,3.0,.702,4.3,81,,NBA,3548,2.9,2.4,22.2,C,1.1,1973-74,,12.0,MIL
5,10.6,.513,20.8,,,,3.5,27,2.8,abdulka01,9.4,10.6,.513,20.8,4.3,.763,5.6,65,,NBA,2747,2.5,2.7,25.5,C,0.9,1974-75,,12.0,MIL
6,9.7,.529,18.4,,,,4.4,28,3.6,abdulka01,11.8,9.7,.529,18.4,4.8,.703,6.8,82,,NBA,3379,2.9,3.1,24.2,C,1.3,1975-76,,14.7,LAL
7,10.6,.579,18.3,,,,3.8,29,3.1,abdulka01,9.8,10.6,.579,18.3,4.5,.701,6.4,82,,NBA,3016,3.2,3.1,25.7,C,1.2,1976-77,,13.0,LAL
8,10.5,.550,19.2,,,,4.3,30,2.9,abdulka01,9.8,10.5,.550,19.2,4.4,.783,5.6,62,,NBA,2265,3.0,2.9,25.4,C,1.6,1977-78,3.3,12.7,LAL
9,8.9,.577,15.4,,,,4.9,31,3.6,abdulka01,9.3,8.9,.577,15.4,4.0,.736,5.4,80,,NBA,3157,2.4,2.6,21.7,C,0.9,1978-79,3.2,11.7,LAL
10,9.6,.604,15.8,0.0,.000,0.0,4.2,32,3.2,abdulka01,8.0,9.6,.604,15.8,4.2,.765,5.5,82,,NBA,3143,2.2,2.5,23.3,C,0.9,1979-80,3.4,10.1,LAL
11,10.1,.574,17.6,0.0,.000,0.0,3.3,33,2.8,abdulka01,7.5,10.1,.574,17.6,5.1,.766,6.7,80,,NBA,2976,2.4,3.0,25.3,C,0.7,1980-81,3.0,9.9,LAL
12,10.1,.580,17.5,0.0,.000,0.0,3.0,34,2.8,abdulka01,6.5,10.1,.579,17.5,4.2,.706,5.9,76,76,NBA,2677,2.3,3.0,24.4,C,0.8,1981-82,3.1,8.9,LAL
13,10.2,.589,17.3,0.0,.000,0.0,2.8,35,2.4,abdulka01,6.0,10.2,.588,17.3,3.9,.749,5.2,79,79,NBA,2554,2.4,3.1,24.3,C,0.9,1982-83,2.8,8.3,LAL
14,9.8,.579,17.0,0.0,.000,0.0,2.9,36,2.0,abdulka01,5.7,9.8,.578,17.0,3.9,.723,5.4,80,80,NBA,2622,2.3,2.9,23.6,C,0.8,1983-84,3.0,8.1,LAL
15,9.9,.600,16.5,0.0,.000,0.0,3.4,37,2.2,abdulka01,6.3,9.9,.599,16.5,4.0,.732,5.4,79,79,NBA,2630,2.2,3.3,23.7,C,0.9,1984-85,2.7,8.5,LAL
16,10.3,.565,18.3,0.0,.000,0.0,3.8,38,1.8,abdulka01,4.7,10.3,.564,18.3,4.6,.765,6.0,79,79,NBA,2629,1.8,3.4,25.3,C,0.9,1985-86,2.8,6.5,LAL
17,8.2,.565,14.6,0.0,.333,0.0,3.0,39,1.4,abdulka01,5.5,8.3,.564,14.6,3.6,.714,5.1,78,78,NBA,2441,2.2,3.6,20.1,C,0.7,1986-87,2.7,7.7,LAL
18,7.5,.532,14.1,0.0,.000,0.0,2.1,40,1.4,abdulka01,5.6,7.5,.532,14.1,3.2,.762,4.2,80,80,NBA,2308,1.8,3.4,18.2,C,0.7,1987-88,2.5,7.5,LAL
19,6.6,.477,13.9,0.0,.000,0.1,1.6,41,1.8,abdulka01,4.9,6.6,.475,14.0,2.6,.739,3.5,74,74,NBA,1695,2.2,4.2,15.9,C,0.8,1988-89,2.0,7.1,LAL
0,9.4,.432,21.7,0.6,.240,2.4,4.9,21,0.1,abdulma02,2.1,10.0,.413,24.1,2.0,.857,2.3,67,19,NBA,1505,0.8,3.6,22.5,PG,1.3,1990-91,2.6,2.9,DEN
1,7.6,.433,17.6,0.7,.330,2.2,4.5,22,0.1,abdulma02,2.2,8.3,.421,19.8,2.2,.870,2.5,81,11,NBA,1538,0.5,3.0,19.6,PG,1.0,1991-92,2.7,2.7,DEN
2,7.5,.465,16.1,0.9,.355,2.6,4.6,23,0.1,abdulma02,2.3,8.4,.450,18.7,2.9,.935,3.1,81,81,NBA,2710,0.7,2.4,20.6,PG,1.1,1992-93,2.5,3.0,DEN
3,7.5,.476,15.8,0.6,.316,1.8,5.0,24,0.1,abdulma02,1.9,8.1,.460,17.6,3.0,.956,3.2,80,78,NBA,2617,0.4,2.1,19.8,PG,1.1,1993-94,2.1,2.3,DEN
4,6.7,.492,13.7,1.4,.386,3.7,4.5,25,0.2,abdulma02,1.8,8.2,.470,17.4,2.4,.885,2.7,73,43,NBA,2082,0.6,2.2,20.1,PG,1.3,1994-95,2.1,2.4,DEN
5,5.2,.454,11.5,2.1,.392,5.5,6.9,26,0.1,abdulma02,2.0,7.3,.434,16.9,2.6,.930,2.8,57,53,NBA,2029,0.5,2.1,19.4,PG,1.1,1995-96,2.0,2.4,DEN
6,5.4,.468,11.5,1.6,.382,4.2,3.2,27,0.1,abdulma02,1.8,6.9,.445,15.6,1.9,.846,2.3,75,51,NBA,2131,0.3,2.9,17.4,PG,0.9,1996-97,2.0,2.1,SAC
7,6.7,.405,16.4,0.3,.161,2.1,3.9,28,0.1,abdulma02,2.1,7.0,.377,18.5,1.1,1.000,1.1,31,0,NBA,530,0.4,2.1,15.4,PG,1.1,1997-98,1.3,2.5,SAC
8,8.6,.500,17.2,0.3,.286,1.0,5.6,31,0.1,abdulma02,1.5,8.9,.488,18.2,1.6,.759,2.1,41,0,NBA,486,0.4,3.7,19.7,PG,0.7,2000-01,1.9,1.9,VAN
0,5.3,.414,12.7,0.2,.211,0.7,1.9,23,0.5,abdulta01,2.7,5.4,.403,13.4,3.2,.672,4.7,59,16,NBA,959,1.7,3.0,14.1,SG,1.3,1997-98,2.4,4.4,SAC
1,5.1,.443,11.5,0.2,.286,0.6,1.5,24,0.5,abdulta01,3.4,5.3,.435,12.2,2.8,.691,4.1,49,49,NBA,1205,2.2,3.6,13.6,SG,1.5,1998-99,2.1,5.6,SAC
2,6.2,.435,14.2,0.1,.130,0.5,2.2,25,0.6,abdulta01,4.3,6.3,.424,14.7,3.3,.756,4.4,61,56,NBA,1578,2.3,3.4,15.9,SG,1.3,1999-00,2.4,6.6,TOT
3,6.6,.447,14.8,0.1,.095,0.6,2.2,25,0.5,abdulta01,4.8,6.7,.433,15.4,3.4,.762,4.5,46,46,NBA,1205,2.3,3.5,16.8,SG,1.6,1999-00,2.6,7.1,ORL
4,4.8,.388,12.5,0.1,.500,0.2,2.5,25,1.2,abdulta01,2.7,4.9,.389,12.6,3.0,.738,4.1,15,10,NBA,373,2.3,3.0,12.9,SG,0.6,1999-00,1.8,5.0,DEN
5,3.3,.386,8.7,0.3,.400,0.9,1.9,26,1.1,abdulta01,3.9,3.7,.387,9.5,1.8,.583,3.1,29,12,NBA,420,1.2,4.6,9.5,SG,1.2,2000-01,2.9,5.1,DEN
6,4.4,.372,11.8,0.1,.500,0.2,2.0,27,0.8,abdulta01,3.5,4.5,.374,12.0,2.0,.727,2.7,24,12,NBA,441,3.3,4.6,11.0,SG,1.6,2001-02,2.2,6.9,TOT
7,4.7,.378,12.3,0.1,.500,0.2,1.9,27,0.8,abdulta01,3.4,4.7,.379,12.5,2.1,.750,2.8,20,12,NBA,417,3.4,4.4,11.7,SG,1.6,2001-02,2.1,6.7,DEN
8,0.0,.000,3.0,0.0,,0.0,3.0,27,1.5,abdulta01,6.0,0.0,.000,3.0,0.0,.000,1.5,4,0,NBA,24,3.0,7.5,0.0,SG,3.0,2001-02,4.5,9.0,DAL
9,4.8,.474,10.1,0.0,.000,0.2,3.7,28,0.5,abdulta01,4.6,4.8,.466,10.2,0.5,.500,1.1,14,0,NBA,204,2.5,4.6,10.1,SG,1.1,2002-03,1.2,7.1,DAL
0,7.0,.457,15.3,0.1,.259,0.3,2.2,20,1.0,abdursh01,4.4,7.1,.453,15.6,5.0,.746,6.7,80,71,NBA,2802,2.8,2.6,19.2,PF,1.0,1996-97,2.9,7.1,VAN
1,7.7,.488,15.8,0.3,.412,0.6,2.6,21,0.9,abdursh01,4.3,8.0,.485,16.4,6.1,.784,7.8,82,82,NBA,2950,2.8,2.5,22.3,SF,1.1,1997-98,3.1,7.1,VAN
2,6.7,.438,15.3,0.2,.306,0.6,3.1,22,1.0,abdursh01,4.6,6.9,.432,15.9,6.6,.841,7.8,50,50,NBA,2021,2.0,2.4,20.5,SF,1.2,1998-99,3.3,6.7,VAN
3,6.3,.478,13.2,0.3,.302,1.1,3.0,23,1.0,abdursh01,6.8,6.6,.465,14.3,5.0,.809,6.2,82,82,NBA,3223,2.4,2.7,18.6,SF,1.0,1999-00,2.8,9.2,VAN
4,6.6,.487,13.5,0.1,.188,0.7,2.8,24,0.9,abdursh01,6.2,6.7,.472,14.2,4.9,.834,5.9,81,81,NBA,3241,1.9,2.6,18.5,SF,1.0,2000-01,2.6,8.2,VAN
5,7.0,.470,14.8,0.3,.300,0.8,2.9,25,1.0,abdursh01,6.0,7.2,.461,15.7,5.1,.801,6.3,77,77,NBA,2980,2.4,2.6,19.8,PF,1.2,2001-02,3.0,8.4,ATL
6,6.4,.485,13.1,0.2,.350,0.7,2.8,26,0.4,abdursh01,5.9,6.6,.478,13.8,5.3,.841,6.3,81,81,NBA,3087,2.0,2.8,18.8,PF,1.0,2002-03,2.5,7.9,ATL
7,6.6,.482,13.7,0.1,.265,0.5,2.3,27,0.5,abdursh01,6.0,6.7,.475,14.1,5.0,.869,5.8,85,56,NBA,2684,2.5,3.0,18.6,PF,0.9,2003-04,2.5,8.6,TOT
8,7.0,.493,14.1,0.1,.217,0.4,2.3,27,0.3,abdursh01,6.5,7.0,.485,14.5,5.4,.880,6.1,53,53,NBA,1956,2.6,2.7,19.6,PF,0.8,2003-04,2.4,9.1,ATL
9,5.6,.451,12.5,0.2,.364,0.5,2.3,27,0.9,abdursh01,4.7,5.8,.447,13.1,3.9,.832,4.7,32,3,NBA,728,2.4,3.7,15.8,PF,1.2,2003-04,2.6,7.1,POR
10,6.2,.510,12.2,0.3,.385,0.8,2.1,28,0.5,abdursh01,5.2,6.5,.503,12.9,4.2,.866,4.9,54,49,NBA,1867,2.4,2.9,17.5,PF,0.9,2004-05,2.3,7.6,POR
11,6.0,.536,11.2,0.1,.227,0.4,2.7,29,0.8,abdursh01,4.6,6.1,.525,11.6,4.0,.784,5.1,72,30,NBA,1961,1.9,4.2,16.3,PF,0.9,2005-06,2.0,6.6,SAC
12,5.5,.484,11.3,0.1,.150,0.4,1.9,30,0.7,abdursh01,4.9,5.5,.474,11.7,3.0,.726,4.2,80,45,NBA,2015,2.2,4.3,14.2,C,0.9,2006-07,2.1,7.1,SAC
13,2.1,.214,9.9,0.0,,0.0,2.8,31,0.0,abdursh01,2.8,2.1,.214,9.9,2.8,1.000,2.8,6,0,NBA,51,4.2,6.4,7.1,PF,0.7,2007-08,0.7,7.1,SAC
0,4.4,.484,9.1,,,,2.6,22,0.3,abernto01,4.7,4.4,.484,9.1,2.6,.754,3.5,70,,NBA,1378,3.0,3.1,11.5,SF,1.3,1976-77,,7.6,LAL
1,5.5,.498,11.0,,,,2.8,23,0.6,abernto01,4.4,5.5,.498,11.0,2.5,.820,3.0,73,,NBA,1317,2.9,3.3,13.5,SF,1.5,1977-78,1.4,7.2,LAL
2,5.2,.515,10.1,,,,2.3,24,0.4,abernto01,4.2,5.2,.515,10.1,2.1,.745,2.8,70,,NBA,1219,2.2,3.9,12.5,PF,1.2,1978-79,0.9,6.4,GSW
3,4.5,.483,9.3,0.0,.000,0.0,2.6,25,0.4,abernto01,3.8,4.5,.481,9.4,1.6,.683,2.4,67,,NBA,1222,1.8,3.5,10.7,PF,1.0,1979-80,1.1,5.6,GSW
4,3.0,.431,7.0,0.0,.000,0.1,2.3,26,0.4,abernto01,3.4,3.0,.424,7.1,1.6,.591,2.7,39,,NBA,298,2.4,4.1,7.6,SF,0.8,1980-81,1.0,5.8,TOT
5,0.9,.333,2.8,0.0,,0.0,0.9,26,0.0,abernto01,6.5,0.9,.333,2.8,1.8,.667,2.8,10,,NBA,39,0.9,4.6,3.7,SF,0.9,1980-81,1.8,7.4,GSW
6,3.3,.436,7.6,0.0,.000,0.1,2.5,26,0.4,abernto01,2.9,3.3,.429,7.8,1.5,.579,2.6,29,,NBA,259,2.6,4.0,8.2,SF,0.8,1980-81,0.8,5.6,IND
0,,,,,,,36.0,24,,ablefo01,,0.0,.000,72.0,0.0,,0.0,1,,NBA,1,,36.0,0.0,,,1956-57,,36.0,SYR
0,,,,,,,,27,,abramjo01,,,.242,,,.691,,47,,BAA,,,,,,,1946-47,,,PIT
1,,,,,,,,28,,abramjo01,,,.048,,,.571,,9,,BAA,,,,,,,1947-48,,,TOT
2,,,,,,,,28,,abramjo01,,,.100,,,.500,,4,,BAA,,,,,,,1947-48,,,STB
3,,,,,,,,28,,abramjo01,,,.000,,,.667,,5,,BAA,,,,,,,1947-48,,,BLB
0,1.4,.426,3.2,3.2,.381,8.4,1.4,23,0.3,abrinal01,2.3,4.6,.393,11.6,1.5,.898,1.7,68,6,NBA,1055,0.6,3.9,13.9,SG,1.3,2016-17,1.1,2.9,OKC
0,3.1,.273,11.3,1.0,.200,5.1,4.1,23,0.0,ackeral01,4.1,4.1,.250,16.5,0.0,,0.0,5,0,NBA,35,1.0,4.1,9.3,SG,1.0,2005-06,4.1,5.1,DET
1,4.2,.411,10.1,1.3,.350,3.6,2.2,26,0.7,ackeral01,2.9,5.4,.395,13.7,0.9,.500,1.8,25,0,NBA,199,1.4,1.6,13.0,SG,0.9,2008-09,1.3,4.3,TOT
2,7.2,.571,12.6,0.0,.000,7.2,1.8,26,1.8,ackeral01,3.6,7.2,.364,19.8,1.8,.500,3.6,7,0,NBA,20,0.0,0.0,16.2,SG,3.6,2008-09,0.0,3.6,DET
3,3.8,.388,9.9,1.4,.438,3.2,2.2,26,0.6,ackeral01,2.8,5.2,.400,13.1,0.8,.500,1.6,18,0,NBA,179,1.6,1.8,12.7,SG,0.6,2008-09,1.4,4.4,LAC
0,,,,,,,3.8,23,,ackerdo01,,2.3,.222,10.3,2.5,.536,4.6,28,,NBA,220,,7.0,7.0,PG,,1953-54,,2.5,NYK
0,3.4,.532,6.3,0.0,,0.0,1.3,25,0.8,acresma01,5.2,3.4,.532,6.3,2.2,.640,3.5,79,5,NBA,1151,3.3,6.2,9.0,C,0.9,1987-88,1.7,8.4,BOS
1,3.1,.478,6.4,0.1,1.000,0.1,1.1,26,0.3,acresma01,5.0,3.1,.482,6.5,1.5,.542,2.7,62,0,NBA,632,3.4,5.4,7.8,C,1.1,1988-89,1.3,8.3,BOS
2,2.9,.480,6.0,0.1,.750,0.1,1.4,27,0.5,acresma01,5.9,2.9,.484,6.1,1.8,.692,2.6,80,50,NBA,1691,3.3,5.3,7.7,C,0.8,1989-90,1.5,9.2,ORL
3,3.0,.512,5.8,0.0,.333,0.1,0.7,28,0.7,acresma01,6.0,3.0,.509,5.9,1.8,.653,2.8,68,0,NBA,1313,3.8,6.0,7.8,C,0.7,1990-91,1.2,9.8,ORL
4,3.0,.520,5.8,0.0,.333,0.1,0.9,29,0.6,acresma01,6.0,3.0,.517,5.9,2.0,.761,2.6,68,6,NBA,926,3.8,5.4,8.1,C,1.0,1991-92,1.3,9.8,ORL
5,3.3,.532,6.3,0.1,.500,0.3,0.7,30,0.8,acresma01,5.5,3.5,.531,6.6,1.5,.688,2.1,18,7,NBA,269,3.5,4.6,8.6,C,0.4,1992-93,1.7,9.0,TOT
6,1.6,.143,11.0,1.6,.500,3.1,0.0,30,0.0,acresma01,6.3,3.1,.222,14.1,1.6,.500,3.1,6,0,NBA,23,3.1,3.1,9.4,C,0.0,1992-93,3.1,9.4,HOU
7,3.5,.600,5.9,0.0,,0.0,0.7,30,0.9,acresma01,5.4,3.5,.600,5.9,1.5,.714,2.0,12,7,NBA,246,3.5,4.7,8.5,C,0.4,1992-93,1.6,8.9,WSB
0,,,,,,,2.0,26,,actonbu01,,5.4,.392,13.7,3.5,.655,5.4,23,,NBA,195,,6.5,14.2,SF,,1967-68,,8.7,SDR
0,4.3,.562,7.7,0.1,.500,0.2,1.2,22,1.6,acyqu01,4.9,4.4,.560,7.9,3.3,.816,4.0,29,0,NBA,342,3.2,5.6,12.2,PF,1.4,2012-13,1.8,8.1,TOR
1,2.6,.492,5.4,0.2,.267,0.6,1.2,23,1.1,acyqu01,6.1,2.8,.468,6.0,1.5,.660,2.3,63,0,NBA,847,3.1,5.2,7.3,SF,1.0,2013-14,1.3,9.2,TOT
2,2.4,.444,5.3,1.2,.400,3.0,2.4,23,1.8,acyqu01,5.9,3.5,.429,8.3,3.0,.625,4.7,7,0,NBA,61,3.0,4.7,11.2,SF,2.4,2013-14,1.2,8.9,TOR
3,2.7,.496,5.4,0.1,.200,0.5,1.1,23,1.1,acyqu01,6.1,2.7,.472,5.8,1.4,.667,2.1,56,0,NBA,786,3.1,5.2,7.0,SF,0.9,2013-14,1.3,9.2,SAC
4,3.7,.494,7.6,0.5,.300,1.7,1.9,24,0.6,acyqu01,6.2,4.3,.459,9.3,2.1,.784,2.7,68,22,NBA,1287,2.2,4.1,11.1,PF,0.8,2014-15,1.7,8.4,NYK
5,4.1,.606,6.8,0.8,.388,2.0,1.1,25,1.0,acyqu01,5.1,4.9,.556,8.8,2.1,.735,2.8,59,29,NBA,876,2.7,4.2,12.6,PF,1.2,2015-16,1.1,7.7,SAC
6,2.1,.413,5.2,2.4,.411,5.8,1.2,26,1.0,acyqu01,6.1,4.5,.412,11.0,2.9,.750,3.9,38,1,NBA,558,1.3,4.3,14.3,PF,0.9,2016-17,1.4,7.4,TOT
7,3.0,.400,7.5,0.7,.143,5.2,0.0,26,0.0,acyqu01,4.5,3.7,.294,12.7,1.5,.667,2.3,6,0,NBA,48,1.5,6.8,9.7,PF,0.0,2016-17,1.5,6.0,DAL
8,2.0,.414,4.9,2.5,.434,5.9,1.3,26,1.1,acyqu01,6.3,4.6,.425,10.8,3.0,.754,4.0,32,1,NBA,510,1.3,4.1,14.8,PF,1.0,2016-17,1.3,7.6,BRK
0,8.5,.469,18.2,,,,6.1,21,1.6,adamsal01,6.9,8.5,.469,18.2,3.5,.735,4.8,80,,NBA,2656,2.9,3.7,20.6,C,1.6,1975-76,,9.9,PHO
1,8.2,.474,17.4,,,,5.1,22,1.4,adamsal01,7.5,8.2,.474,17.4,4.0,.754,5.3,72,,NBA,2278,2.8,4.1,20.5,C,1.5,1976-77,,10.3,PHO
2,8.2,.485,16.8,,,,4.2,23,1.2,adamsal01,7.7,8.2,.485,16.8,4.0,.730,5.5,70,,NBA,1914,3.0,4.6,20.4,C,1.6,1977-78,4.4,10.6,PHO
3,8.7,.530,16.3,,,,5.5,24,1.0,adamsal01,7.4,8.7,.530,16.3,3.5,.799,4.4,77,,NBA,2364,3.4,3.7,20.8,C,1.7,1978-79,4.2,10.7,PHO
4,7.7,.533,14.5,0.0,.000,0.0,5.3,25,0.9,adamsal01,7.5,7.7,.531,14.5,3.1,.797,3.9,75,,NBA,2168,2.6,3.9,18.6,C,1.8,1979-80,3.6,10.1,PHO
5,8.0,.526,15.2,0.0,,0.0,6.0,26,1.2,adamsal01,6.8,8.0,.526,15.2,3.5,.768,4.5,75,,NBA,2054,2.8,4.0,19.5,C,1.9,1980-81,4.0,9.6,PHO
6,7.6,.494,15.4,0.0,.000,0.0,5.4,27,1.2,adamsal01,6.7,7.6,.494,15.5,2.7,.781,3.5,79,75,NBA,2393,2.1,4.0,18.0,C,1.7,1981-82,2.9,8.8,PHO
7,7.0,.487,14.4,0.0,.333,0.0,5.5,28,1.1,adamsal01,5.7,7.0,.486,14.4,2.6,.829,3.2,80,75,NBA,2447,2.4,4.2,16.7,C,1.7,1982-83,3.6,8.1,PHO
8,6.7,.465,14.3,0.0,.000,0.1,5.4,29,0.8,adamsal01,5.0,6.7,.462,14.4,3.3,.825,4.0,70,13,NBA,1452,2.9,4.8,16.6,C,1.8,1983-84,2.9,7.9,PHO
9,8.0,.520,15.4,0.0,,0.0,5.2,30,0.8,adamsal01,5.8,8.0,.520,15.4,4.2,.883,4.8,82,69,NBA,2136,2.6,4.3,20.3,PF,1.9,1984-85,3.3,8.4,PHO
10,6.1,.504,12.2,0.0,.000,0.0,5.8,31,0.8,adamsal01,5.9,6.1,.502,12.2,2.9,.783,3.6,78,45,NBA,2005,2.7,4.9,15.1,C,1.8,1985-86,3.7,8.6,PHO
11,6.6,.504,13.1,0.0,.000,0.0,4.8,32,0.8,adamsal01,5.3,6.6,.503,13.2,2.9,.788,3.6,68,40,NBA,1690,1.9,4.4,16.1,C,1.3,1986-87,3.0,7.2,PHO
12,5.5,.496,11.0,0.0,.500,0.0,4.0,33,0.9,adamsal01,5.4,5.5,.496,11.1,2.4,.844,2.8,82,25,NBA,1646,2.6,5.4,13.4,C,1.8,1987-88,3.1,8.0,PHO
0,5.9,.409,14.5,,,,2.6,23,,adamsdo01,,5.9,.409,14.5,2.4,.731,3.2,82,,NBA,2374,,5.2,14.2,SF,,1970-71,,8.8,SDR
1,5.4,.392,13.9,,,,2.4,24,,adamsdo01,,5.4,.392,13.9,3.6,.745,4.8,73,,NBA,2071,,4.6,14.4,SF,,1971-72,,8.7,TOT
2,5.3,.316,16.7,,,,2.6,24,,adamsdo01,,5.3,.316,16.7,0.9,.500,1.8,3,,NBA,41,,6.1,11.4,SF,,1971-72,,7.0,HOU
3,5.4,.394,13.8,,,,2.4,24,,adamsdo01,,5.4,.394,13.8,3.6,.747,4.8,70,,NBA,2030,,4.6,14.5,SF,,1971-72,,8.8,ATL
4,5.1,.391,13.0,,,,2.2,25,,adamsdo01,,5.1,.391,13.0,2.8,.788,3.5,74,,NBA,1874,,4.4,13.0,SF,,1972-73,,8.5,TOT
5,3.8,.211,18.0,,,,2.4,25,,adamsdo01,,3.8,.211,18.0,3.3,.875,3.8,4,,NBA,76,,5.2,10.9,SF,,1972-73,,10.4,ATL
6,5.1,.402,12.8,,,,2.2,25,,adamsdo01,,5.1,.402,12.8,2.8,.784,3.5,70,,NBA,1798,,4.4,13.1,SF,,1972-73,,8.4,DET
7,4.7,.408,11.6,,,,2.2,26,0.2,adamsdo01,4.9,4.7,.408,11.6,2.4,.761,3.1,74,,NBA,2298,2.1,3.8,11.9,SF,1.7,1973-74,,7.0,DET
8,3.5,.410,8.6,0.0,.000,0.0,2.7,27,0.5,adamsdo01,4.8,3.5,.409,8.7,1.3,.620,2.1,67,,TOT,1718,1.8,4.5,8.4,SF,1.7,1974-75,0.6,6.5,TOT
