,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,BR_player_id,DRB,DRtg,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Tm
0,9.1,.474,19.1,0.0,,0.0,2.0,22,2.0,abdelal01,10.2,103,9.1,.474,19.1,4.1,.568,7.2,43,0,NBA,290,4.4,99,6.4,22.2,PF,0.7,1990-91,3.6,14.7,POR
1,9.2,.493,18.7,0.0,,0.0,1.6,23,0.8,abdelal01,9.3,103,9.2,.493,18.7,3.9,.752,5.2,71,1,NBA,934,4.2,105,6.9,22.4,PF,1.3,1991-92,3.4,13.5,POR
2,9.4,.519,18.2,0.0,.000,0.0,1.0,24,1.0,abdelal01,8.1,108,9.4,.518,18.2,3.4,.759,4.5,75,52,NBA,1311,4.9,104,7.3,22.3,PF,1.0,1992-93,3.7,13.0,TOT
3,8.2,.473,17.3,0.0,.000,0.3,3.1,24,1.3,abdelal01,7.9,108,8.2,.464,17.6,3.8,.750,5.0,12,0,NBA,159,3.8,97,7.5,20.1,PF,1.9,1992-93,4.1,11.6,MIL
4,9.6,.525,18.3,0.0,,0.0,0.7,24,1.0,abdelal01,8.2,108,9.6,.525,18.3,3.3,.760,4.4,63,52,NBA,1152,5.0,105,7.2,22.6,PF,0.8,1992-93,3.7,13.2,BOS
5,7.6,.436,17.4,0.0,,0.0,0.9,25,0.9,abdelal01,10.7,108,7.6,.436,17.4,5.1,.640,7.9,13,0,NBA,159,3.8,86,6.3,20.2,PF,0.6,1993-94,5.4,14.5,BOS
6,12.1,.515,23.5,0.0,.000,0.2,1.3,26,1.2,abdelal01,7.9,105,12.1,.511,23.8,2.1,.571,3.6,54,0,NBA,506,3.8,94,10.7,26.3,PF,1.5,1994-95,4.6,11.7,TOT
7,12.8,.537,23.8,0.0,.000,0.2,1.4,26,1.3,abdelal01,7.9,105,12.8,.532,24.0,2.2,.571,3.8,51,0,NBA,476,3.7,98,11.1,27.7,PF,1.6,1994-95,4.4,11.6,SAC
8,1.8,.091,19.3,0.0,,0.0,0.0,26,0.0,abdelal01,8.8,113,1.8,.091,19.3,0.0,,0.0,3,0,NBA,30,5.3,26,3.5,3.5,PF,0.0,1994-95,8.8,14.1,PHI
0,,,,,,,3.1,27,1.9,abdulza01,12.2,96,6.2,.459,13.5,3.5,.804,4.4,79,,NBA,2459,4.8,,4.2,15.9,C,1.5,1973-74,,17.0,HOU
1,,,,,,,2.7,28,2.4,abdulza01,10.7,96,7.6,.437,17.3,5.1,.783,6.5,65,,NBA,1450,5.0,,4.1,20.2,C,1.2,1974-75,,15.7,HOU
2,,,,,,,3.2,29,3.0,abdulza01,9.2,95,7.0,.467,15.0,3.2,.552,5.8,27,,NBA,223,6.0,,5.8,17.2,C,1.6,1975-76,,15.2,SEA
3,,,,,,,1.6,30,2.1,abdulza01,11.2,99,5.7,.338,17.0,7.6,.767,9.9,22,,NBA,195,9.4,,4.8,19.0,C,0.7,1976-77,,20.6,BUF
4,,,,,,,3.0,31,0.9,abdulza01,9.2,104,6.8,.383,17.9,5.1,.739,6.8,16,,NBA,158,5.7,93,8.6,18.8,PF-C,0.9,1977-78,4.2,14.9,TOT
5,,,,,,,5.7,31,1.9,abdulza01,17.0,92,5.7,.231,24.5,3.8,.667,5.7,2,,NBA,24,11.3,74,7.6,15.1,C,1.9,1977-78,5.7,28.3,BOS
6,,,,,,,2.5,31,0.7,abdulza01,7.8,107,7.1,.426,16.6,5.3,.750,7.1,14,,NBA,134,4.6,99,8.8,19.4,PF,0.7,1977-78,3.9,12.4,HOU
0,12.2,.539,22.6,,,,5.0,26,3.6,abdulka01,11.4,89,12.2,.539,22.6,3.8,.702,5.4,81,,NBA,3548,3.7,,3.1,28.1,C,1.4,1973-74,,15.1,MIL
1,13.9,.513,27.1,,,,4.5,27,3.6,abdulka01,12.3,92,13.9,.513,27.1,5.6,.763,7.3,65,,NBA,2747,3.3,,3.5,33.4,C,1.1,1974-75,,15.6,MIL
2,12.0,.529,22.7,,,,5.4,28,4.4,abdulka01,14.6,90,12.0,.529,22.7,5.9,.703,8.4,82,,NBA,3379,3.6,,3.8,29.9,C,1.6,1975-76,,18.2,LAL
3,13.5,.579,23.3,,,,4.8,29,4.0,abdulka01,12.5,92,13.5,.579,23.3,5.7,.701,8.1,82,,NBA,3016,4.0,,4.0,32.7,C,1.5,1976-77,,16.6,LAL
4,13.2,.550,24.1,,,,5.4,30,3.7,abdulka01,12.3,94,13.2,.550,24.1,5.5,.783,7.0,62,,NBA,2265,3.7,113,3.6,32.0,C,2.1,1977-78,4.2,16.0,LAL
5,11.2,.577,19.3,,,,6.2,31,4.5,abdulka01,11.7,98,11.2,.577,19.3,5.0,.736,6.8,80,,NBA,3157,3.0,115,3.3,27.3,C,1.1,1978-79,4.0,14.7,LAL
6,12.3,.604,20.3,0.0,.000,0.0,5.4,32,4.1,abdulka01,10.2,100,12.3,.604,20.3,5.3,.765,7.0,82,,NBA,3143,2.8,118,3.2,29.8,C,1.2,1979-80,4.4,13.0,LAL
7,13.1,.574,22.9,0.0,.000,0.0,4.3,33,3.6,abdulka01,9.8,101,13.1,.574,22.9,6.6,.766,8.7,80,,NBA,2976,3.1,118,3.8,32.9,C,0.9,1980-81,3.9,12.9,LAL
8,13.1,.580,22.6,0.0,.000,0.1,3.9,34,3.6,abdulka01,8.5,104,13.1,.579,22.6,5.4,.706,7.7,76,76,NBA,2677,3.0,116,3.9,31.6,C,1.1,1981-82,4.0,11.5,LAL
9,13.1,.589,22.2,0.0,.000,0.0,3.6,35,3.1,abdulka01,7.7,104,13.1,.588,22.2,5.0,.749,6.7,79,79,NBA,2554,3.0,118,4.0,31.2,C,1.1,1982-83,3.6,10.7,LAL
10,12.6,.579,21.8,0.0,.000,0.0,3.7,36,2.5,abdulka01,7.4,107,12.6,.578,21.9,5.0,.723,7.0,80,80,NBA,2622,3.0,115,3.7,30.3,C,1.0,1983-84,3.9,10.4,LAL
11,12.8,.600,21.3,0.0,.000,0.0,4.4,37,2.9,abdulka01,8.1,105,12.8,.599,21.3,5.1,.732,7.0,79,79,NBA,2630,2.9,120,4.2,30.7,C,1.1,1984-85,3.5,11.0,LAL
12,13.4,.565,23.7,0.0,.000,0.0,5.0,38,2.3,abdulka01,6.1,106,13.4,.564,23.8,6.0,.765,7.8,79,79,NBA,2629,2.4,118,4.4,32.8,C,1.2,1985-86,3.6,8.5,LAL
13,10.8,.565,19.2,0.0,.333,0.1,3.9,39,1.9,abdulka01,7.2,107,10.8,.564,19.2,4.7,.714,6.6,78,78,NBA,2441,2.9,114,4.7,26.4,C,0.9,1986-87,3.6,10.1,LAL
14,10.1,.532,18.9,0.0,.000,0.0,2.8,40,1.9,abdulka01,7.6,107,10.1,.532,19.0,4.3,.762,5.6,80,80,NBA,2308,2.5,109,4.5,24.4,C,1.0,1987-88,3.3,10.0,LAL
15,8.9,.477,18.6,0.0,.000,0.1,2.1,41,2.4,abdulka01,6.5,107,8.9,.475,18.6,3.5,.739,4.7,74,74,NBA,1695,2.9,104,5.5,21.2,C,1.1,1988-89,2.7,9.4,LAL
0,11.0,.432,25.5,0.7,.240,2.8,5.8,21,0.1,abdulma02,2.4,118,11.7,.413,28.3,2.4,.857,2.7,67,19,NBA,1505,1.0,96,4.2,26.4,PG,1.5,1990-91,3.1,3.4,DEN
1,10.3,.433,23.8,1.0,.330,3.0,6.1,22,0.1,abdulma02,2.9,113,11.3,.421,26.8,3.0,.870,3.4,81,11,NBA,1538,0.7,99,4.1,26.5,PG,1.4,1991-92,3.7,3.6,DEN
2,10.0,.465,21.5,1.2,.355,3.5,6.1,23,0.1,abdulma02,3.1,110,11.2,.450,25.0,3.9,.935,4.1,81,81,NBA,2710,0.9,107,3.2,27.6,PG,1.5,1992-93,3.3,4.0,DEN
3,10.4,.476,21.9,0.8,.316,2.5,6.9,24,0.2,abdulma02,2.7,107,11.2,.460,24.4,4.2,.956,4.4,80,78,NBA,2617,0.5,109,2.9,27.4,PG,1.6,1993-94,2.9,3.2,DEN
4,9.8,.492,19.9,2.1,.386,5.4,6.6,25,0.2,abdulma02,2.6,112,11.9,.470,25.3,3.5,.885,3.9,73,43,NBA,2082,0.8,112,3.2,29.4,PG,1.9,1994-95,3.0,3.5,DEN
5,7.5,.454,16.6,3.1,.392,7.9,10.0,26,0.1,abdulma02,2.9,112,10.6,.434,24.5,3.7,.930,4.0,57,53,NBA,2029,0.7,114,3.0,28.1,PG,1.6,1995-96,3.0,3.5,DEN
6,7.8,.468,16.8,2.3,.382,6.1,4.7,27,0.1,abdulma02,2.6,112,10.2,.445,22.9,2.8,.846,3.4,75,51,NBA,2131,0.4,105,4.3,25.5,PG,1.4,1996-97,2.9,3.0,SAC
7,9.6,.405,23.8,0.5,.161,3.0,5.7,28,0.1,abdulma02,3.0,110,10.1,.377,26.8,1.6,1.000,1.6,31,0,NBA,530,0.6,90,3.0,22.3,PG,1.6,1997-98,1.9,3.6,SAC
8,12.5,.500,25.0,0.4,.286,1.5,8.2,31,0.1,abdulma02,2.2,111,12.9,.488,26.5,2.4,.759,3.1,41,0,NBA,486,0.5,104,5.4,28.7,PG,1.0,2000-01,2.8,2.7,VAN
0,7.6,.414,18.4,0.2,.211,1.0,2.8,23,0.7,abdulta01,3.9,108,7.8,.403,19.4,4.6,.672,6.8,59,16,NBA,959,2.4,91,4.4,20.4,SG,1.9,1997-98,3.5,6.3,SAC
1,7.1,.443,16.0,0.2,.286,0.9,2.1,24,0.7,abdulta01,4.7,104,7.3,.435,16.9,3.9,.691,5.6,49,49,NBA,1205,3.0,98,5.0,18.8,SG,2.1,1998-99,2.9,7.7,SAC
2,8.5,.435,19.6,0.1,.130,0.7,3.1,25,0.9,abdulta01,6.0,103,8.6,.424,20.3,4.6,.756,6.1,61,56,NBA,1578,3.2,98,4.6,21.9,SG,1.9,1999-00,3.3,9.2,TOT
3,9.0,.447,20.2,0.1,.095,0.9,2.9,25,0.7,abdulta01,6.6,101,9.1,.433,21.1,4.7,.762,6.2,46,46,NBA,1205,3.2,98,4.7,23.0,SG,2.2,1999-00,3.6,9.8,ORL
4,6.8,.388,17.5,0.1,.500,0.3,3.5,25,1.6,abdulta01,3.8,109,6.9,.389,17.8,4.2,.738,5.7,15,10,NBA,373,3.3,96,4.2,18.2,SG,0.8,1999-00,2.6,7.1,DEN
5,4.8,.386,12.5,0.5,.400,1.2,2.7,26,1.6,abdulta01,5.6,106,5.3,.387,13.7,2.6,.583,4.4,29,12,NBA,420,1.7,79,6.7,13.7,SG,1.7,2000-01,4.2,7.3,DEN
6,6.5,.372,17.4,0.1,.500,0.2,2.9,27,1.2,abdulta01,5.2,107,6.6,.374,17.7,2.9,.727,4.0,24,12,NBA,441,4.9,90,6.7,16.2,SG,2.4,2001-02,3.2,10.1,TOT
7,6.9,.378,18.2,0.1,.500,0.3,2.8,27,1.1,abdulta01,5.0,108,7.0,.379,18.5,3.1,.750,4.1,20,12,NBA,417,5.0,92,6.5,17.2,SG,2.3,2001-02,3.1,9.9,DEN
8,0.0,.000,4.3,0.0,,0.0,4.3,27,2.2,abdulta01,8.6,99,0.0,.000,4.3,0.0,.000,2.2,4,0,NBA,24,4.3,41,10.8,0.0,SG,4.3,2001-02,6.5,12.9,DAL
9,6.9,.474,14.5,0.0,.000,0.3,5.3,28,0.8,abdulta01,6.6,103,6.9,.466,14.7,0.8,.500,1.5,14,0,NBA,204,3.6,106,6.6,14.5,SG,1.5,2002-03,1.8,10.2,DAL
0,10.5,.457,23.0,0.1,.259,0.5,3.4,20,1.5,abdursh01,6.6,112,10.7,.453,23.5,7.5,.746,10.1,80,71,NBA,2802,4.2,102,3.9,28.9,PF,1.5,1996-97,4.4,10.7,VAN
1,11.2,.488,22.9,0.4,.412,0.9,3.8,21,1.3,abdursh01,6.3,112,11.5,.485,23.8,8.9,.784,11.3,82,82,NBA,2950,4.0,109,3.6,32.3,SF,1.6,1997-98,4.5,10.3,VAN
2,10.0,.438,22.9,0.3,.306,1.0,4.6,22,1.5,abdursh01,6.9,107,10.3,.432,23.8,9.8,.841,11.7,50,50,NBA,2021,3.0,104,3.7,30.7,SF,1.8,1998-99,5.0,10.0,VAN
3,9.3,.478,19.3,0.5,.302,1.6,4.4,23,1.4,abdursh01,9.9,106,9.7,.465,20.9,7.3,.809,9.0,82,82,NBA,3223,3.6,108,4.0,27.2,SF,1.5,1999-00,4.1,13.5,VAN
4,9.6,.487,19.6,0.2,.188,1.0,4.0,24,1.2,abdursh01,9.0,104,9.8,.472,20.7,7.2,.834,8.6,81,81,NBA,3241,2.8,106,3.8,26.9,SF,1.5,2000-01,3.7,11.9,VAN
5,10.1,.470,21.5,0.4,.300,1.2,4.2,25,1.4,abdursh01,8.7,105,10.5,.461,22.7,7.3,.801,9.2,77,77,NBA,2980,3.5,105,3.8,28.7,PF,1.7,2001-02,4.4,12.2,ATL
6,9.3,.485,19.2,0.4,.350,1.0,4.1,26,0.6,abdursh01,8.6,106,9.7,.478,20.2,7.8,.841,9.2,81,81,NBA,3087,3.0,111,4.1,27.5,PF,1.5,2002-03,3.6,11.6,ATL
7,9.8,.482,20.4,0.2,.265,0.7,3.5,27,0.7,abdursh01,9.0,105,10.0,.475,21.0,7.4,.869,8.6,85,56,NBA,2684,3.8,110,4.4,27.6,PF,1.4,2003-04,3.7,12.8,TOT
8,10.2,.493,20.7,0.1,.217,0.6,3.4,27,0.5,abdursh01,9.6,106,10.3,.485,21.3,7.9,.880,9.0,53,53,NBA,1956,3.8,112,4.0,28.8,PF,1.2,2003-04,3.5,13.4,ATL
9,8.7,.451,19.3,0.3,.364,0.8,3.6,27,1.4,abdursh01,7.3,104,9.0,.447,20.2,6.0,.832,7.3,32,3,NBA,728,3.7,103,5.7,24.4,PF,1.8,2003-04,4.1,11.0,POR
10,9.2,.510,18.1,0.4,.385,1.1,3.2,28,0.7,abdursh01,7.7,108,9.6,.503,19.2,6.3,.866,7.3,54,49,NBA,1867,3.5,113,4.3,26.0,PF,1.4,2004-05,3.3,11.2,POR
11,8.7,.536,16.2,0.1,.227,0.6,4.0,29,1.1,abdursh01,6.7,105,8.8,.525,16.8,5.8,.784,7.4,72,30,NBA,1961,2.8,115,6.0,23.6,PF,1.3,2005-06,2.9,9.5,SAC
12,7.7,.484,15.9,0.1,.150,0.5,2.7,30,1.0,abdursh01,6.9,108,7.8,.474,16.4,4.3,.726,5.9,80,45,NBA,2015,3.1,103,6.1,19.9,C,1.3,2006-07,2.9,10.0,SAC
13,3.0,.214,13.9,0.0,,0.0,4.0,31,0.0,abdursh01,4.0,114,3.0,.214,13.9,4.0,1.000,4.0,6,0,NBA,51,6.0,95,8.9,9.9,PF,1.0,2007-08,1.0,9.9,SAC
0,5.6,.484,11.6,,,,3.3,22,0.3,abernto01,5.9,100,5.6,.484,11.6,3.4,.754,4.5,70,,NBA,1378,3.8,,3.9,14.6,SF,1.6,1976-77,,9.7,LAL
1,6.9,.498,13.9,,,,3.5,23,0.8,abernto01,5.5,101,6.9,.498,13.9,3.1,.820,3.8,73,,NBA,1317,3.6,115,4.2,16.9,SF,1.9,1977-78,1.7,9.1,LAL
2,6.8,.515,13.2,,,,3.0,24,0.5,abernto01,5.5,103,6.8,.515,13.2,2.7,.745,3.6,70,,NBA,1219,2.9,118,5.1,16.3,PF,1.5,1978-79,1.2,8.3,GSW
3,6.0,.483,12.4,0.0,.000,0.0,3.4,25,0.5,abernto01,5.0,108,6.0,.481,12.4,2.2,.683,3.2,67,,NBA,1222,2.4,109,4.6,14.1,PF,1.4,1979-80,1.5,7.5,GSW
4,4.0,.431,9.3,0.0,.000,0.2,3.0,26,0.5,abernto01,4.5,109,4.0,.424,9.4,2.1,.591,3.5,39,,NBA,298,3.2,107,5.4,10.1,SF,1.1,1980-81,1.3,7.7,TOT
5,1.2,.333,3.7,0.0,,0.0,1.2,26,0.0,abernto01,8.5,109,1.2,.333,3.7,2.4,.667,3.7,10,,NBA,39,1.2,80,6.1,4.9,SF,1.2,1980-81,2.4,9.8,GSW
6,4.4,.436,10.1,0.0,.000,0.2,3.3,26,0.6,abernto01,3.9,108,4.4,.429,10.3,2.0,.579,3.5,29,,NBA,259,3.5,109,5.3,10.8,SF,1.1,1980-81,1.1,7.3,IND
0,1.9,.426,4.4,4.4,.381,11.5,1.9,23,0.4,abrinal01,3.2,110,6.2,.393,15.9,2.0,.898,2.3,68,6,NBA,1055,0.8,113,5.3,18.9,SG,1.7,2016-17,1.5,4.0,OKC
0,4.7,.273,17.4,1.6,.200,7.9,6.3,23,0.0,ackeral01,6.3,105,6.3,.250,25.3,0.0,,0.0,5,0,NBA,35,1.6,61,6.3,14.2,SG,1.6,2005-06,6.3,7.9,DET
1,6.1,.411,14.8,1.8,.350,5.3,3.2,26,1.1,ackeral01,4.2,114,7.9,.395,20.0,1.3,.500,2.6,25,0,NBA,199,2.1,94,2.4,19.0,SG,1.3,2008-09,1.8,6.3,TOT
2,11.1,.571,19.4,0.0,.000,11.1,2.8,26,2.8,ackeral01,5.5,98,11.1,.364,30.4,2.8,.500,5.5,7,0,NBA,20,0.0,86,0.0,24.9,SG,5.5,2008-09,0.0,5.5,DET
3,5.5,.388,14.3,2.0,.438,4.7,3.2,26,0.9,ackeral01,4.1,115,7.6,.400,18.9,1.2,.500,2.3,18,0,NBA,179,2.3,95,2.6,18.3,SG,0.9,2008-09,2.0,6.4,LAC
0,4.6,.532,8.6,0.0,,0.0,1.8,25,1.1,acresma01,7.0,109,4.6,.532,8.6,3.0,.640,4.7,79,5,NBA,1151,4.5,113,8.4,12.2,C,1.2,1987-88,2.3,11.5,BOS
1,4.2,.478,8.7,0.1,1.000,0.1,1.5,26,0.5,acresma01,6.7,110,4.3,.482,8.8,2.0,.542,3.7,62,0,NBA,632,4.6,108,7.3,10.6,C,1.5,1988-89,1.8,11.3,BOS
2,3.7,.480,7.7,0.1,.750,0.1,1.8,27,0.7,acresma01,7.6,114,3.8,.484,7.8,2.3,.692,3.3,80,50,NBA,1691,4.2,110,6.8,9.9,C,1.0,1989-90,1.9,11.7,ORL
3,4.0,.512,7.8,0.0,.333,0.1,0.9,28,0.9,acresma01,8.0,109,4.0,.509,7.9,2.4,.653,3.7,68,0,NBA,1313,5.1,116,8.0,10.5,C,0.9,1990-91,1.5,13.2,ORL
4,4.1,.520,7.8,0.1,.333,0.2,1.2,29,0.8,acresma01,8.2,109,4.1,.517,8.0,2.7,.761,3.5,68,6,NBA,926,5.1,118,7.4,11.0,C,1.3,1991-92,1.7,13.3,ORL
5,4.6,.532,8.6,0.2,.500,0.4,0.9,30,1.1,acresma01,7.5,111,4.8,.531,9.0,2.0,.688,2.9,18,7,NBA,269,4.8,107,6.2,11.7,C,0.5,1992-93,2.4,12.3,TOT
6,2.2,.143,15.5,2.2,.500,4.4,0.0,30,0.0,acresma01,8.8,108,4.4,.222,19.9,2.2,.500,4.4,6,0,NBA,23,4.4,65,4.4,13.3,C,0.0,1992-93,4.4,13.3,HOU
7,4.8,.600,8.0,0.0,,0.0,1.0,30,1.2,acresma01,7.4,112,4.8,.600,8.0,2.0,.714,2.8,12,7,NBA,246,4.8,115,6.4,11.6,C,0.6,1992-93,2.2,12.2,WSB
0,6.4,.562,11.3,0.2,.500,0.3,1.7,22,2.3,acyqu01,7.3,105,6.5,.560,11.6,4.8,.816,5.9,29,0,NBA,342,4.7,120,8.2,18.0,PF,2.0,2012-13,2.6,12.0,TOR
1,3.7,.492,7.6,0.2,.267,0.9,1.7,23,1.6,acyqu01,8.7,107,4.0,.468,8.5,2.1,.660,3.2,63,0,NBA,847,4.3,109,7.3,10.3,SF,1.4,2013-14,1.8,13.0,TOT
2,3.4,.444,7.7,1.7,.400,4.3,3.4,23,2.6,acyqu01,8.6,98,5.1,.429,12.0,4.3,.625,6.9,7,0,NBA,61,4.3,118,6.9,16.3,SF,3.4,2013-14,1.7,12.9,TOR
3,3.8,.496,7.6,0.1,.200,0.6,1.6,23,1.5,acyqu01,8.7,107,3.9,.472,8.2,1.9,.667,2.9,56,0,NBA,786,4.3,109,7.4,9.8,SF,1.2,2013-14,1.8,13.0,SAC
4,5.5,.494,11.1,0.7,.300,2.5,2.8,24,0.9,acyqu01,9.1,109,6.2,.459,13.5,3.1,.784,4.0,68,22,NBA,1287,3.2,105,6.0,16.3,PF,1.1,2014-15,2.5,12.3,NYK
5,5.5,.606,9.0,1.0,.388,2.7,1.5,25,1.3,acyqu01,6.7,108,6.5,.556,11.7,2.7,.735,3.7,59,29,NBA,876,3.6,124,5.6,16.8,PF,1.6,2015-16,1.5,10.3,SAC
6,2.8,.413,6.8,3.2,.411,7.7,1.5,26,1.3,acyqu01,8.1,110,6.0,.412,14.6,3.9,.750,5.1,38,1,NBA,558,1.7,109,5.7,19.0,PF,1.2,2016-17,1.8,9.8,TOT
7,4.3,.400,10.8,1.1,.143,7.6,0.0,26,0.0,acyqu01,6.5,113,5.4,.294,18.4,2.2,.667,3.3,6,0,NBA,48,2.2,71,9.8,14.1,PF,0.0,2016-17,2.2,8.7,DAL
8,2.7,.414,6.5,3.3,.434,7.7,1.7,26,1.4,acyqu01,8.3,110,6.0,.425,14.2,4.0,.754,5.3,32,1,NBA,510,1.7,113,5.4,19.4,PF,1.3,2016-17,1.8,9.9,BRK
0,10.8,.469,22.9,,,,7.7,21,2.0,adamsal01,8.8,95,10.8,.469,22.9,4.5,.735,6.1,80,,NBA,2656,3.7,,4.7,26.0,C,2.1,1975-76,,12.4,PHO
1,10.3,.474,21.8,,,,6.4,22,1.7,adamsal01,9.3,94,10.3,.474,21.8,5.0,.754,6.6,72,,NBA,2278,3.6,,5.1,25.6,C,1.9,1976-77,,12.9,PHO
2,9.8,.485,20.1,,,,5.1,23,1.4,adamsal01,9.2,95,9.8,.485,20.1,4.8,.730,6.6,70,,NBA,1914,3.6,98,5.4,24.4,C,1.9,1977-78,5.3,12.7,PHO
3,10.6,.530,20.1,,,,6.7,24,1.2,adamsal01,9.1,100,10.6,.530,20.1,4.3,.799,5.4,77,,NBA,2364,4.1,106,4.6,25.6,C,2.1,1978-79,5.2,13.2,PHO
4,9.8,.533,18.4,0.0,.000,0.0,6.8,25,1.2,adamsal01,9.5,99,9.8,.531,18.5,4.0,.797,5.0,75,,NBA,2168,3.3,107,5.0,23.6,C,2.3,1979-80,4.6,12.9,PHO
5,10.2,.526,19.4,0.0,,0.0,7.7,26,1.5,adamsal01,8.7,96,10.2,.526,19.4,4.4,.768,5.8,75,,NBA,2054,3.5,108,5.0,24.9,C,2.4,1980-81,5.0,12.2,PHO
6,10.2,.494,20.7,0.0,.000,0.0,7.2,27,1.6,adamsal01,9.0,99,10.2,.494,20.7,3.7,.781,4.7,79,75,NBA,2393,2.8,106,5.4,24.1,C,2.3,1981-82,3.9,11.8,PHO
7,9.2,.487,18.9,0.0,.333,0.1,7.3,28,1.4,adamsal01,7.5,98,9.2,.486,18.9,3.5,.829,4.2,80,75,NBA,2447,3.1,102,5.5,21.9,C,2.2,1982-83,4.7,10.6,PHO
8,8.8,.465,18.8,0.0,.000,0.1,7.1,29,1.0,adamsal01,6.6,106,8.8,.462,19.0,4.3,.825,5.2,70,13,NBA,1452,3.8,107,6.4,21.8,C,2.4,1983-84,3.8,10.4,PHO
9,10.4,.520,20.1,0.0,,0.0,6.8,30,1.1,adamsal01,7.6,104,10.4,.520,20.1,5.5,.883,6.2,82,69,NBA,2136,3.4,111,5.6,26.4,PF,2.5,1984-85,4.3,11.0,PHO
10,7.8,.504,15.5,0.0,.000,0.0,7.4,31,1.1,adamsal01,7.5,105,7.8,.502,15.5,3.6,.783,4.6,78,45,NBA,2005,3.4,104,6.2,19.2,C,2.4,1985-86,4.7,10.9,PHO
11,8.7,.504,17.2,0.0,.000,0.0,6.2,32,1.0,adamsal01,6.9,109,8.7,.503,17.2,3.7,.788,4.7,68,40,NBA,1690,2.5,106,5.8,21.1,C,1.7,1986-87,3.9,9.4,PHO
12,7.2,.496,14.5,0.0,.500,0.1,5.3,33,1.2,adamsal01,7.1,109,7.2,.496,14.6,3.1,.844,3.7,82,25,NBA,1646,3.4,103,7.1,17.6,C,2.4,1987-88,4.0,10.5,PHO
0,5.9,.408,14.6,,,,2.8,26,0.2,adamsdo01,6.2,94,5.9,.408,14.6,3.0,.761,3.9,74,,NBA,2298,2.6,,4.7,14.9,SF,2.2,1973-74,,8.8,DET
1,4.7,.410,11.3,0.0,.000,0.0,3.6,27,0.6,adamsdo01,6.3,100,4.7,.409,11.4,1.7,.620,2.8,67,,TOT,1718,2.3,99,6.0,11.0,SF,2.3,1974-75,0.7,8.6,TOT
2,4.4,.403,10.9,,,,2.6,27,0.7,adamsdo01,6.3,98,4.4,.403,10.9,1.6,.577,2.7,51,,NBA,1376,2.2,,6.2,10.4,SF,2.4,1974-75,,8.5,DET
3,5.6,.433,12.9,0.0,.000,0.1,7.2,27,0.3,adamsdo01,6.2,107,5.6,.429,13.0,2.3,.773,2.9,16,,ABA,342,2.8,99,5.1,13.4,SF,1.7,1974-75,3.6,9.0,SSL
4,5.2,.396,13.2,0.0,.000,0.1,5.1,28,0.4,adamsdo01,5.6,102,5.2,.394,13.2,3.2,.736,4.4,76,,TOT,1429,2.6,98,6.5,13.7,SF,2.1,1975-76,1.6,8.2,TOT
5,6.2,.398,15.6,0.0,.000,0.1,5.5,28,0.4,adamsdo01,4.5,106,6.2,.394,15.7,3.9,.759,5.2,20,,ABA,725,2.8,98,5.0,16.4,SF,2.4,1975-76,3.3,7.3,SSL
6,4.2,.394,10.7,,,,4.6,28,0.4,adamsdo01,6.7,98,4.2,.394,10.7,2.5,.702,3.6,56,,NBA,704,2.4,,8.1,11.0,SF,1.9,1975-76,,9.1,BUF
7,5.7,.411,13.8,,,,3.9,29,0.4,adamsdo01,6.3,101,5.7,.411,13.8,3.4,.746,4.5,77,,NBA,1710,3.4,,5.3,14.7,SF,1.9,1976-77,,9.7,BUF
0,7.7,.505,15.3,0.0,.143,0.2,3.9,24,0.7,adamsge01,6.7,106,7.8,.500,15.5,2.4,.757,3.2,80,,ABA,1433,3.8,102,3.4,17.9,SF,1.3,1973-74,3.6,10.5,SDA
1,8.8,.499,17.5,0.0,.333,0.1,3.6,25,1.0,adamsge01,6.0,109,8.8,.498,17.6,2.1,.849,2.4,75,,ABA,1605,3.2,104,4.6,19.7,SF,1.2,1974-75,3.0,9.3,SDA
0,8.0,.560,14.2,0.0,.000,0.1,1.4,22,0.4,adamsha01,4.5,107,8.0,.556,14.3,2.5,.667,3.8,61,8,NBA,495,3.7,109,5.0,18.5,SG,1.8,2006-07,2.3,8.2,NJN
1,4.0,.308,13.0,0.0,,0.0,1.0,24,1.0,adamsha01,6.0,111,4.0,.308,13.0,3.0,.500,6.0,12,0,NBA,52,1.0,63,4.0,11.0,SG,1.0,2008-09,4.0,7.0,TOR
0,5.3,.410,12.8,2.1,.400,5.3,3.4,20,1.5,adamsjo01,4.0,100,7.4,.407,18.1,2.9,.609,4.8,30,0,NBA,248,1.9,96,5.1,19.8,SG,3.4,2014-15,2.9,5.9,MEM
1,6.9,.400,17.2,0.0,.000,3.4,10.3,21,0.0,adamsjo01,6.9,90,6.9,.333,20.6,10.3,.600,17.2,2,0,NBA,15,0.0,84,6.9,24.0,SG,10.3,2015-16,6.9,6.9,MEM
0,5.4,.390,13.9,0.0,.000,1.0,7.5,23,0.3,adamsmi01,1.4,109,5.4,.364,14.9,2.7,.667,4.1,18,0,NBA,139,0.7,86,3.0,13.5,PG,3.0,1985-86,3.7,2.0,SAC
