,3PAr,AST%,Age,BLK%,BPM,BR_player_id,DBPM,DRB%,DWS,FTr,G,Lg,MP,OBPM,ORB%,OWS,PER,Pos,STL%,Season,TOV%,TRB%,TS%,Tm,USG%,VORP,WS,WS/48
0,.000,5.8,22,2.5,-5.0,abdelal01,-0.7,23.4,0.5,.379,43,NBA,290,-4.2,10.4,0.0,13.1,PF,0.7,1990-91,14.0,17.0,.499,POR,22.1,-0.2,0.5,.079
1,.000,4.7,23,1.1,-3.9,abdelal01,-0.9,20.9,1.5,.280,71,NBA,934,-3.0,9.5,0.6,13.5,PF,1.3,1991-92,14.0,15.2,.533,POR,20.6,-0.5,2.1,.110
2,.002,3.0,24,1.2,-4.2,abdelal01,-1.9,18.1,1.3,.245,75,NBA,1311,-2.3,11.0,0.7,13.2,PF,1.0,1992-93,15.6,14.6,.551,TOT,20.5,-0.7,2.0,.074
3,.018,9.5,24,1.6,-4.3,abdelal01,-0.5,18.3,0.2,.286,12,NBA,159,-3.7,8.6,0.0,11.9,PF,1.9,1992-93,17.1,13.4,.508,MIL,20.5,-0.1,0.1,.035
4,.000,2.2,24,1.2,-4.1,abdelal01,-2.1,18.1,1.2,.240,63,NBA,1152,-2.1,11.3,0.7,13.4,PF,0.8,1992-93,15.4,14.8,.557,BOS,20.5,-0.6,1.9,.079
5,.000,2.7,25,1.2,-10.2,abdelal01,-3.1,24.2,0.1,.455,13,NBA,159,-7.1,8.5,-0.2,9.2,PF,0.6,1993-94,20.5,16.3,.485,BOS,22.6,-0.3,-0.1,-0.032
6,.009,5.0,26,1.8,-6.3,abdelal01,-1.7,17.4,0.7,.152,54,NBA,506,-4.6,8.7,-0.4,12.6,PF,1.5,1994-95,15.4,13.1,.519,TOT,25.6,-0.6,0.3,.027
7,.009,5.3,26,1.9,-5.0,abdelal01,-1.4,17.3,0.7,.159,51,NBA,476,-3.6,8.5,-0.1,14.1,PF,1.6,1994-95,14.5,13.0,.540,SAC,25.7,-0.4,0.6,.058
8,.000,0.0,26,0.0,-28.0,abdelal01,-6.9,19.6,0.0,.000,3,NBA,30,-21.1,11.6,-0.3,-12.5,PF,0.0,1994-95,31.3,15.5,.091,PHI,23.8,-0.2,-0.3,-0.466
0,,5.2,22,,,abdulza01,,,0.8,.290,49,NBA,945,,,-1.1,12.3,C,,1968-69,,,.407,TOT,,,-0.3,-0.016
1,,5.1,22,,,abdulza01,,,0.0,.163,20,NBA,108,,,-0.1,8.5,,,1968-69,,,.412,CIN,,,-0.1,-0.038
2,,5.3,22,,,abdulza01,,,0.8,.305,29,NBA,837,,,-1.0,12.8,C,,1968-69,,,.406,MIL,,,-0.2,-0.013
3,,4.5,23,,,abdulza01,,,2.0,.339,80,NBA,1637,,,0.0,12.4,PF,,1969-70,,,.473,MIL,,,2.0,.059
4,,4.6,24,,,abdulza01,,,0.8,.315,61,NBA,1276,,,1.0,16.1,C,,1970-71,,16.8,.489,SEA,,,1.8,.067
5,,10.0,25,,,abdulza01,,,1.6,.285,58,NBA,1780,,,0.3,15.9,C,,1971-72,,17.5,.472,SEA,,,1.9,.052
6,,7.4,26,,,abdulza01,,,0.8,.432,48,NBA,900,,,0.2,14.5,C,,1972-73,,15.8,.467,HOU,,,1.0,.051
7,,8.9,27,2.3,1.0,abdulza01,1.7,28.6,3.2,.328,79,NBA,2459,-0.7,11.4,3.3,15.9,C,1.5,1973-74,,20.1,.516,HOU,,1.8,6.5,.126
8,,8.2,28,2.8,-0.9,abdulza01,0.2,25.8,1.8,.377,65,NBA,1450,-1.1,11.8,1.9,17.1,C,1.2,1974-75,,18.8,.501,HOU,,0.4,3.7,.124
9,,9.7,29,3.6,0.0,abdulza01,1.1,21.8,0.3,.387,27,NBA,223,-1.1,13.5,0.2,16.4,C,1.6,1975-76,,17.6,.490,SEA,,0.1,0.6,.119
10,,5.0,30,2.3,-5.1,abdulza01,-2.7,25.5,0.2,.581,22,NBA,195,-2.4,21.1,0.1,16.3,C,0.7,1976-77,,23.3,.447,BUF,,-0.2,0.3,.078
11,,8.5,31,1.0,-4.3,abdulza01,-1.7,20.9,0.1,.383,16,NBA,158,-2.6,12.4,0.0,11.4,PF-C,0.9,1977-78,16.6,16.6,.449,TOT,21.1,-0.1,0.1,.033
12,,16.5,31,2.1,-3.7,abdulza01,1.4,37.3,0.1,.231,2,NBA,24,-5.2,26.0,-0.1,11.5,C,1.9,1977-78,17.3,31.8,.279,BOS,28.0,0.0,0.0,-0.062
13,,7.0,31,0.8,-4.4,abdulza01,-2.3,17.9,0.0,.426,14,NBA,134,-2.1,10.0,0.1,11.4,PF,0.7,1977-78,16.5,13.8,.493,HOU,19.9,-0.1,0.1,.050
0,,13.1,22,,,abdulka01,,,4.5,.410,82,NBA,3534,,,9.3,22.5,C,,1969-70,,,.552,MIL,,,13.8,.187
1,,12.2,23,,,abdulka01,,,5.3,.370,82,NBA,3288,,,17.0,29.0,C,,1970-71,,18.9,.606,MIL,,,22.3,.326
2,,16.1,24,,,abdulka01,,,7.1,.363,81,NBA,3583,,,18.3,29.9,C,,1971-72,,18.1,.603,MIL,,,25.4,.340
3,,17.9,25,,,abdulka01,,,7.5,.260,76,NBA,3254,,,14.4,28.5,C,,1972-73,,18.2,.580,MIL,,,21.9,.322
4,,16.1,26,4.0,8.5,abdulka01,3.6,23.9,7.9,.239,81,NBA,3548,4.9,8.8,10.6,24.4,C,1.4,1973-74,,16.9,.564,MIL,,9.4,18.4,.250
5,,16.7,27,4.0,8.0,abdulka01,2.2,26.4,4.8,.269,65,NBA,2747,5.9,7.6,8.1,26.4,C,1.1,1974-75,,17.3,.550,MIL,,7.0,12.9,.225
6,,19.4,28,4.9,10.2,abdulka01,4.0,30.5,7.2,.368,82,NBA,3379,6.2,8.0,9.8,27.2,C,1.6,1975-76,,19.6,.567,LAL,,10.5,17.0,.242
7,,16.8,29,4.4,10.8,abdulka01,3.0,27.2,5.9,.350,82,NBA,3016,7.7,9.2,11.9,27.8,C,1.5,1976-77,,18.4,.608,LAL,,9.7,17.8,.283
8,,18.3,30,4.1,9.0,abdulka01,3.6,26.8,4.4,.290,62,NBA,2265,5.5,8.7,7.7,29.2,C,2.1,1977-78,13.3,18.1,.589,LAL,27.0,6.3,12.1,.257
9,,18.9,31,5.0,7.8,abdulka01,3.9,26.7,5.6,.352,80,NBA,3157,3.9,7.6,8.8,25.5,C,1.1,1978-79,15.3,17.6,.612,LAL,23.3,7.8,14.4,.219
10,.001,16.5,32,4.6,6.7,abdulka01,2.7,22.2,5.3,.344,82,NBA,3143,4.0,7.2,9.5,25.3,C,1.2,1979-80,15.7,15.4,.639,LAL,24.1,6.8,14.8,.227
11,.001,13.6,33,4.0,5.3,abdulka01,1.4,21.5,4.6,.379,80,NBA,2976,3.9,7.6,9.6,25.5,C,0.9,1980-81,12.8,15.0,.616,LAL,26.3,5.4,14.3,.230
12,.002,11.9,34,4.1,4.3,abdulka01,1.4,19.1,3.9,.340,76,NBA,2677,2.9,7.3,6.9,23.4,C,1.1,1981-82,13.3,13.4,.608,LAL,25.6,4.2,10.7,.192
13,.002,10.8,35,3.5,3.8,abdulka01,0.3,17.6,2.9,.302,79,NBA,2554,3.6,7.6,8.0,23.6,C,1.1,1982-83,12.6,12.8,.619,LAL,24.6,3.8,10.9,.205
14,.001,11.5,36,2.9,2.8,abdulka01,0.4,16.8,3.1,.318,80,NBA,2622,2.4,7.8,5.9,21.3,C,1.0,1983-84,13.5,12.7,.608,LAL,25.1,3.2,8.9,.163
15,.001,13.1,37,3.3,4.9,abdulka01,1.3,18.2,3.6,.327,79,NBA,2630,3.6,7.7,7.6,22.9,C,1.1,1984-85,12.5,13.5,.628,LAL,24.3,4.6,11.2,.204
16,.001,15.7,38,2.7,4.5,abdulka01,0.8,14.2,3.2,.328,79,NBA,2629,3.7,6.0,7.6,22.7,C,1.2,1985-86,11.7,10.3,.603,LAL,26.6,4.3,10.8,.197
17,.003,11.6,39,2.2,1.6,abdulka01,0.4,15.8,3.0,.345,78,NBA,2441,1.2,7.4,4.5,17.9,C,0.9,1986-87,14.0,11.9,.597,LAL,22.1,2.2,7.5,.148
18,.001,8.4,40,2.2,-0.6,abdulka01,0.2,16.9,2.7,.298,80,NBA,2308,-0.8,6.1,2.6,15.8,C,1.0,1987-88,13.5,11.7,.570,LAL,21.4,0.8,5.3,.111
19,.005,6.1,41,2.9,-2.3,abdulka01,0.0,14.2,2.0,.250,74,NBA,1695,-2.3,7.3,0.9,12.9,C,1.1,1988-89,11.5,11.0,.511,LAL,20.1,-0.1,2.9,.082
0,.099,19.2,21,0.1,-6.1,abdulma02,-4.4,6.0,-0.3,.097,67,NBA,1505,-1.7,1.9,-0.7,12.2,PG,1.5,1990-91,9.5,3.8,.448,DEN,27.2,-1.6,-1.0,-0.031
1,.111,21.0,22,0.2,-5.2,abdulma02,-3.5,6.8,0.8,.128,81,NBA,1538,-1.7,1.5,-0.2,12.6,PG,1.4,1991-92,11.6,4.0,.469,DEN,26.7,-1.3,0.6,.018
2,.140,20.8,23,0.2,-1.0,abdulma02,-2.1,6.8,2.2,.165,81,NBA,2710,1.1,2.0,3.0,15.6,PG,1.5,1992-93,11.0,4.4,.515,DEN,25.5,0.7,5.1,.091
3,.104,24.1,24,0.2,-0.6,abdulma02,-2.1,5.8,2.4,.179,80,NBA,2617,1.6,1.2,4.4,16.7,PG,1.6,1993-94,9.9,3.6,.521,DEN,24.9,0.9,6.8,.125
4,.214,23.0,25,0.3,-0.6,abdulma02,-2.8,5.9,1.3,.155,73,NBA,2082,2.2,1.9,3.8,17.8,PG,1.9,1994-95,10.0,3.9,.543,DEN,25.8,0.7,5.0,.115
5,.324,34.7,26,0.1,1.1,abdulma02,-3.1,6.4,1.1,.164,57,NBA,2029,4.3,1.5,4.4,18.6,PG,1.6,1995-96,10.1,3.9,.535,DEN,25.1,1.6,5.5,.131
6,.266,15.8,27,0.2,-3.5,abdulma02,-3.4,5.9,0.7,.147,75,NBA,2131,-0.2,0.9,2.0,13.2,PG,1.4,1996-97,10.8,3.3,.524,SAC,23.2,-0.8,2.7,.060
7,.114,19.7,28,0.1,-7.1,abdulma02,-3.7,6.7,0.2,.059,31,NBA,530,-3.4,1.2,-0.5,10.5,PG,1.6,1997-98,6.4,3.9,.405,SAC,25.1,-0.7,-0.3,-0.025
8,.057,32.7,31,0.1,-4.5,abdulma02,-5.3,4.7,0.0,.118,41,NBA,486,0.8,1.2,0.7,16.7,PG,1.0,2000-01,9.1,2.9,.514,VAN,26.8,-0.3,0.7,.070
0,.053,8.9,23,0.9,-5.9,abdulta01,-1.7,8.6,0.6,.350,59,NBA,959,-4.2,5.0,-0.8,10.1,SG,1.9,1997-98,13.6,6.7,.456,SAC,22.1,-0.9,-0.2,-0.008
1,.052,6.5,24,0.8,-2.8,abdulta01,-0.4,9.9,0.9,.334,49,NBA,1205,-2.4,6.3,0.5,11.8,SG,2.1,1998-99,13.0,8.1,.486,SAC,19.0,-0.2,1.4,.058
2,.036,10.0,25,1.2,-1.5,abdulta01,0.1,13.1,1.8,.299,61,NBA,1578,-1.6,7.0,0.4,13.6,SG,1.8,1999-00,12.7,10.0,.477,TOT,22.5,0.2,2.2,.068
3,.041,9.7,25,0.9,-0.8,abdulta01,0.4,14.6,1.6,.293,46,NBA,1205,-1.3,7.0,0.4,14.4,SG,2.2,1999-00,13.0,10.8,.484,ORL,23.3,0.4,2.0,.082
4,.015,11.0,25,2.2,-3.8,abdulta01,-1.0,8.2,0.2,.321,15,NBA,373,-2.8,6.9,0.0,10.8,SG,0.8,1999-00,11.3,7.6,.448,DEN,19.7,-0.2,0.2,.023
5,.090,8.1,26,2.1,-5.9,abdulta01,0.0,11.8,0.3,.324,29,NBA,420,-5.9,3.6,-0.7,5.8,SG,1.7,2000-01,21.1,7.6,.438,DEN,17.1,-0.4,-0.4,-0.049
6,.014,8.8,27,1.7,-3.2,abdulta01,0.3,11.6,0.3,.224,24,NBA,441,-3.5,10.1,-0.3,9.8,SG,2.4,2001-02,14.3,10.8,.418,TOT,19.1,-0.1,0.0,-0.003
7,.014,8.7,27,1.6,-3.2,abdulta01,0.0,11.2,0.3,.221,20,NBA,417,-3.2,10.2,-0.2,10.3,SG,2.3,2001-02,13.1,10.7,.424,DEN,19.7,-0.1,0.0,.005
8,.000,10.4,27,3.0,-3.0,abdulta01,6.1,18.2,0.0,.500,4,NBA,24,-9.1,9.4,-0.1,0.3,SG,4.3,2001-02,55.1,13.9,.000,DAL,10.2,0.0,-0.1,-0.128
9,.017,15.4,28,1.1,-0.5,abdulta01,0.7,14.0,0.2,.103,14,NBA,204,-1.2,7.6,0.2,12.4,SG,1.5,2002-03,10.3,10.8,.470,DAL,15.0,0.1,0.4,.104
0,.022,12.1,20,2.2,-2.0,abdursh01,-1.2,14.2,1.2,.428,80,NBA,2802,-0.8,8.8,1.7,17.4,PF,1.5,1996-97,13.5,11.5,.518,VAN,27.6,0.0,2.9,.049
1,.038,13.5,21,1.8,1.2,abdursh01,-1.4,13.8,0.6,.475,82,NBA,2950,2.6,8.9,6.3,21.1,SF,1.6,1997-98,13.6,11.3,.562,VAN,28.4,2.3,6.9,.113
2,.040,17.6,22,2.0,1.7,abdursh01,-0.3,15.4,0.9,.492,50,NBA,2021,1.9,6.5,3.7,20.7,SF,1.8,1998-99,14.6,10.9,.530,VAN,28.9,1.8,4.6,.108
3,.075,15.5,23,1.9,2.3,abdursh01,0.5,22.7,2.6,.431,82,NBA,3223,1.8,8.0,6.2,20.2,SF,1.5,1999-00,14.1,15.3,.547,VAN,25.0,3.5,8.8,.132
4,.050,14.3,24,1.6,2.2,abdursh01,0.9,19.6,2.9,.415,81,NBA,3241,1.3,6.2,5.6,19.1,SF,1.5,2000-01,13.2,13.0,.549,VAN,24.6,3.5,8.5,.126
5,.054,15.1,25,2.0,2.0,abdursh01,0.8,19.2,3.1,.403,77,NBA,2980,1.2,7.6,4.1,19.8,PF,1.7,2001-02,14.1,13.3,.536,ATL,27.0,3.0,7.2,.116
6,.051,14.7,26,0.9,1.7,abdursh01,-0.4,17.8,2.3,.457,81,NBA,3087,2.1,6.7,7.4,19.9,PF,1.5,2002-03,13.0,12.5,.566,ATL,24.2,2.8,9.7,.151
7,.032,12.3,27,1.0,0.3,abdursh01,-1.0,19.0,2.0,.407,85,NBA,2684,1.3,8.2,6.1,19.9,PF,1.4,2003-04,12.9,13.6,.557,TOT,24.4,1.6,8.1,.145
8,.029,12.6,27,0.7,1.0,abdursh01,-1.1,20.3,1.3,.423,53,NBA,1956,2.1,8.2,5.3,21.2,PF,1.2,2003-04,12.3,14.3,.568,ATL,24.8,1.5,6.6,.163
9,.042,11.5,27,1.8,-1.4,abdursh01,-0.5,15.5,0.6,.360,32,NBA,728,-0.9,7.9,0.9,16.5,PF,1.8,2003-04,14.8,11.8,.522,POR,23.3,0.1,1.5,.098
10,.058,10.7,28,1.0,0.8,abdursh01,-0.5,16.0,1.5,.379,54,NBA,1867,1.4,7.9,3.9,18.7,PF,1.4,2004-05,13.0,12.1,.581,POR,22.1,1.3,5.4,.139
11,.035,13.2,29,1.6,0.9,abdursh01,0.4,14.8,2.2,.440,72,NBA,1961,0.4,6.4,4.0,17.2,PF,1.3,2005-06,12.5,10.6,.588,SAC,20.1,1.4,6.2,.152
12,.031,9.2,30,1.5,-2.1,abdursh01,0.0,16.4,1.7,.358,80,NBA,2015,-2.1,7.0,1.1,13.1,C,1.3,2006-07,13.3,11.6,.524,SAC,19.5,-0.1,2.8,.067
13,.000,11.1,31,0.0,-5.7,abdursh01,-2.1,9.1,0.0,.286,6,NBA,51,-3.6,14.2,0.0,5.5,PF,1.0,2007-08,6.0,11.6,.317,SAC,14.7,0.0,0.0,-0.005
0,,8.9,22,0.4,-0.4,abernto01,0.3,12.9,1.3,.384,70,NBA,1378,-0.7,8.5,1.8,12.7,SF,1.6,1976-77,,10.8,.538,LAL,,0.5,3.1,.110
1,,9.7,23,0.8,1.5,abernto01,0.3,12.0,1.3,.275,73,NBA,1317,1.3,8.5,2.9,15.6,SF,1.9,1977-78,9.9,10.3,.544,LAL,14.9,1.2,4.1,.150
2,,8.4,24,0.6,0.5,abernto01,0.4,12.6,1.3,.275,70,NBA,1219,0.1,6.5,2.3,13.6,PF,1.5,1978-79,7.7,9.5,.550,GSW,13.8,0.8,3.7,.144
3,.003,9.3,25,0.6,-1.6,abernto01,-0.1,12.0,0.8,.258,67,NBA,1222,-1.5,5.4,1.2,11.0,PF,1.4,1979-80,9.9,8.6,.511,GSW,13.3,0.1,2.0,.080
4,.017,8.0,26,0.6,-3.2,abernto01,-0.7,10.6,0.2,.373,39,NBA,298,-2.6,7.1,0.2,8.0,SF,1.1,1980-81,10.4,8.8,.459,TOT,10.3,-0.1,0.4,.062
5,.000,2.9,26,0.0,-6.2,abernto01,-0.2,20.2,0.0,1.000,10,NBA,39,-6.0,2.8,0.0,3.2,SF,1.2,1980-81,31.6,11.4,.463,GSW,6.4,0.0,0.0,-0.004
6,.018,8.8,26,0.7,-2.8,abernto01,-0.8,9.1,0.2,.339,29,NBA,259,-2.0,7.8,0.2,8.7,SF,1.1,1980-81,8.5,8.4,.458,IND,10.9,-0.1,0.4,.072
0,,,24,,,ablefo01,,,0.0,.000,1,NBA,1,,,0.0,-41.1,,,1956-57,,,.000,SYR,,,0.0,-2.062
0,,,27,,,abramjo01,,,-0.6,.213,47,BAA,,,,-1.1,,,,1946-47,,,.289,PIT,,,-1.7,
1,,,28,,,abramjo01,,,0.1,.333,9,BAA,,,,-0.4,,,,1947-48,,,.125,TOT,,,-0.3,
2,,,28,,,abramjo01,,,0.1,.400,4,BAA,,,,-0.1,,,,1947-48,,,.170,STB,,,-0.1,
3,,,28,,,abramjo01,,,0.0,.273,5,BAA,,,,-0.2,,,,1947-48,,,.081,BLB,,,-0.2,
0,.724,5.5,23,0.6,-2.5,abrinal01,-2.2,7.1,0.9,.144,68,NBA,1055,-0.3,1.9,1.2,10.1,SG,1.7,2016-17,8.3,4.5,.560,OKC,15.9,-0.1,2.1,.096
0,.313,17.9,23,0.0,-12.3,ackeral01,-1.9,13.7,0.0,.000,5,NBA,35,-10.4,3.4,-0.2,-2.4,SG,1.6,2005-06,20.0,8.5,.281,DET,27.2,-0.1,-0.2,-0.230
1,.263,10.2,26,1.5,-6.0,ackeral01,-2.4,9.6,0.1,.132,25,NBA,199,-3.6,4.5,-0.1,10.4,SG,1.3,2008-09,8.0,7.0,.448,TOT,20.1,-0.2,0.0,-0.011
2,.364,9.1,26,3.9,-2.3,ackeral01,1.0,12.0,0.0,.182,7,NBA,20,-3.2,0.0,0.0,16.0,SG,5.5,2008-09,0.0,5.9,.379,DET,28.3,0.0,0.0,.009
3,.246,10.3,26,1.2,-6.4,ackeral01,-2.8,9.3,0.0,.123,18,NBA,179,-3.6,5.0,-0.1,9.8,SG,0.9,2008-09,9.3,7.1,.460,LAC,19.2,-0.2,0.0,-0.013
0,,,23,,,ackerdo01,,,0.1,.444,28,NBA,220,,,-0.7,1.0,PG,,1953-54,,,.285,NYK,,,-0.6,-0.123
0,.000,4.5,25,1.3,-1.0,acresma01,0.0,15.9,1.0,.547,79,NBA,1151,-1.0,11.6,1.1,9.3,C,1.2,1987-88,17.7,13.9,.570,BOS,11.4,0.3,2.2,.090
1,.009,3.7,26,0.6,-2.5,acresma01,-0.4,15.6,0.5,.421,62,NBA,632,-2.1,10.9,0.4,8.2,C,1.5,1988-89,14.5,13.3,.507,BOS,10.4,-0.1,0.9,.066
2,.014,5.0,27,0.8,-2.0,acresma01,0.2,17.8,0.6,.421,80,NBA,1691,-2.2,9.3,1.1,8.3,C,1.0,1989-90,17.2,13.4,.536,ORL,9.4,0.0,1.6,.047
3,.014,2.5,28,1.1,-1.8,acresma01,0.3,18.7,1.1,.472,68,NBA,1313,-2.1,11.3,1.4,9.2,C,0.9,1990-91,14.0,14.9,.551,ORL,9.3,0.1,2.5,.090
4,.020,3.2,29,1.0,-2.2,acresma01,0.1,19.2,0.8,.444,68,NBA,926,-2.3,11.4,1.1,10.1,C,1.3,1991-92,15.5,15.2,.576,ORL,9.6,-0.1,1.9,.097
5,.041,2.5,30,1.4,-4.9,acresma01,-1.3,17.4,0.2,.327,18,NBA,269,-3.5,10.8,0.1,8.9,C,0.5,1992-93,18.8,14.0,.571,TOT,11.0,-0.2,0.3,.056
6,.222,0.0,30,0.0,-19.9,acresma01,-7.3,18.6,0.0,.222,6,NBA,23,-12.6,10.5,-0.1,-0.6,C,0.0,1992-93,16.8,14.8,.304,HOU,22.8,-0.1,-0.1,-0.165
7,.000,2.8,30,1.5,-3.5,acresma01,-0.8,17.3,0.1,.350,12,NBA,246,-2.7,10.8,0.2,9.8,C,0.6,1992-93,19.2,14.0,.628,WSB,9.9,-0.1,0.4,.077
0,,7.5,26,,,actonbu01,,,0.2,.392,23,NBA,195,,,-0.1,9.5,SF,,1967-68,,,.444,SDR,,,0.1,.021
0,.027,5.2,22,3.5,0.7,acyqu01,1.3,16.6,0.4,.507,29,NBA,342,-0.6,10.3,0.7,15.9,PF,2.0,2012-13,15.6,13.4,.632,TOR,14.7,0.2,1.1,.157
1,.106,4.9,23,2.5,-1.1,acyqu01,1.4,19.5,0.9,.376,63,NBA,847,-2.5,9.5,0.6,10.1,SF,1.4,2013-14,15.4,14.4,.520,TOT,10.1,0.2,1.5,.086
2,.357,10.1,23,3.9,4.1,acyqu01,3.7,19.2,0.1,.571,7,NBA,61,0.5,9.5,0.1,17.2,SF,3.4,2013-14,10.2,14.3,.542,TOR,14.5,0.1,0.2,.188
3,.079,4.4,23,2.4,-1.5,acyqu01,1.2,19.5,0.7,.354,56,NBA,786,-2.8,9.5,0.5,9.6,SF,1.2,2013-14,16.0,14.4,.518,SAC,9.8,0.1,1.3,.078
4,.181,8.7,24,1.4,-3.1,acyqu01,-0.8,20.5,0.7,.293,68,NBA,1287,-2.3,6.9,1.0,11.9,PF,1.1,2014-15,13.8,13.5,.533,NYK,15.5,-0.3,1.7,.063
5,.229,4.4,25,2.2,0.2,acyqu01,0.0,15.1,0.7,.318,59,NBA,876,0.2,8.1,1.8,14.7,PF,1.6,2015-16,10.0,11.6,.629,SAC,13.1,0.5,2.5,.137
6,.529,4.9,26,2.0,-3.0,acyqu01,-1.2,18.0,0.5,.353,38,NBA,558,-1.8,3.9,0.5,11.8,PF,1.2,2016-17,9.7,11.0,.565,TOT,16.8,-0.1,0.9,.082
7,.412,0.0,26,0.0,-16.2,acyqu01,-6.0,15.2,0.0,.176,6,NBA,48,-10.1,4.6,-0.2,-1.4,PF,0.0,2016-17,9.8,9.7,.355,DAL,20.0,-0.2,-0.1,-0.133
8,.542,5.4,26,2.2,-1.8,acyqu01,-0.7,18.2,0.5,.373,32,NBA,510,-1.1,3.8,0.6,13.1,PF,1.3,2016-17,9.6,11.1,.587,BRK,16.5,0.0,1.1,.102
0,,27.2,21,2.4,6.7,adamsal01,2.4,20.7,3.9,.265,80,NBA,2656,4.3,8.9,3.3,21.7,C,2.1,1975-76,,14.9,.507,PHO,,5.8,7.2,.130
1,,22.3,22,2.1,5.7,adamsal01,2.6,22.3,4.0,.303,72,NBA,2278,3.1,8.5,2.3,20.2,C,1.9,1976-77,,15.4,.519,PHO,,4.4,6.3,.134
2,,16.4,23,1.7,1.8,adamsal01,1.8,22.2,3.4,.327,70,NBA,1914,0.0,8.4,1.5,17.7,C,1.9,1977-78,18.6,15.2,.528,PHO,24.5,1.9,4.9,.123
3,,20.8,24,1.4,4.8,adamsal01,2.3,22.4,3.7,.269,77,NBA,2364,2.5,10.5,3.9,20.4,C,2.1,1978-79,18.9,16.6,.570,PHO,24.1,4.1,7.6,.154
4,.002,21.6,25,1.4,4.4,adamsal01,2.8,22.4,3.9,.270,75,NBA,2168,1.6,8.2,3.1,19.2,C,2.3,1979-80,18.2,15.4,.571,PHO,21.9,3.5,7.0,.155
5,.000,24.5,26,1.9,5.3,adamsal01,3.3,20.5,4.5,.298,75,NBA,2054,2.0,8.6,3.3,20.3,C,2.4,1980-81,18.7,14.7,.567,PHO,23.0,3.8,7.7,.180
6,.001,22.1,27,1.9,3.7,adamsal01,2.9,20.2,4.7,.227,79,NBA,2393,0.9,6.6,2.5,18.6,C,2.3,1981-82,14.8,13.6,.529,PHO,22.8,3.5,7.2,.144
7,.003,21.8,28,1.7,3.2,adamsal01,2.7,16.7,4.5,.221,80,NBA,2447,0.6,7.6,2.0,16.8,C,2.2,1982-83,18.4,12.4,.527,PHO,22.0,3.2,6.5,.128
8,.007,20.3,29,1.2,2.0,adamsal01,1.3,16.3,1.8,.275,70,NBA,1452,0.7,9.5,1.5,16.6,C,2.4,1983-84,15.2,12.9,.513,PHO,21.7,1.5,3.3,.109
9,.000,21.8,30,1.3,4.4,adamsal01,2.1,18.1,3.3,.309,82,NBA,2136,2.3,8.2,3.5,19.8,PF,2.5,1984-85,15.9,13.3,.578,PHO,23.6,3.5,6.8,.152
10,.003,22.5,31,1.3,2.4,adamsal01,2.3,18.1,2.7,.299,78,NBA,2005,0.1,8.9,1.2,15.3,C,2.4,1985-86,21.1,13.7,.547,PHO,19.4,2.2,3.9,.094
11,.002,18.4,32,1.3,0.3,adamsal01,0.7,16.1,1.6,.275,68,NBA,1690,-0.4,6.2,1.2,14.6,C,1.7,1986-87,16.7,11.2,.546,PHO,20.0,1.0,2.8,.079
12,.004,14.9,33,1.4,0.3,adamsal01,1.5,17.0,1.6,.253,82,NBA,1646,-1.2,8.0,0.6,13.1,C,2.4,1987-88,19.9,12.5,.543,PHO,17.4,1.0,2.2,.064
0,,9.9,23,,,adamsdo01,,,3.8,.222,82,NBA,2374,,,-0.9,10.8,SF,,1970-71,,10.7,.446,SDR,,,2.9,.059
1,,9.2,24,,,adamsdo01,,,1.3,.345,73,NBA,2071,,,-0.7,11.5,SF,,1971-72,,11.8,.452,TOT,,,0.7,.015
2,,9.6,24,,,adamsdo01,,,0.1,.105,3,NBA,41,,,-0.2,4.5,SF,,1971-72,,8.8,.327,HOU,,,-0.1,-0.116
3,,9.2,24,,,adamsdo01,,,1.3,.350,70,NBA,2030,,,-0.5,11.6,SF,,1971-72,,11.9,.455,ATL,,,0.8,.018
4,,7.9,25,,,adamsdo01,,,1.5,.271,74,NBA,1874,,,-0.6,10.6,SF,,1972-73,,11.4,.445,TOT,,,0.9,.024
5,,7.9,25,,,adamsdo01,,,0.1,.211,4,NBA,76,,,-0.4,3.9,SF,,1972-73,,13.8,.277,ATL,,,-0.3,-0.219
6,,7.9,25,,,adamsdo01,,,1.5,.275,70,NBA,1798,,,-0.2,10.9,SF,,1972-73,,11.3,.454,DET,,,1.3,.034
7,,8.3,26,0.3,-1.1,adamsdo01,1.5,14.1,3.5,.271,74,NBA,2298,-2.6,6.0,0.1,10.9,SF,2.2,1973-74,,10.0,.457,DET,,0.5,3.6,.076
8,.002,9.8,27,0.7,-2.7,adamsdo01,1.0,14.3,1.5,.242,67,TOT,1718,-3.6,5.3,-0.7,8.9,SF,2.3,1974-75,20.0,9.8,.438,TOT,14.9,-0.3,0.8,.023
9,,7.3,27,0.8,-2.7,adamsdo01,1.3,14.3,1.3,.248,51,NBA,1376,-4.0,5.1,-0.8,8.4,SF,2.4,1974-75,,9.7,.428,DET,,-0.2,0.5,.017
10,.010,19.5,27,0.3,-2.5,adamsdo01,-0.3,14.0,0.3,.224,16,ABA,342,-2.2,6.0,0.1,11.0,SF,1.7,1974-75,20.0,9.9,.469,SSL,14.9,0.0,0.3,.049
11,.005,14.3,28,0.5,-2.1,adamsdo01,0.4,12.5,1.4,.333,76,TOT,1429,-2.5,5.9,-0.3,10.3,SF,2.1,1975-76,15.3,9.2,.451,TOT,17.9,0.0,1.1,.037
