Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,PER,FGA,MP
103,David Robinson*,1995-96,30,SAS,NBA,82,82,36.8,8.7,16.8,8.6,16.7,0.0,0.1,7.6,10.0,3.9,8.3,12.2,3.0,1.4,3.3,2.3,3.2,25.0,.516,.517,.333,.517,.761,.589,29.4,1378,3019
104,Kevin Durant,2010-11,22,OKC,NBA,78,78,38.9,9.1,19.7,7.3,14.4,1.9,5.3,7.6,8.7,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7,.462,.504,.350,.509,.880,.589,23.6,1538,3038
105,Kevin Garnett,2005-06,29,MIN,NBA,76,76,38.9,8.2,15.7,8.1,15.3,0.1,0.4,5.2,6.4,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,.526,.532,.267,.529,.810,.589,26.8,1191,2957
106,Dirk Nowitzki,2005-06,27,DAL,NBA,81,81,38.1,9.3,19.3,7.9,16.0,1.4,3.3,6.7,7.4,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,.480,.496,.406,.515,.901,.589,28.1,1564,3089
107,Pau Gasol,2010-11,30,LAL,NBA,82,82,37.0,7.2,13.7,7.2,13.6,0.0,0.0,4.3,5.2,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8,.529,.530,.333,.530,.823,.589,23.3,1120,3037
108,Tony Parker,2012-13,30,SAS,NBA,66,66,32.9,7.9,15.1,7.5,14.0,0.4,1.0,4.2,5.0,0.3,2.7,3.0,7.6,0.8,0.1,2.6,1.4,20.3,.522,.534,.353,.534,.845,.588,23.0,995,2174
109,Carlos Boozer,2006-07,25,UTA,NBA,74,74,34.6,8.7,15.6,8.7,15.6,0.0,0.0,3.4,5.0,3.2,8.5,11.7,3.0,0.9,0.3,2.6,2.9,20.9,.561,.561,,.561,.685,.588,24.1,1154,2557
110,Chris Bosh,2007-08,23,TOR,NBA,67,67,36.2,7.6,15.3,7.4,15.0,0.1,0.4,7.0,8.3,2.6,6.1,8.7,2.6,0.9,1.0,2.3,2.3,22.3,.494,.496,.400,.499,.844,.588,23.8,1027,2425
111,Shaquille O'Neal,1994-95,22,ORL,NBA,79,79,37.0,11.8,20.2,11.8,20.1,0.0,0.1,5.8,10.8,4.2,7.3,11.4,2.7,0.9,2.4,2.6,3.3,29.3,.583,.585,.000,.583,.533,.588,28.6,1594,2923
112,Kevin Garnett,2007-08,31,BOS,NBA,71,71,32.8,7.5,13.9,7.5,13.8,0.0,0.2,3.8,4.7,1.9,7.3,9.2,3.4,1.4,1.3,1.9,2.3,18.8,.539,.545,.000,.539,.801,.588,25.3,990,2328
113,George Gervin*,1979-80,27,SAS,NBA,78,,37.6,13.1,24.9,12.7,23.6,0.4,1.3,6.5,7.6,2.0,3.2,5.2,2.6,1.4,1.0,3.3,2.7,33.1,.528,.540,.314,.536,.852,.587,24.0,1940,2934
114,Elton Brand,2001-02,22,LAC,NBA,80,80,37.8,6.7,12.6,6.7,12.6,0.0,0.0,4.9,6.6,5.0,6.6,11.6,2.4,1.0,2.0,2.2,3.2,18.2,.527,.527,,.527,.742,.586,23.6,1010,3020
115,Chris Bosh,2005-06,21,TOR,NBA,70,70,39.3,7.8,15.5,7.8,15.3,0.0,0.2,6.8,8.3,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3.0,22.5,.505,.511,.000,.505,.816,.585,23.2,1087,2751
116,Charles Barkley*,1995-96,32,PHO,NBA,71,71,37.1,8.2,16.3,7.5,13.9,0.7,2.5,6.2,8.0,3.4,8.1,11.6,3.7,1.6,0.8,3.1,2.9,23.2,.500,.539,.280,.521,.777,.585,24.8,1160,2632
117,Larry Bird*,1984-85,28,BOS,NBA,80,77,39.5,11.5,22.0,10.8,20.4,0.7,1.6,5.0,5.7,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7,.522,.529,.427,.538,.882,.585,26.5,1760,3161
118,Moses Malone*,1980-81,25,HOU,NBA,80,,40.6,10.1,19.3,10.1,19.3,0.0,0.0,7.6,10.1,5.9,8.8,14.8,1.8,1.0,1.9,3.9,2.8,27.8,.522,.522,.333,.522,.757,.585,25.1,1545,3245
119,Dirk Nowitzki,2007-08,29,DAL,NBA,77,77,36.0,8.2,17.1,7.2,14.2,1.0,2.9,6.2,7.1,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6,.479,.504,.359,.510,.879,.585,24.6,1314,2769
120,Blake Griffin,2013-14,24,LAC,NBA,80,80,35.8,9.0,17.0,8.8,16.4,0.2,0.6,6.0,8.4,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1,.528,.537,.273,.533,.715,.583,23.9,1359,2863
121,Shaquille O'Neal,2004-05,32,MIA,NBA,73,73,34.1,9.0,15.0,9.0,15.0,0.0,0.0,4.8,10.5,3.5,6.9,10.4,2.7,0.5,2.3,2.8,3.6,22.9,.601,.601,,.601,.461,.583,27.0,1095,2492
122,Michael Jordan*,1995-96,32,CHI,NBA,82,82,37.7,11.2,22.6,9.8,19.4,1.4,3.2,6.7,8.0,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,.495,.506,.427,.525,.834,.582,29.4,1850,3090
123,Karl Malone*,1999-00,36,UTA,NBA,82,82,35.9,9.2,18.0,9.1,17.9,0.0,0.1,7.2,9.0,2.1,7.4,9.5,3.7,1.0,0.9,2.8,2.8,25.5,.509,.511,.250,.510,.797,.582,27.1,1476,2947
124,Anthony Davis,2013-14,20,NOP,NBA,67,66,35.2,7.8,15.0,7.8,14.9,0.0,0.1,5.2,6.6,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,20.8,.519,.522,.222,.520,.791,.582,26.5,1005,2358
125,Paul Pierce,2005-06,28,BOS,NBA,79,79,39.0,8.7,18.5,7.3,14.5,1.4,4.0,7.9,10.3,1.0,5.7,6.7,4.7,1.4,0.4,3.5,2.8,26.8,.471,.503,.354,.509,.772,.582,23.6,1462,3084
126,Magic Johnson*,1987-88,28,LAL,NBA,72,70,36.6,6.8,13.8,6.7,13.1,0.2,0.8,5.8,6.8,1.2,5.0,6.2,11.9,1.6,0.2,3.7,2.0,19.6,.492,.510,.196,.497,.853,.581,23.1,996,2637
127,Dirk Nowitzki,2002-03,24,DAL,NBA,80,80,39.0,8.6,18.6,6.8,13.7,1.9,4.9,6.0,6.9,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1,.463,.493,.379,.513,.881,.581,25.6,1489,3117
128,Gilbert Arenas,2005-06,24,WAS,NBA,80,80,42.3,9.3,20.9,6.8,14.1,2.5,6.8,8.2,10.0,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3,.447,.485,.369,.507,.820,.581,23.8,1668,3384
129,Dwyane Wade,2010-11,29,MIA,NBA,76,76,37.1,9.1,18.2,8.3,15.5,0.8,2.7,6.5,8.6,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5,.500,.534,.306,.523,.758,.581,25.6,1384,2823
130,Elton Brand,2006-07,27,LAC,NBA,80,80,38.5,8.1,15.1,8.1,15.1,0.0,0.0,4.4,5.8,3.4,6.0,9.3,2.9,1.0,2.2,2.5,3.0,20.5,.533,.532,1.000,.533,.761,.581,23.1,1211,3077
131,David Robinson*,1997-98,32,SAS,NBA,73,73,33.7,7.5,14.6,7.4,14.5,0.0,0.1,6.6,9.0,3.3,7.3,10.6,2.7,0.9,2.6,2.8,2.8,21.6,.511,.512,.250,.511,.735,.581,27.8,1065,2457
