PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
"Aron Baynes, DET",74,14.9,0.555,9.5,11.4,17.9,12.4,22.8,17.4,18.10,123.8,4.1
"Clint Capela, HOU",71,19.2,0.552,7.9,10.2,15.2,14.4,22.1,18.2,18.06,133.5,4.5
"Tyreke Evans, NO",25,30.6,0.534,27.7,12.3,25.0,2.8,16.3,9.3,18.04,86.1,2.9
"Manu Ginobili, SA",54,19.5,0.576,23.3,13.2,23.3,2.7,11.9,7.5,17.99,117.8,3.9
"Kristaps Porzingis, NY",72,28.4,0.518,7.8,10.0,22.9,7.1,20.8,14.1,17.87,194.6,6.5
"Louis Williams, LAL",67,28.5,0.584,14.5,9.3,21.9,1.7,8.1,4.8,17.84,208.9,7.0
"Amar'e Stoudemire, MIA",46,14.9,0.595,9.2,14.3,16.5,10.6,22.8,16.9,17.79,64.5,2.1
"Jeff Withey, UTAH",46,13.3,0.575,8.6,12.2,14.3,10.2,20.0,15.1,17.78,65.4,2.2
"Marc Gasol, MEM",52,34.4,0.528,17.4,10.5,22.9,3.6,20.2,11.6,17.76,191.4,6.4
"Thaddeus Young, BKN",73,33.0,0.533,10.4,10.4,20.4,8.2,22.9,15.5,17.69,222.2,7.4
"Jeff Teague, ATL",73,28.3,0.542,26.3,11.9,26.0,1.8,8.7,5.3,17.66,205.6,6.9
"Robin Lopez, NY",76,26.9,0.584,11.4,13.8,16.4,13.1,16.3,14.8,17.65,214.6,7.2
"C.J. McCollum, POR",74,34.8,0.537,16.4,9.2,26.5,1.8,8.5,5.1,17.51,269.5,9.0
"Tim Duncan, SA",56,24.9,0.534,22.6,12.1,17.0,8.8,24.4,16.9,17.49,143.6,4.8
"David West, SA",72,17.4,0.576,20.1,10.7,17.7,6.0,19.1,12.8,17.45,111.1,3.7
"Brandon Bass, LAL",66,20.3,0.619,14.9,8.4,13.4,8.1,15.0,11.4,17.44,119.0,4.0
"J.J. Redick, LAC",70,28.3,0.628,9.2,6.9,20.8,0.5,6.5,3.5,17.42,204.5,6.8
"Ryan Anderson, NO",66,30.4,0.546,6.1,7.5,22.6,6.9,15.1,10.9,17.39,176.4,5.9
"Derrick Williams, NY",74,17.2,0.543,9.3,7.3,22.1,3.8,18.9,11.4,17.37,111.3,3.7
"Kyle O'Quinn, NY",59,11.3,0.524,16.9,14.8,20.6,10.5,23.9,17.3,17.35,58.1,1.9
"Mario Chalmers, MIA/MEM",61,22.5,0.561,25.6,12.2,18.1,1.9,11.4,6.5,17.35,0.0,0.0
"Rudy Gobert, UTAH",55,32.1,0.576,13.5,16.6,13.6,12.3,28.1,20.2,17.27,175.8,5.9
"Jahlil Okafor, PHI",53,30.0,0.536,6.2,11.8,24.9,8.1,17.7,12.8,17.26,158.2,5.3
"Miles Plumlee, MIL",54,13.3,0.621,5.1,14.6,13.8,12.7,16.9,14.8,17.16,70.4,2.3
"Al Jefferson, CHA",40,23.4,0.496,10.2,5.1,21.9,5.4,23.3,14.3,17.11,91.0,3.0
"Aaron Gordon, ORL",74,23.6,0.545,14.9,8.1,16.3,9.0,21.5,15.2,17.00,143.3,4.8
"Jared Sullinger, BOS",74,24.1,0.476,15.9,9.2,21.0,10.9,27.4,19.0,16.91,167.7,5.6
"Gorgui Dieng, MIN",75,27.3,0.598,15.0,14.9,15.7,8.3,22.4,15.4,16.90,192.9,6.4
"Victor Oladipo, ORL",68,32.9,0.535,19.0,10.2,22.4,2.2,14.3,8.1,16.88,212.8,7.1
"Dwight Powell, DAL",64,15.3,0.557,10.0,9.1,17.0,9.3,21.0,15.2,16.87,78.2,2.6
