Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP
190,Wilt Chamberlain*,1964-65,28,TOT,NBA,73,,45.2,14.6,28.5,14.6,28.5,,,5.6,12.1,,,22.9,3.4,,,,2.0,34.7,.510,.510,,.510,.464,.513,3301
191,John Havlicek*,1970-71,30,BOS,NBA,81,,45.4,11.0,24.5,11.0,24.5,,,6.8,8.4,,,9.0,7.5,,,,2.5,28.9,.450,.450,,.450,.818,.513,3678
192,John Havlicek*,1971-72,31,BOS,NBA,82,,45.1,10.9,23.9,10.9,23.9,,,5.6,6.7,,,8.2,7.5,,,,2.2,27.5,.458,.458,,.458,.834,.512,3698
193,Darrell Griffith,1984-85,26,UTA,NBA,78,78,35.6,9.3,20.4,8.2,17.1,1.2,3.3,2.8,3.8,1.6,2.8,4.4,3.1,1.7,0.4,3.2,2.3,22.6,.457,.476,.358,.486,.725,.512,2776
194,Spencer Haywood*,1973-74,24,SEA,NBA,75,,40.5,9.3,20.3,9.3,20.3,,,5.0,6.1,4.2,9.2,13.4,3.2,0.9,1.4,,2.6,23.5,.457,.457,,.457,.814,.511,3039
195,Bob Rule,1968-69,24,SEA,NBA,82,,37.9,9.5,20.2,9.5,20.2,,,5.0,7.4,,,11.5,1.7,,,,3.9,24.0,.469,.469,,.469,.682,.511,3104
196,Bob Pettit*,1960-61,28,STL,NBA,76,,39.8,10.1,22.6,10.1,22.6,,,7.7,10.6,,,20.3,3.4,,,,2.9,27.9,.447,.447,,.447,.724,.511,3027
197,Gail Goodrich*,1973-74,30,LAL,NBA,82,,37.3,9.6,21.6,9.6,21.6,,,6.2,7.2,1.2,1.9,3.0,5.2,1.5,0.1,,2.8,25.3,.442,.442,,.442,.864,.511,3061
198,Bernard King*,1977-78,21,NJN,NBA,79,,39.1,10.1,21.1,10.1,21.1,,,4.0,5.8,3.4,6.2,9.5,2.4,1.5,0.5,3.9,3.8,24.2,.479,.479,,.479,.677,.511,3092
199,Bob Pettit*,1959-60,27,STL,NBA,72,,40.2,9.3,21.2,9.3,21.2,,,7.6,10.0,,,17.0,3.6,,,,2.8,26.1,.438,.438,,.438,.753,.510,2896
200,Gail Goodrich*,1972-73,29,LAL,NBA,76,,35.5,9.9,21.3,9.9,21.3,,,4.1,4.9,,,3.5,4.4,,,,2.5,23.9,.464,.464,,.464,.840,.510,2697
201,Rick Barry*,1977-78,33,GSW,NBA,82,,36.9,9.3,20.6,9.3,20.6,,,4.6,5.0,0.9,4.6,5.5,5.4,1.9,0.5,2.7,2.3,23.1,.451,.451,,.451,.924,.509,3024
202,Rick Barry*,1974-75,30,GSW,NBA,80,,40.4,12.9,27.7,12.9,27.7,,,4.9,5.5,1.2,4.6,5.7,6.2,2.9,0.4,,2.8,30.6,.464,.464,,.464,.904,.509,3235
203,Allen Iverson,1998-99,23,PHI,NBA,48,48,41.5,9.1,22.0,7.9,17.9,1.2,4.1,7.4,9.9,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,.412,.440,.291,.439,.751,.508,1990
204,Dolph Schayes*,1957-58,29,SYR,NBA,72,,40.5,8.1,20.3,8.1,20.3,,,8.7,9.7,,,14.2,3.1,,,,3.4,24.9,.398,.398,,.398,.904,.508,2918
205,LaMarcus Aldridge,2013-14,28,POR,NBA,69,69,36.2,9.4,20.6,9.4,20.4,0.0,0.2,4.3,5.2,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,.458,.461,.200,.459,.822,.507,2498
206,Hal Greer*,1963-64,27,PHI,NBA,80,,39.5,8.9,20.1,8.9,20.1,,,5.4,6.6,,,6.1,4.7,,,,3.6,23.3,.444,.444,,.444,.829,.506,3157
207,Sam Jones*,1964-65,31,BOS,NBA,80,,36.1,10.3,22.7,10.3,22.7,,,5.4,6.5,,,5.1,2.8,,,,2.2,25.9,.452,.452,,.452,.820,.505,2885
208,Bob Rule,1969-70,25,SEA,NBA,80,,37.0,9.9,21.3,9.9,21.3,,,4.8,6.8,,,10.3,1.8,,,,3.5,24.6,.463,.463,,.463,.714,.506,2959
209,George Yardley*,1957-58,29,DET,NBA,72,,39.5,9.3,22.6,9.3,22.6,,,9.1,11.2,,,10.7,1.3,,,,3.1,27.8,.414,.414,,.414,.811,.505,2843
210,Elgin Baylor*,1967-68,33,LAL,NBA,77,,39.3,9.8,22.2,9.8,22.2,,,6.3,8.1,,,12.2,4.6,,,,3.0,26.0,.443,.443,,.443,.786,.505,3029
211,Antoine Walker,2000-01,24,BOS,NBA,81,81,41.9,8.8,21.2,6.0,13.8,2.7,7.4,3.1,4.3,1.9,7.0,8.9,5.5,1.7,0.6,3.7,3.1,23.4,.413,.439,.367,.478,.716,.505,3396
212,Charlie Scott,1973-74,25,PHO,NBA,52,,38.5,10.3,22.5,10.3,22.5,,,4.7,6.1,1.2,3.0,4.3,5.2,1.9,0.4,,3.7,25.4,.459,.459,,.459,.781,.505,2003
213,Bob Pettit*,1955-56,23,STL,NBA,72,,38.8,9.0,20.9,9.0,20.9,,,7.7,10.5,,,16.2,2.6,,,,2.8,25.7,.429,.429,,.429,.736,.502,2794
214,John Havlicek*,1972-73,32,BOS,NBA,80,,42.1,9.6,21.3,9.6,21.3,,,4.6,5.4,,,7.1,6.6,,,,2.4,23.8,.450,.450,,.450,.858,.502,3367
215,Pete Maravich*,1972-73,25,ATL,NBA,79,,39.1,10.0,22.6,10.0,22.6,,,6.1,7.7,,,4.4,6.9,,,,3.1,26.1,.441,.441,,.441,.800,.502,3089
216,Tom Van Arsdale,1970-71,27,CIN,NBA,82,,38.4,9.1,20.0,9.1,20.0,,,4.6,6.4,,,6.1,2.2,,,,3.6,22.9,.456,.456,,.456,.721,.501,3146
217,Geoff Petrie,1972-73,24,POR,NBA,79,,39.7,10.6,22.8,10.6,22.8,,,3.8,4.8,,,3.5,4.4,,,,2.1,24.9,.464,.464,,.464,.778,.500,3134
218,Elgin Baylor*,1968-69,34,LAL,NBA,76,,40.3,9.6,21.5,9.6,21.5,,,5.5,7.5,,,10.6,5.4,,,,2.7,24.8,.447,.447,,.447,.743,.500,3064
219,Hal Greer*,1961-62,25,SYR,NBA,71,,38.1,9.1,20.3,9.1,20.3,,,4.7,5.7,,,7.4,4.4,,,,3.5,22.8,.447,.447,,.447,.819,.500,2705
220,Allen Iverson,2002-03,27,PHI,NBA,82,82,42.5,9.8,23.7,8.8,20.0,1.0,3.7,7.0,9.0,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,.414,.440,.277,.436,.774,.500,3485
221,Antawn Jamison,2000-01,24,GSW,NBA,82,82,41.4,9.8,22.1,9.0,19.6,0.8,2.5,4.7,6.5,3.4,5.3,8.7,2.0,1.4,0.3,2.4,2.7,24.9,.442,.459,.302,.459,.715,.499,3394
222,Geoff Petrie,1970-71,22,POR,NBA,82,,37.0,9.6,21.6,9.6,21.6,,,5.6,7.3,,,3.4,4.8,,,,2.4,24.8,.443,.443,,.443,.772,.499,3032
223,Charlie Scott,1972-73,24,PHO,NBA,81,,37.8,10.0,22.3,10.0,22.3,,,5.4,6.9,,,4.2,6.1,,,,3.8,25.3,.446,.446,,.446,.784,.499,3062
224,Elgin Baylor*,1960-61,26,LAL,NBA,73,,42.9,12.8,29.7,12.8,29.7,,,9.3,11.8,,,19.8,5.1,,,,3.8,34.8,.430,.430,,.430,.783,.498,3133
225,Walt Hazzard,1967-68,25,SEA,NBA,79,,33.7,9.3,21.0,9.3,21.0,,,5.4,7.0,,,4.2,6.2,,,,3.1,24.0,.441,.441,,.441,.774,.497,2666
226,Sidney Wicks,1972-73,23,POR,NBA,80,,39.4,9.5,21.1,9.5,21.1,,,4.8,6.6,,,10.9,5.5,,,,3.2,23.8,.452,.452,,.452,.723,.497,3152
227,Elvin Hayes*,1974-75,29,WSB,NBA,82,,42.3,9.0,20.3,9.0,20.3,,,5.0,6.5,2.7,9.5,12.2,2.5,1.9,2.3,,2.9,23.0,.443,.443,,.443,.766,.496,3465
228,Allen Iverson,1999-00,24,PHI,NBA,70,70,40.8,10.4,24.8,9.1,21.0,1.3,3.7,6.3,8.9,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,.421,.435,.341,.446,.713,.496,2853
229,Tracy McGrady,2005-06,26,HOU,NBA,47,47,37.1,8.7,21.5,7.2,16.5,1.6,5.0,5.4,7.2,1.0,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4,.406,.434,.312,.442,.747,.494,1745
230,Bob Pettit*,1956-57,24,STL,NBA,71,,35.1,8.6,20.8,8.6,20.8,,,7.5,9.6,,,14.6,1.9,,,,2.5,24.7,.415,.415,,.415,.773,.494,2491
231,Earl Monroe*,1968-69,24,BAL,NBA,80,,38.4,10.1,23.0,10.1,23.0,,,5.6,7.3,,,3.5,4.9,,,,3.3,25.8,.440,.440,,.440,.768,.493,3075
232,Wilt Chamberlain*,1959-60,23,PHW,NBA,72,,46.4,14.8,32.1,14.8,32.1,,,8.0,13.8,,,27.0,2.3,,,,2.1,37.6,.461,.461,,.461,.582,.493,3338
233,Michael Jordan*,1994-95,31,CHI,NBA,17,17,39.3,9.8,23.8,8.8,21.9,0.9,1.9,6.4,8.0,1.5,5.4,6.9,5.3,1.8,0.8,2.1,2.8,26.9,.411,.403,.500,.431,.801,.493,668
234,Elvin Hayes*,1979-80,34,WSB,NBA,81,,39.3,9.4,20.7,9.4,20.5,0.0,0.2,4.1,5.9,3.3,7.7,11.1,1.6,0.8,2.3,2.7,3.8,23.0,.454,.456,.231,.455,.699,.492,3183
235,Bob Pettit*,1957-58,25,STL,NBA,70,,36.1,8.3,20.3,8.3,20.3,,,8.0,10.6,,,17.4,2.2,,,,3.2,24.6,.410,.410,,.410,.749,.492,2528
236,Gene Shue,1959-60,28,DET,NBA,75,,44.5,8.3,20.0,8.3,20.0,,,6.3,7.2,,,5.5,3.9,,,,1.9,22.8,.413,.413,,.413,.872,.492,3338
237,Elgin Baylor*,1961-62,27,LAL,NBA,48,,44.4,14.2,33.1,14.2,33.1,,,9.9,13.1,,,18.6,4.6,,,,3.2,38.3,.428,.428,,.428,.754,.492,2129
238,Baron Davis,2003-04,24,NOH,NBA,67,66,40.1,8.3,20.9,5.5,12.2,2.8,8.7,3.5,5.3,1.0,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9,.395,.448,.321,.462,.673,.492,2686
239,Billy Cunningham*,1968-69,25,PHI,NBA,82,,40.8,9.0,21.2,9.0,21.2,,,6.8,9.2,,,12.8,3.5,,,,4.0,24.8,.426,.426,,.426,.737,.492,3345
240,Elvin Hayes*,1969-70,24,SDR,NBA,82,,44.7,11.1,24.6,11.1,24.6,,,5.2,7.6,,,16.9,2.0,,,,3.3,27.5,.452,.452,,.452,.688,.492,3665
241,Pete Maravich*,1976-77,29,NOJ,NBA,73,,41.7,12.1,28.0,12.1,28.0,,,6.9,8.2,1.2,3.9,5.1,5.4,1.2,0.3,,2.6,31.1,.433,.433,,.433,.835,.492,3041
242,Pete Maravich*,1977-78,30,NOJ,NBA,50,,40.8,11.1,25.1,11.1,25.1,,,4.8,5.5,1.0,2.6,3.6,6.7,2.0,0.2,5.0,2.3,27.0,.444,.444,,.444,.870,.492,2041
243,Elgin Baylor*,1966-67,32,LAL,NBA,70,,38.7,10.2,23.7,10.2,23.7,,,6.3,7.7,,,12.8,3.1,,,,3.0,26.6,.429,.429,,.429,.813,.491,2706
244,Kevin Loughery,1968-69,28,BAL,NBA,80,,39.2,9.0,20.5,9.0,20.5,,,4.7,5.8,,,3.3,4.8,,,,3.7,22.6,.438,.438,,.438,.803,.491,3135
245,Bob Love,1971-72,29,CHI,NBA,79,,39.3,10.4,23.5,10.4,23.5,,,5.1,6.4,,,6.6,1.6,,,,3.0,25.8,.442,.442,,.442,.784,.490,3108
246,Dave Bing*,1967-68,24,DET,NBA,79,,40.6,10.6,24.0,10.6,24.0,,,6.0,8.5,,,4.7,6.4,,,,3.2,27.1,.441,.441,,.441,.707,.490,3209
247,Antoine Walker,2001-02,25,BOS,NBA,81,81,42.0,8.2,20.9,5.5,12.9,2.7,8.0,3.0,4.0,1.9,7.0,8.8,5.0,1.5,0.5,3.1,2.9,22.1,.394,.425,.344,.460,.741,.490,3406
248,Elgin Baylor*,1959-60,25,MNL,NBA,70,,41.0,10.8,25.4,10.8,25.4,,,8.1,11.0,,,16.4,3.5,,,,3.3,29.6,.424,.424,,.424,.732,.489,2873
249,Allen Iverson,2001-02,26,PHI,NBA,60,59,43.7,11.1,27.8,9.8,23.4,1.3,4.5,7.9,9.8,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,.398,.419,.291,.422,.812,.489,2622
250,Elgin Baylor*,1958-59,24,MNL,NBA,70,,40.8,8.6,21.2,8.6,21.2,,,7.6,9.8,,,15.0,4.1,,,,3.9,24.9,.408,.408,,.408,.777,.488,2855
251,John Williamson,1977-78,26,TOT,NBA,75,,36.4,9.6,22.0,9.6,22.0,,,4.4,5.2,0.9,2.1,3.0,2.9,1.3,0.1,3.0,3.1,23.7,.438,.438,,.438,.847,.488,2731
252,Jack Twyman*,1959-60,25,CIN,NBA,75,,40.3,11.6,27.5,11.6,27.5,,,8.0,10.2,,,8.9,3.5,,,,3.7,31.2,.422,.422,,.422,.785,.487,3023
