gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
60528,201310290IND,NBA,1,2014,10/29/2013,1,0,ORL,Magic,87,1313.2317,1311.5338,22.26676,IND,Pacers,97,1583.5721,1585.27,A,L,0.1060394,NULL
60528,201310290IND,NBA,0,2014,10/29/2013,1,0,IND,Pacers,97,1583.5721,1585.27,49.365368,ORL,Magic,87,1313.2317,1311.5338,H,W,0.8939606,NULL
60529,201310290LAL,NBA,0,2014,10/29/2013,1,0,LAL,Lakers,116,1511.02,1522.1942,42.866776,LAC,Clippers,103,1586.5884,1575.4142,H,W,0.53510213,NULL
60529,201310290LAL,NBA,1,2014,10/29/2013,1,0,LAC,Clippers,103,1586.5884,1575.4142,48.369659,LAL,Lakers,116,1511.02,1522.1942,A,L,0.46489787,NULL
60530,201310290MIA,NBA,1,2014,10/29/2013,1,0,CHI,Bulls,95,1519.9124,1516.6088,42.281761,MIA,Heat,107,1691.8896,1695.1932,A,L,0.17284065,NULL
60530,201310290MIA,NBA,0,2014,10/29/2013,1,0,MIA,Heat,107,1691.8896,1695.1932,59.563213,CHI,Bulls,95,1519.9124,1516.6088,H,W,0.82715935,NULL
60531,201310300CLE,NBA,1,2014,10/30/2013,1,0,BRK,Nets,94,1548.4365,1540.1724,44.743443,CLE,Cavaliers,98,1369.2823,1377.5465,A,L,0.61198127,NULL
60531,201310300CLE,NBA,0,2014,10/30/2013,1,0,CLE,Cavaliers,98,1369.2823,1377.5465,28.143324,BRK,Nets,94,1548.4365,1540.1724,H,W,0.38801873,NULL
60532,201310300DAL,NBA,0,2014,10/30/2013,1,0,DAL,Mavericks,118,1521.8522,1527.3379,43.404854,ATL,Hawks,109,1484.9949,1479.5092,H,W,0.68736178,NULL
60532,201310300DAL,NBA,1,2014,10/30/2013,1,0,ATL,Hawks,109,1484.9949,1479.5092,38.394112,DAL,Mavericks,118,1521.8522,1527.3379,A,L,0.31263822,NULL
60533,201310300DET,NBA,1,2014,10/30/2013,1,0,WAS,Wizards,102,1462.0291,1452.7168,35.611546,DET,Pistons,113,1405.6205,1414.9327,A,L,0.437594,NULL
60533,201310300DET,NBA,0,2014,10/30/2013,1,0,DET,Pistons,113,1405.6205,1414.9327,31.777275,WAS,Wizards,102,1462.0291,1452.7168,H,W,0.562406,NULL
60534,201310300GSW,NBA,1,2014,10/30/2013,2,0,LAL,Lakers,94,1522.1942,1509.775,41.565315,GSW,Warriors,125,1562.4785,1574.8977,A,L,0.30841464,NULL
60534,201310300GSW,NBA,0,2014,10/30/2013,1,0,GSW,Warriors,125,1562.4785,1574.8977,48.317223,LAL,Lakers,94,1522.1942,1509.775,H,W,0.69158536,NULL
60535,201310300HOU,NBA,0,2014,10/30/2013,1,0,HOU,Rockets,96,1556.411,1559.3295,46.725727,CHA,Hornets,83,1352.4205,1349.5021,H,W,0.85194141,NULL
60535,201310300HOU,NBA,1,2014,10/30/2013,1,0,CHA,Hornets,83,1352.4205,1349.5021,25.553562,HOU,Rockets,96,1556.411,1559.3295,A,L,0.14805859,NULL
60536,201310300MIN,NBA,1,2014,10/30/2013,2,0,ORL,Magic,115,1311.5338,1309.402,22.090265,MIN,Timberwolves,120,1471.4886,1473.6205,A,L,0.18296003,NULL
60536,201310300MIN,NBA,0,2014,10/30/2013,1,0,MIN,Timberwolves,120,1471.4886,1473.6205,37.779549,ORL,Magic,115,1311.5338,1309.402,H,W,0.81703997,NULL
60537,201310300NOP,NBA,1,2014,10/30/2013,2,0,IND,Pacers,95,1585.27,1590.8911,49.928757,NOP,Pelicans,90,1427.6257,1422.0046,A,W,0.58220387,NULL
60537,201310300NOP,NBA,0,2014,10/30/2013,1,0,NOP,Pelicans,90,1427.6257,1422.0046,32.484348,IND,Pacers,95,1585.27,1590.8911,H,L,0.41779611,NULL
60538,201310300NYK,NBA,0,2014,10/30/2013,1,0,NYK,Knicks,90,1579.2007,1582.1333,49.049526,MIL,Bucks,83,1445.7207,1442.7881,H,W,0.79315007,NULL
60538,201310300NYK,NBA,1,2014,10/30/2013,1,0,MIL,Bucks,83,1445.7207,1442.7881,34.591682,NYK,Knicks,90,1579.2007,1582.1333,A,L,0.20684993,NULL
60539,201310300PHI,NBA,0,2014,10/30/2013,1,0,PHI,Sixers,114,1459.6904,1469.418,37.341827,MIA,Heat,110,1695.1932,1685.4657,H,W,0.31431624,NULL
60539,201310300PHI,NBA,1,2014,10/30/2013,2,0,MIA,Heat,110,1695.1932,1685.4657,58.742935,PHI,Sixers,114,1459.6904,1469.418,A,L,0.68568373,NULL
60540,201310300PHO,NBA,1,2014,10/30/2013,1,0,POR,Trailblazers,91,1429.8431,1420.1797,32.301357,PHO,Suns,104,1390.5642,1400.2277,A,L,0.41349435,NULL
60540,201310300PHO,NBA,0,2014,10/30/2013,1,0,PHO,Suns,104,1390.5642,1400.2277,30.325796,POR,Trailblazers,91,1429.8431,1420.1797,H,W,0.58650565,NULL
60541,201310300SAC,NBA,0,2014,10/30/2013,1,0,SAC,Kings,90,1433.7286,1440.0757,34.314419,DEN,Nuggets,88,1614.5847,1608.2377,H,W,0.38569492,NULL
60541,201310300SAC,NBA,1,2014,10/30/2013,1,0,DEN,Nuggets,88,1614.5847,1608.2377,51.644333,SAC,Kings,90,1433.7286,1440.0757,A,L,0.61430508,NULL
60542,201310300SAS,NBA,0,2014,10/30/2013,1,0,SAS,Spurs,101,1660.6224,1665.2632,56.982845,MEM,Grizzlies,94,1619.2012,1614.5604,H,W,0.69297957,NULL
60542,201310300SAS,NBA,1,2014,10/30/2013,1,0,MEM,Grizzlies,94,1619.2012,1614.5604,52.26022,SAS,Spurs,101,1660.6224,1665.2632,A,L,0.30702043,NULL
60543,201310300TOR,NBA,0,2014,10/30/2013,1,0,TOR,Raptors,93,1483.9835,1489.16,39.403736,BOS,Celtics,87,1484.9615,1479.785,H,W,0.63876694,NULL
60543,201310300TOR,NBA,1,2014,10/30/2013,1,0,BOS,Celtics,87,1484.9615,1479.785,38.422935,TOR,Raptors,93,1483.9835,1489.16,A,L,0.36123306,NULL
60544,201310300UTA,NBA,0,2014,10/30/2013,1,0,UTA,Jazz,98,1521.2413,1516.0178,42.219833,OKC,Thunder,101,1639.3633,1644.5868,H,L,0.47394404,NULL
60544,201310300UTA,NBA,1,2014,10/30/2013,1,0,OKC,Thunder,101,1639.3633,1644.5868,55.106632,UTA,Jazz,98,1521.2413,1516.0178,A,W,0.52605593,NULL
60545,201310310CHI,NBA,0,2014,10/31/2013,2,0,CHI,Bulls,82,1516.6088,1520.1532,42.653076,NYK,Knicks,81,1582.1333,1578.5889,H,W,0.54945201,NULL
60545,201310310CHI,NBA,1,2014,10/31/2013,2,0,NYK,Knicks,81,1582.1333,1578.5889,48.691433,CHI,Bulls,82,1516.6088,1520.1532,A,L,0.45054799,NULL
60546,201310310LAC,NBA,0,2014,10/31/2013,2,0,LAC,Clippers,126,1575.4142,1582.7371,49.110397,GSW,Warriors,115,1574.8977,1567.5748,H,W,0.64074963,NULL
60546,201310310LAC,NBA,1,2014,10/31/2013,2,0,GSW,Warriors,115,1574.8977,1567.5748,47.571144,LAC,Clippers,126,1575.4142,1582.7371,A,L,0.35925037,NULL
60547,201311010ATL,NBA,1,2014,11/1/2013,2,0,TOR,Raptors,95,1489.16,1483.3098,38.791409,ATL,Hawks,102,1479.5092,1485.3594,A,L,0.37283087,NULL
60547,201311010ATL,NBA,0,2014,11/1/2013,2,0,ATL,Hawks,102,1479.5092,1485.3594,39.005833,TOR,Raptors,95,1489.16,1483.3098,H,W,0.62716913,NULL
60548,201311010BOS,NBA,0,2014,11/1/2013,2,0,BOS,Celtics,98,1479.785,1466.793,37.068836,MIL,Bucks,105,1442.7881,1455.7802,H,L,0.68753445,NULL
60548,201311010BOS,NBA,1,2014,11/1/2013,2,0,MIL,Bucks,105,1442.7881,1455.7802,35.927647,BOS,Celtics,98,1479.785,1466.793,A,W,0.31246555,NULL
60549,201311010BRK,NBA,0,2014,11/1/2013,2,0,BRK,Nets,101,1540.1724,1544.9099,45.235676,MIA,Heat,100,1685.4657,1680.7281,H,W,0.43518442,NULL
60549,201311010BRK,NBA,1,2014,11/1/2013,3,0,MIA,Heat,100,1685.4657,1680.7281,58.336945,BRK,Nets,101,1540.1724,1544.9099,A,L,0.56481558,NULL
60550,201311010CHA,NBA,0,2014,11/1/2013,2,0,CHA,Hornets,90,1349.5021,1355.3209,26.080214,CLE,Cavaliers,84,1377.5465,1371.7277,H,W,0.6020968,NULL
60550,201311010CHA,NBA,1,2014,11/1/2013,2,0,CLE,Cavaliers,84,1377.5465,1371.7277,27.59557,CHA,Hornets,90,1349.5021,1355.3209,A,L,0.3979032,NULL
60551,201311010DEN,NBA,0,2014,11/1/2013,2,0,DEN,Nuggets,98,1608.2377,1578.8459,48.717449,POR,Trailblazers,113,1420.1797,1449.5714,H,L,0.83999556,NULL
60551,201311010DEN,NBA,1,2014,11/1/2013,2,0,POR,Trailblazers,113,1420.1797,1449.5714,35.287659,DEN,Nuggets,98,1608.2377,1578.8459,A,W,0.16000444,NULL
60552,201311010HOU,NBA,0,2014,11/1/2013,2,0,HOU,Rockets,113,1559.3295,1564.5637,47.263031,DAL,Mavericks,105,1527.3379,1522.1036,H,W,0.68131131,NULL
60552,201311010HOU,NBA,1,2014,11/1/2013,2,0,DAL,Mavericks,105,1527.3379,1522.1036,42.857296,HOU,Rockets,113,1559.3295,1564.5637,A,L,0.31868869,NULL
60553,201311010LAL,NBA,0,2014,11/1/2013,3,0,LAL,Lakers,85,1509.775,1503.5435,40.911686,SAS,Spurs,91,1665.2632,1671.4948,H,L,0.42081821,NULL
60553,201311010LAL,NBA,1,2014,11/1/2013,2,0,SAS,Spurs,91,1665.2632,1671.4948,57.533707,LAL,Lakers,85,1509.775,1503.5435,A,W,0.57918179,NULL
60554,201311010MEM,NBA,1,2014,11/1/2013,2,0,DET,Pistons,108,1414.9327,1413.5685,31.641518,MEM,Grizzlies,111,1614.5604,1615.9247,A,L,0.15125448,NULL
60554,201311010MEM,NBA,0,2014,11/1/2013,2,0,MEM,Grizzlies,111,1614.5604,1615.9247,52.392403,DET,Pistons,108,1414.9327,1413.5685,H,W,0.84874552,NULL
60555,201311010MIN,NBA,1,2014,11/1/2013,2,0,OKC,Thunder,81,1644.5868,1624.4509,53.212612,MIN,Timberwolves,100,1473.6205,1493.7563,A,L,0.60073173,NULL
60555,201311010MIN,NBA,0,2014,11/1/2013,2,0,MIN,Timberwolves,100,1473.6205,1493.7563,39.885338,OKC,Thunder,81,1644.5868,1624.4509,H,W,0.39926827,NULL
60556,201311010ORL,NBA,0,2014,11/1/2013,3,0,ORL,Magic,110,1309.402,1326.5491,23.534613,NOP,Pelicans,90,1422.0046,1404.8575,H,W,0.48187128,NULL
60556,201311010ORL,NBA,1,2014,11/1/2013,2,0,NOP,Pelicans,90,1422.0046,1404.8575,30.779911,ORL,Magic,110,1309.402,1326.5491,A,L,0.51812875,NULL
60557,201311010PHO,NBA,0,2014,11/1/2013,2,0,PHO,Suns,87,1400.2277,1406.147,30.906866,UTA,Jazz,84,1516.0178,1510.0985,H,W,0.47729176,NULL
60557,201311010PHO,NBA,1,2014,11/1/2013,2,0,UTA,Jazz,84,1516.0178,1510.0985,41.599239,PHO,Suns,87,1400.2277,1406.147,A,L,0.52270824,NULL
60558,201311010SAC,NBA,0,2014,11/1/2013,2,0,SAC,Kings,101,1440.0757,1431.8131,33.473782,LAC,Clippers,110,1582.7371,1590.9996,H,L,0.43891203,NULL
60558,201311010SAC,NBA,1,2014,11/1/2013,3,0,LAC,Clippers,110,1582.7371,1590.9996,49.939602,SAC,Kings,101,1440.0757,1431.8131,A,W,0.56108797,NULL
60559,201311010WAS,NBA,1,2014,11/1/2013,2,0,PHI,Sixers,109,1469.418,1480.5519,38.503067,WAS,Wizards,102,1452.7168,1441.5829,A,W,0.38236862,NULL
60559,201311010WAS,NBA,0,2014,11/1/2013,2,0,WAS,Wizards,102,1452.7168,1441.5829,34.46841,PHI,Sixers,109,1469.418,1480.5519,H,L,0.61763138,NULL
60560,201311020DAL,NBA,1,2014,11/2/2013,3,0,MEM,Grizzlies,99,1615.9247,1604.5516,51.282871,DAL,Mavericks,111,1522.1036,1533.4767,A,L,0.49110872,NULL
60560,201311020DAL,NBA,0,2014,11/2/2013,3,0,DAL,Mavericks,111,1522.1036,1533.4767,44.045925,MEM,Grizzlies,99,1615.9247,1604.5516,H,W,0.50889128,NULL
60561,201311020GSW,NBA,1,2014,11/2/2013,3,0,SAC,Kings,87,1431.8131,1428.0204,33.090042,GSW,Warriors,98,1567.5748,1571.3676,A,L,0.20470333,NULL
60561,201311020GSW,NBA,0,2014,11/2/2013,3,0,GSW,Warriors,98,1567.5748,1571.3676,47.958149,SAC,Kings,87,1431.8131,1428.0204,H,W,0.79529667,NULL
60562,201311020IND,NBA,1,2014,11/2/2013,3,0,CLE,Cavaliers,74,1371.7277,1368.7809,27.320189,IND,Pacers,89,1590.8911,1593.8379,A,L,0.13737655,NULL
60562,201311020IND,NBA,0,2014,11/2/2013,3,0,IND,Pacers,89,1590.8911,1593.8379,50.222713,CLE,Cavaliers,74,1371.7277,1368.7809,H,W,0.86262345,NULL
