Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,35,2015-01-13,26-305,GSW,@,UTA,W (+11),1,29:13,10,16,.625,4,9,.444,3,3,1.000,0,2,2,11,0,0,2,2,27,25.3,+17
36,36,2015-01-14,26-306,GSW,,MIA,W (+15),1,32:06,11,19,.579,7,10,.700,3,5,.600,2,3,5,3,2,0,3,1,32,25.3,+11
37,37,2015-01-16,26-308,GSW,@,OKC,L (-12),1,31:12,6,13,.462,2,6,.333,5,5,1.000,0,3,3,6,2,0,6,2,19,12.6,-4
38,38,2015-01-17,26-309,GSW,@,HOU,W (+25),1,33:00,9,18,.500,2,8,.250,7,8,.875,3,4,7,11,3,1,2,0,27,30.3,+25
39,39,2015-01-19,26-311,GSW,,DEN,W (+43),1,25:14,7,13,.538,2,5,.400,4,4,1.000,1,0,1,8,1,2,1,2,20,20.6,+18
40,40,2015-01-21,26-313,GSW,,HOU,W (+13),1,33:39,7,12,.583,3,5,.600,5,6,.833,2,1,3,10,1,0,6,3,22,18.5,+23
41,41,2015-01-23,26-315,GSW,,SAC,W (+25),1,29:03,3,11,.273,2,7,.286,2,2,1.000,1,3,4,11,2,0,6,0,10,8.8,+20
42,42,2015-01-25,26-317,GSW,,BOS,W (+3),1,33:03,6,16,.375,1,5,.200,9,9,1.000,0,4,4,11,2,0,3,1,22,20.7,+6
43,43,2015-01-27,26-319,GSW,,CHI,L (-2),1,42:58,9,23,.391,2,9,.222,1,1,1.000,0,4,4,9,3,0,3,3,21,14.8,-3
44,44,2015-01-30,26-322,GSW,@,UTA,L (-10),1,33:59,10,22,.455,5,11,.455,7,9,.778,1,6,7,6,3,0,2,1,32,27.1,-11
45,45,2015-01-31,26-323,GSW,,PHO,W (+19),1,37:26,9,23,.391,4,9,.444,3,3,1.000,1,3,4,7,2,1,1,2,25,19.9,+23
46,46,2015-02-03,26-326,GSW,@,SAC,W (+25),1,28:34,6,15,.400,2,6,.333,9,10,.900,0,5,5,9,3,0,2,2,23,22.5,+7
47,47,2015-02-04,26-327,GSW,,DAL,W (+14),1,36:57,16,26,.615,10,16,.625,9,11,.818,0,4,4,4,1,0,3,3,51,39.2,0
48,48,2015-02-06,26-329,GSW,@,ATL,L (-8),1,36:12,8,19,.421,4,9,.444,6,7,.857,0,2,2,9,2,2,1,3,26,23.6,-5
49,49,2015-02-07,26-330,GSW,@,NYK,W (+14),1,31:19,8,18,.444,5,9,.556,1,3,.333,2,4,6,0,2,0,3,0,22,13.4,+21
50,50,2015-02-09,26-332,GSW,@,PHI,W (+5),1,31:45,7,20,.350,3,12,.250,3,4,.750,0,5,5,6,3,0,1,2,20,15.3,0
51,51,2015-02-11,26-334,GSW,@,MIN,W (+3),1,35:30,9,23,.391,2,10,.200,5,5,1.000,2,3,5,8,3,0,3,1,25,20.0,0
52,52,2015-02-20,26-343,GSW,,SAS,W (+11),1,31:53,8,17,.471,4,8,.500,5,5,1.000,0,4,4,11,4,0,2,2,25,26.4,+22
53,,2015-02-22,26-345,GSW,,IND,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,53,2015-02-24,26-347,GSW,@,WAS,W (+7),1,33:49,11,18,.611,5,9,.556,5,5,1.000,0,0,0,8,2,0,0,1,32,31.0,+1
55,54,2015-02-26,26-349,GSW,@,CLE,L (-11),1,33:50,5,17,.294,3,9,.333,5,5,1.000,0,3,3,6,1,0,4,3,18,9.0,-10
56,55,2015-02-27,26-350,GSW,@,TOR,W (+24),1,25:01,8,13,.615,3,4,.750,3,3,1.000,3,3,6,5,2,0,2,0,22,22.6,+33
57,56,2015-03-01,26-352,GSW,@,BOS,W (+5),1,37:38,14,22,.636,5,8,.625,4,4,1.000,0,4,4,5,1,0,5,1,37,27.5,+8
58,57,2015-03-02,26-353,GSW,@,BRK,L (-2),1,29:16,8,16,.500,6,12,.500,4,4,1.000,0,2,2,7,1,0,4,4,26,18.9,+1
59,58,2015-03-04,26-355,GSW,,MIL,W (+9),1,36:35,6,16,.375,6,13,.462,1,2,.500,0,1,1,11,2,2,5,3,19,15.0,+6
60,59,2015-03-06,26-357,GSW,,DAL,W (+15),1,30:53,6,11,.545,5,8,.625,5,6,.833,0,2,2,7,2,1,3,2,22,20.7,+23
61,60,2015-03-08,26-359,GSW,,LAC,W (+8),1,31:58,3,9,.333,2,2,1.000,4,4,1.000,0,1,1,4,3,0,4,1,12,8.6,+15
62,61,2015-03-09,26-360,GSW,@,PHO,W (+18),1,35:46,14,24,.583,7,13,.538,1,2,.500,3,3,6,5,4,0,4,3,36,29.7,+23
63,62,2015-03-11,26-362,GSW,,DET,W (+7),1,33:57,4,15,.267,1,7,.143,0,0,,1,4,5,11,1,0,3,1,9,7.3,+8
64,,2015-03-13,26-364,GSW,,DEN,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,63,2015-03-14,27-000,GSW,,NYK,W (+31),1,26:56,8,15,.533,6,10,.600,3,3,1.000,0,3,3,11,3,0,1,2,25,27.5,+30
66,64,2015-03-16,27-002,GSW,,LAL,W (+3),1,32:40,5,14,.357,2,6,.333,7,7,1.000,0,4,4,9,3,0,6,2,19,14.9,-2
67,65,2015-03-18,27-004,GSW,,ATL,W (+19),1,29:41,4,11,.364,2,6,.333,6,6,1.000,1,3,4,12,0,0,4,1,16,15.5,+16
68,66,2015-03-20,27-006,GSW,,NOP,W (+16),1,27:02,4,17,.235,2,10,.200,6,6,1.000,0,2,2,11,0,0,3,0,16,11.0,+11
69,67,2015-03-21,27-007,GSW,,UTA,W (+15),1,32:14,8,18,.444,3,6,.500,5,5,1.000,1,2,3,3,3,0,0,0,24,21.0,+12
70,68,2015-03-23,27-009,GSW,,WAS,W (+31),1,28:16,8,14,.571,5,8,.625,3,3,1.000,1,4,5,6,2,0,2,1,24,23.1,+30
71,69,2015-03-24,27-010,GSW,@,POR,W (+14),1,35:26,13,22,.591,5,9,.556,2,2,1.000,0,2,2,10,1,0,2,2,33,28.6,+12
72,70,2015-03-27,27-013,GSW,@,MEM,W (+23),1,34:14,12,22,.545,8,12,.667,6,6,1.000,1,2,3,10,3,1,4,3,38,34.2,+26
73,71,2015-03-28,27-014,GSW,@,MIL,W (+13),1,30:24,8,13,.615,6,9,.667,3,3,1.000,0,4,4,6,1,0,6,4,25,17.9,-1
74,72,2015-03-31,27-017,GSW,@,LAC,W (+4),1,36:11,8,15,.533,4,6,.667,7,7,1.000,1,0,1,4,1,0,3,3,27,20.0,-1
75,73,2015-04-02,27-019,GSW,,PHO,W (+1),1,33:32,10,22,.455,6,11,.545,2,2,1.000,1,7,8,5,0,0,6,3,28,15.7,-1
76,74,2015-04-04,27-021,GSW,@,DAL,W (+13),1,27:27,4,12,.333,1,4,.250,2,3,.667,2,2,4,3,1,0,1,1,11,7.5,+9
77,75,2015-04-05,27-022,GSW,@,SAS,L (-15),1,30:03,9,17,.529,5,10,.500,1,2,.500,0,4,4,6,1,0,4,2,24,16.9,-16
78,76,2015-04-07,27-024,GSW,@,NOP,L (-3),1,34:45,9,18,.500,5,8,.625,2,2,1.000,1,5,6,9,1,0,2,3,25,22.3,+4
79,77,2015-04-09,27-026,GSW,,POR,W (+11),1,35:13,17,23,.739,8,13,.615,3,3,1.000,1,1,2,10,0,0,4,2,45,38.9,+21
80,78,2015-04-11,27-028,GSW,,MIN,W (+9),1,35:26,11,21,.524,5,11,.455,7,8,.875,0,4,4,7,4,0,3,1,34,30.0,+17
81,79,2015-04-13,27-030,GSW,,MEM,W (+4),1,29:17,6,10,.600,3,6,.500,0,0,,0,4,4,8,1,0,3,2,15,14.4,+24
82,80,2015-04-15,27-032,GSW,,DEN,W (+7),1,19:20,4,10,.400,2,4,.500,0,0,,2,2,4,7,5,0,2,1,10,14.1,+14
1,1,2015-04-18,27-035,GSW,,NOP,W (+7),1,40:06,13,25,.520,4,13,.308,4,7,.571,0,4,4,5,3,0,3,4,34,23.6,+20
2,2,2015-04-20,27-037,GSW,,NOP,W (+10),1,37:05,9,21,.429,3,9,.333,1,1,1.000,0,4,4,6,1,0,5,1,22,11.9,+3
3,3,2015-04-23,27-040,GSW,@,NOP,W (+4),1,43:51,10,29,.345,7,18,.389,13,14,.929,1,4,5,9,0,0,3,3,40,27.3,+13
4,4,2015-04-25,27-042,GSW,@,NOP,W (+11),1,38:14,11,20,.550,6,8,.750,11,12,.917,3,5,8,9,1,0,5,4,39,33.3,+14
5,5,2015-05-03,27-050,GSW,,MEM,W (+15),1,37:36,8,18,.444,4,8,.500,2,2,1.000,1,1,2,7,4,0,4,1,22,18.1,+14
6,6,2015-05-05,27-052,GSW,,MEM,L (-7),1,40:43,7,19,.368,2,11,.182,3,4,.750,0,5,5,6,0,0,3,0,19,10.8,-8
7,7,2015-05-09,27-056,GSW,@,MEM,L (-10),1,39:33,8,21,.381,2,10,.200,5,7,.714,1,1,2,6,1,1,4,1,23,13.2,-6
8,8,2015-05-11,27-058,GSW,@,MEM,W (+17),1,38:35,11,22,.500,4,9,.444,7,9,.778,2,6,8,5,2,0,4,4,33,24.3,+19
9,9,2015-05-13,27-060,GSW,,MEM,W (+20),1,32:33,6,16,.375,6,13,.462,0,0,,2,5,7,5,6,0,5,0,18,16.6,+16
10,10,2015-05-15,27-062,GSW,@,MEM,W (+13),1,38:40,11,25,.440,8,13,.615,2,2,1.000,0,6,6,10,0,0,4,3,32,22.5,+11
11,11,2015-05-19,27-066,GSW,,HOU,W (+4),1,39:25,13,22,.591,6,11,.545,2,3,.667,0,6,6,5,2,0,1,3,34,28.5,+11
12,12,2015-05-21,27-068,GSW,,HOU,W (+1),1,36:46,13,21,.619,5,11,.455,2,3,.667,0,3,3,6,1,0,6,2,33,22.4,-7
13,13,2015-05-23,27-070,GSW,@,HOU,W (+35),1,34:58,12,19,.632,7,9,.778,9,10,.900,3,2,5,7,2,1,4,2,40,36.6,+33
14,14,2015-05-25,27-072,GSW,@,HOU,L (-13),1,30:59,7,18,.389,6,13,.462,3,3,1.000,1,0,1,4,0,0,0,3,23,15.5,-20
15,15,2015-05-27,27-074,GSW,,HOU,W (+14),1,41:48,7,21,.333,3,11,.273,9,12,.750,1,7,8,6,5,0,3,3,26,20.7,+1
16,16,2015-06-04,27-082,GSW,,CLE,W (+8),1,42:39,10,20,.500,2,6,.333,4,4,1.000,0,4,4,8,2,0,4,1,26,20.4,+4
17,17,2015-06-07,27-085,GSW,,CLE,L (-2),1,42:16,5,23,.217,2,15,.133,7,8,.875,0,6,6,5,0,0,6,4,19,2.2,-2
18,18,2015-06-09,27-087,GSW,@,CLE,L (-5),1,43:46,10,20,.500,7,13,.538,0,0,,2,4,6,6,3,1,6,2,27,20.7,-6
19,19,2015-06-11,27-089,GSW,@,CLE,W (+21),1,41:03,8,17,.471,4,7,.571,2,2,1.000,0,2,2,7,1,0,4,1,22,15.4,+18
20,20,2015-06-14,27-092,GSW,,CLE,W (+13),1,42:07,13,23,.565,7,13,.538,4,4,1.000,3,4,7,4,2,0,5,2,37,28.4,+24
21,21,2015-06-16,27-094,GSW,@,CLE,W (+8),1,43:06,8,19,.421,3,11,.273,6,8,.750,0,6,6,8,3,0,3,3,25,20.3,+14
